     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-100001 
        25  0.000000000000000000e+00  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02  2.806712999999999916e-02 
        26  0.000000000000000000e+00  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02  2.922269599999999592e-02 
        27  0.000000000000000000e+00  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02  3.038389599999999705e-02 
        28  0.000000000000000000e+00  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02  3.155072999999999905e-02 
        29  0.000000000000000000e+00  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02  3.272319799999999501e-02 
        30  0.000000000000000000e+00  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02  3.390129999999999533e-02 
        31  0.000000000000000000e+00  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02  3.508503799999999895e-02 
        32  0.000000000000000000e+00  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02  3.627440999999999305e-02 
        33  0.000000000000000000e+00  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02  3.746941600000000538e-02 
        34  0.000000000000000000e+00  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02  3.867005599999999432e-02 
        35  0.000000000000000000e+00  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02  3.987633000000000150e-02 
