Read the target shape in
 ./files/input/20190327ResidueMirrorAndCyl_Offset500nmMA-0.01mm.txt
Read the unit sputter yield in
 ./files/input/20190327SputterYieldon20190327.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2261
  # 1/2 Unit :    1130
  # All      :    8922
The number of threads
  # Total    :       4
  # Thread   :       3
  # Thread   :       1
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0034

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:     59183, alpha:    0.0372, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59185, alpha:    0.0354, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59187, alpha:    0.0336, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59189, alpha:    0.0319, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59191, alpha:    0.0303, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59192, alpha:    0.0288, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59194, alpha:    0.0274, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59196, alpha:    0.0260, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59198, alpha:    0.0247, rms:    2.3855
loop:     59200, alpha:    0.0247, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59200, alpha:    0.0235, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59201, alpha:    0.0223, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59203, alpha:    0.0212, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59205, alpha:    0.0201, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59207, alpha:    0.0191, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59209, alpha:    0.0182, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59211, alpha:    0.0172, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59213, alpha:    0.0164, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59215, alpha:    0.0156, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59217, alpha:    0.0148, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59219, alpha:    0.0140, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59221, alpha:    0.0133, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59223, alpha:    0.0127, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59224, alpha:    0.0120, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59226, alpha:    0.0114, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59228, alpha:    0.0109, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59230, alpha:    0.0103, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59231, alpha:    0.0098, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59233, alpha:    0.0093, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59234, alpha:    0.0089, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59236, alpha:    0.0084, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59238, alpha:    0.0080, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59240, alpha:    0.0076, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59242, alpha:    0.0072, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59244, alpha:    0.0068, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59246, alpha:    0.0065, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59248, alpha:    0.0062, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59249, alpha:    0.0059, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59251, alpha:    0.0056, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59253, alpha:    0.0053, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59255, alpha:    0.0050, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59257, alpha:    0.0048, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59259, alpha:    0.0045, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59261, alpha:    0.0043, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59263, alpha:    0.0041, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59265, alpha:    0.0039, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59267, alpha:    0.0037, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59269, alpha:    0.0035, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59271, alpha:    0.0033, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59273, alpha:    0.0032, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59275, alpha:    0.0030, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59277, alpha:    0.0029, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59278, alpha:    0.0027, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59280, alpha:    0.0026, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59281, alpha:    0.0025, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59283, alpha:    0.0023, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59285, alpha:    0.0022, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59286, alpha:    0.0021, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59288, alpha:    0.0020, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59290, alpha:    0.0019, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59292, alpha:    0.0018, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59294, alpha:    0.0017, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59296, alpha:    0.0016, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59297, alpha:    0.0015, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59299, alpha:    0.0015, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59300, alpha:    0.0014, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59302, alpha:    0.0013, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59304, alpha:    0.0013, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59306, alpha:    0.0012, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59308, alpha:    0.0011, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59310, alpha:    0.0011, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59312, alpha:    0.0010, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59314, alpha:    0.0010, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59316, alpha:    0.0009, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59318, alpha:    0.0009, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59320, alpha:    0.0008, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59322, alpha:    0.0008, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59324, alpha:    0.0008, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59325, alpha:    0.0007, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59327, alpha:    0.0007, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59329, alpha:    0.0006, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59331, alpha:    0.0006, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59333, alpha:    0.0006, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59334, alpha:    0.0006, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59336, alpha:    0.0005, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59338, alpha:    0.0005, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59340, alpha:    0.0005, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59342, alpha:    0.0005, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59344, alpha:    0.0004, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59346, alpha:    0.0004, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59348, alpha:    0.0004, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59350, alpha:    0.0004, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59352, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59354, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59356, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59357, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59359, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59361, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59363, alpha:    0.0003, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59365, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59367, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59369, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59371, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59373, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59375, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59377, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59378, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59379, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59381, alpha:    0.0002, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59382, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59384, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59385, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59387, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59389, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59391, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59392, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59394, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59396, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59398, alpha:    0.0001, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59400, alpha:    0.0001, rms:    2.3855
