     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-110000          Iteration-120000          Iteration-130000          Iteration-140000          Iteration-150000          Iteration-160000          Iteration-170000          Iteration-180000          Iteration-190000          Iteration-200000          Iteration-200001 
        10  0.000000000000000000e+00  4.466374068380048357e+00  4.591469049273428027e+00  4.760967786036303551e+00  4.843960748302208685e+00  4.972029076611306664e+00  5.011199831439000718e+00  5.011199839546577550e+00  5.011199847689283615e+00  5.011199855786401258e+00  5.011199863894091777e+00  5.011199871965800412e+00  5.011199880049900912e+00  5.011199888156568250e+00  5.011199896254368014e+00  5.011199904313457409e+00  5.011199912433028203e+00  5.011199920542765085e+00  5.011199928548478510e+00  5.011199936591026471e+00  5.011199944644260995e+00  5.011199944644260995e+00 
        11  0.000000000000000000e+00  4.676573755416200129e+00  4.795411696755650155e+00  4.957264005015758812e+00  5.033182166172821326e+00  5.153584516559419626e+00  5.190586627722098001e+00  5.190586635359977663e+00  5.190586643030428604e+00  5.190586650655916401e+00  5.190586658293511846e+00  5.190586665896375962e+00  5.190586673511859317e+00  5.190586681147919990e+00  5.190586688775113089e+00  5.190586696365585340e+00  5.190586704014435782e+00  5.190586711654304963e+00  5.190586719194470788e+00  5.190586726770504811e+00  5.190586734356202214e+00  5.190586734356202214e+00 
        12  0.000000000000000000e+00  4.787815811620987461e+00  4.900413332664982136e+00  5.054666270809775597e+00  5.123530445139977019e+00  5.236263970131119549e+00  5.271095339452813278e+00  5.271095346618778876e+00  5.271095353816633633e+00  5.271095360972253729e+00  5.271095368137650894e+00  5.271095375271613648e+00  5.271095382417115616e+00  5.271095389581944346e+00  5.271095396739326588e+00  5.271095403861806972e+00  5.271095411038061229e+00  5.271095418206357408e+00  5.271095425281657754e+00  5.271095432390552560e+00  5.271095439507917035e+00  5.271095439507917035e+00 
        13  0.000000000000000000e+00  4.774427528231569795e+00  4.880810678483555876e+00  5.027519017943404833e+00  5.089356369150095816e+00  5.194426733280863573e+00  5.227087657797028442e+00  5.227087664491591568e+00  5.227087671215940645e+00  5.227087677901124607e+00  5.227087684595232986e+00  5.227087691260351221e+00  5.227087697935758115e+00  5.227087704629354903e+00  5.227087711316585228e+00  5.227087717970675840e+00  5.227087724675243408e+00  5.227087731371511836e+00  5.227087737981776172e+00  5.227087744622281207e+00  5.227087751272676996e+00  5.227087751272676996e+00 
        14  0.000000000000000000e+00  4.614585882482401757e+00  4.714789897088451198e+00  4.854015806983568382e+00  4.908859515720052968e+00  5.006280612307477895e+00  5.036773635779411507e+00  5.036773642002344786e+00  5.036773648253927149e+00  5.036773654469527628e+00  5.036773660693540933e+00  5.036773666889246215e+00  5.036773673096092807e+00  5.036773679319139774e+00  5.036773685535592904e+00  5.036773691721350588e+00  5.036773697954799900e+00  5.036773704180859568e+00  5.036773710325860520e+00  5.036773716500590581e+00  5.036773722682653442e+00  5.036773722682653442e+00 
        15  0.000000000000000000e+00  4.318060131330923923e+00  4.412129117463393868e+00  4.543941939233434368e+00  4.591830885164711162e+00  4.681624481319545339e+00  4.709954356350465332e+00  4.709954362104269876e+00  4.709954367884506610e+00  4.709954373630012014e+00  4.709954379384896583e+00  4.709954385113007902e+00  4.709954390851919470e+00  4.709954396605553484e+00  4.709954402351570479e+00  4.709954408071553189e+00  4.709954413834111620e+00  4.709954419590189900e+00  4.709954425271348555e+00  4.709954430980303641e+00  4.709954436695568347e+00  4.709954436695568347e+00 
        16  0.000000000000000000e+00  3.909790050342166978e+00  3.997776717824592652e+00  4.122252304537710188e+00  4.163231255745586168e+00  4.245426652891978847e+00  4.271600228879719907e+00  4.271600234165646270e+00  4.271600239475219496e+00  4.271600244754324649e+00  4.271600250039909952e+00  4.271600255303098947e+00  4.271600260573791275e+00  4.271600265859490264e+00  4.271600271138026983e+00  4.271600276392064188e+00  4.271600281686119160e+00  4.271600286973580296e+00  4.271600292193170390e+00  4.271600297437032623e+00  4.271600302686920259e+00  4.271600302686920259e+00 
        17  0.000000000000000000e+00  3.414830180443175323e+00  3.496796419480403983e+00  3.614016346439143490e+00  3.648138098074809932e+00  3.722772823765581052e+00  3.746799270380051894e+00  3.746799275199691692e+00  3.746799280040477242e+00  3.746799284853295831e+00  3.746799289673447220e+00  3.746799294471713893e+00  3.746799299277824957e+00  3.746799304096896321e+00  3.746799308910510717e+00  3.746799313700932998e+00  3.746799318527166633e+00  3.746799323348966482e+00  3.746799328107897509e+00  3.746799332888372192e+00  3.746799337676634423e+00  3.746799337676634423e+00 
        18  0.000000000000000000e+00  2.858235535963501661e+00  2.934252398338628609e+00  3.044303997617703317e+00  3.071629359840358120e+00  3.138749150647981878e+00  3.160639957030525693e+00  3.160639961385982133e+00  3.160639965761504300e+00  3.160639970110821650e+00  3.160639974466050717e+00  3.160639978803374106e+00  3.160639983146040777e+00  3.160639987501440373e+00  3.160639991851837749e+00  3.160639996181316747e+00  3.160640000543025963e+00  3.160640004900585609e+00  3.160640009201074463e+00  3.160640013522083791e+00  3.160640017848265870e+00  3.160640017848265870e+00 
        19  0.000000000000000000e+00  2.265060877688426899e+00  2.335208223778124648e+00  2.438185082883023824e+00  2.458782883416859022e+00  2.518441811048035106e+00  2.538210738496161412e+00  2.538210742390845098e+00  2.538210746302638654e+00  2.538210750192718024e+00  2.538210754087003806e+00  2.538210757964577624e+00  2.538210761848858965e+00  2.538210765742803687e+00  2.538210769632712527e+00  2.538210773503806195e+00  2.538210777404856344e+00  2.538210781300392682e+00  2.538210785145679438e+00  2.538210789009553991e+00  2.538210792878146549e+00  2.538210792878146549e+00 
