Read the target shape in
 ./files/input/20190408ResidueMirrorAndCyl_MA-0.08mmOffset300nm.txt
Read the unit sputter yield in
 ./files/input/20190408SputterYieldon20190408.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2141
  # 1/2 Unit :    1070
  # All      :    8682
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       2
  # Thread   :       3
  # Thread   :       0
Computation time for initialization:    0.0039

Have memorized arrays 1 times
loop:     52744, alpha:    7.7185, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52746, alpha:    7.3325, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52748, alpha:    6.9659, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52750, alpha:    6.6176, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52752, alpha:    6.2867, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52754, alpha:    5.9724, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52756, alpha:    5.6738, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52758, alpha:    5.3901, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52760, alpha:    5.1206, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52761, alpha:    4.8646, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52763, alpha:    4.6213, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52765, alpha:    4.3903, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52767, alpha:    4.1708, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52769, alpha:    3.9622, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52771, alpha:    3.7641, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52773, alpha:    3.5759, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52775, alpha:    3.3971, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52777, alpha:    3.2272, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52779, alpha:    3.0659, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52781, alpha:    2.9126, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52783, alpha:    2.7670, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52785, alpha:    2.6286, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52787, alpha:    2.4972, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52789, alpha:    2.3723, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52790, alpha:    2.2537, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52792, alpha:    2.1410, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52794, alpha:    2.0340, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52796, alpha:    1.9323, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52797, alpha:    1.8357, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52799, alpha:    1.7439, rms:    1.8961
loop:     52800, alpha:    1.7439, rms:    1.8961
Multiplied alpha by    0.9500
