     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
        26  0.000000000000000000e+00  5.136280449280548055e+00  3.048338858562772202e+00  2.647380524271625291e+00  2.533651611050174779e+00  2.433168085580405204e+00  2.320497002862396130e+00  2.203242960196860167e+00  2.089061018435415917e+00  1.979447493256714097e+00  1.873931336523980917e+00  1.872902799428402432e+00 
        27  0.000000000000000000e+00  5.024945891579875479e+00  2.961018899314410646e+00  2.565974370128117243e+00  2.455361199674769068e+00  2.357492235136021463e+00  2.247320455811575357e+00  2.132469629792581145e+00  2.020571893382111739e+00  1.913150800871619595e+00  1.809753795310712121e+00  1.808746058233282383e+00 
        28  0.000000000000000000e+00  4.914340742712965948e+00  2.874477738074290301e+00  2.485364629569232875e+00  2.377875371182597064e+00  2.282624085479994847e+00  2.174951539184860394e+00  2.062501821773878419e+00  1.952884881035117814e+00  1.847651863958219565e+00  1.746368904854762150e+00  1.745381913552250808e+00 
        29  0.000000000000000000e+00  4.804303326335286783e+00  2.788552625018837716e+00  2.405387966087971563e+00  2.301030425185501826e+00  2.208399674232452981e+00  2.103226081430705108e+00  1.993175187400140658e+00  1.885835477113744219e+00  1.782786037383914390e+00  1.683611889550491014e+00  1.682645588521609170e+00 
        30  0.000000000000000000e+00  4.695001143940544353e+00  2.703409985157236406e+00  2.326210217507139077e+00  2.224991835765592896e+00  2.134984213922393792e+00  2.032309086550981192e+00  1.924654554254402683e+00  1.819588354520647044e+00  1.718717854126737166e+00  1.621647152903676670e+00  1.620701485394363317e+00 
        31  0.000000000000000000e+00  4.586269775208052124e+00  2.618884318915547738e+00  2.247665296702109572e+00  2.149593152340514735e+00  2.062210992986479141e+00  1.962033635196917203e+00  1.856772827447457530e+00  1.753976264645984884e+00  1.655279926686034742e+00  1.560307179018366242e+00  1.559382087037533893e+00 
        32  0.000000000000000000e+00  4.478277498384841238e+00  2.535142829155802247e+00  2.169919823788916347e+00  2.075000636660547571e+00  1.990246017405297607e+00  1.892565530789909189e+00  1.789695640022841872e+00  1.689164691897474313e+00  1.592637605553761659e+00  1.499757194868720944e+00  1.498852619232422967e+00 
        33  0.000000000000000000e+00  4.370860569601802581e+00  2.452020693881365787e+00  2.092808393660845923e+00  2.001048525511123444e+00  1.918923268707317220e+00  1.823738552990619155e+00  1.723256602088213185e+00  1.624987098640929162e+00  1.530624220146592052e+00  1.439830407370948251e+00  1.438946287715054950e+00 
        34  0.000000000000000000e+00  4.264188023208760114e+00  2.369685866805070873e+00  2.016498376734261910e+00  1.927903831575122240e+00  1.848409504964649841e+00  1.755719258810188421e+00  1.657622102012737741e+00  1.561609726509630036e+00  1.469405880207261816e+00  1.380692804880311542e+00  1.379829079672163061e+00 
        35  0.000000000000000000e+00  4.158094372144205408e+00  2.287971777917675809e+00  1.940822619665652837e+00  1.855399044294017585e+00  1.778536961759527912e+00  1.688339683688241166e+00  1.592624007624124260e+00  1.498864297688726310e+00  1.408814177182648564e+00  1.322175858653679370e+00  1.321332465205841800e+00 
