     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        15  0.000000000000000000e+00  0.000000000000000000e+00  7.395934051441319795e-03  7.551923859597535829e-03  7.928303485027680605e-03  8.419509469685464501e-03  8.994631043943783835e-03  9.639114478916582449e-03  9.639114478916582449e-03 
        16  0.000000000000000000e+00  0.000000000000000000e+00  8.136085071719879533e-03  8.297907533181552928e-03  8.687045530087589285e-03  9.194249695883022905e-03  9.787736706149222435e-03  1.045254258573870103e-02  1.045254258573870103e-02 
        17  0.000000000000000000e+00  0.000000000000000000e+00  8.919113066259958672e-03  9.088889082027692967e-03  9.496015812480679968e-03  1.002610025844672542e-02  1.064604193548942569e-02  1.134025723882186969e-02  1.134025723882186969e-02 
        18  0.000000000000000000e+00  0.000000000000000000e+00  9.743705470344839539e-03  9.923060779046959795e-03  1.035245027970717671e-02  1.091116734050567166e-02  1.156439647545509652e-02  1.229574697952728023e-02  1.229574697952728023e-02 
        19  0.000000000000000000e+00  0.000000000000000000e+00  1.060342596538463994e-02  1.079315896260183566e-02  1.124728160669840465e-02  1.183886273728415248e-02  1.256225215394176850e-02  1.340278714906297831e-02  1.340278714906297831e-02 
        20  0.000000000000000000e+00  0.000000000000000000e+00  1.148789608900500046e-02  1.197349679856683433e-02  1.284806715475627498e-02  1.391969230432182555e-02  1.519952779915863944e-02  1.666241485907676151e-02  1.666241485907676151e-02 
        21  0.000000000000000000e+00  0.000000000000000000e+00  1.238680719002771893e-02  1.386492150622025549e-02  1.588922402879518886e-02  1.820628506285909554e-02  2.083702182619541141e-02  2.373539159934998782e-02  2.373539159934998782e-02 
        22  0.000000000000000000e+00  0.000000000000000000e+00  1.329266493911723974e-02  1.671913157485300366e-02  2.080474909116019136e-02  2.530042256820541971e-02  3.023408519807397818e-02  3.553032171728258415e-02  3.553032171728258415e-02 
        23  0.000000000000000000e+00  0.000000000000000000e+00  1.419882672452436011e-02  2.064651114747954874e-02  2.774655321647052225e-02  3.538191042278149290e-02  4.358811520913524057e-02  5.225397078756874314e-02  5.225397078756874314e-02 
        24  0.000000000000000000e+00  0.000000000000000000e+00  1.509515335781771994e-02  2.563397156491048837e-02  3.662648803216023152e-02  4.827498517359715691e-02  6.062530018144200727e-02  7.352634316931981606e-02  7.352634316931981606e-02 
        25  0.000000000000000000e+00  0.000000000000000000e+00  1.596631887290663951e-02  3.156721173621723081e-02  4.716290644627659651e-02  6.351814953870800473e-02  8.069312532613856503e-02  9.849548861659673804e-02  9.849548861659673804e-02 
        26  0.000000000000000000e+00  0.000000000000000000e+00  1.679549682298236285e-02  3.825432049743413693e-02  5.892433889831202865e-02  8.042640980792291339e-02  1.028411151701731641e-01  1.259370287622484652e-01  1.259370287622484652e-01 
