Read the target shape in
 ./files/input/20190307ErrorBetweenMirrorandCylinder1stSputter60nmOffset.txt
Read the unit sputter yield in
 ./files/input/20190325SputterYieldon20190324_2.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5500
  # Unit     :    2175
  # 1/2 Unit :    1087
  # All      :    9850
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0040

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:     64400, alpha:   14.2500, rms:    1.7067
loop:     64800, alpha:   14.2500, rms:    1.7065
loop:     65200, alpha:   14.2500, rms:    1.7064
loop:     65600, alpha:   14.2500, rms:    1.7062
loop:     66000, alpha:   14.2500, rms:    1.7060
loop:     66400, alpha:   14.2500, rms:    1.7059
loop:     66800, alpha:   14.2500, rms:    1.7057
loop:     67200, alpha:   14.2500, rms:    1.7056
loop:     67600, alpha:   14.2500, rms:    1.7054
loop:     68000, alpha:   14.2500, rms:    1.7053
loop:     68400, alpha:   14.2500, rms:    1.7051
loop:     68800, alpha:   14.2500, rms:    1.7050
loop:     69200, alpha:   14.2500, rms:    1.7048
loop:     69600, alpha:   14.2500, rms:    1.7047
Have memorized arrays 8 times
loop:     70000, alpha:   14.2500, rms:    1.7046
loop:     70400, alpha:   14.2500, rms:    1.7044
loop:     70800, alpha:   14.2500, rms:    1.7043
loop:     71200, alpha:   14.2500, rms:    1.7041
loop:     71600, alpha:   14.2500, rms:    1.7040
loop:     72000, alpha:   14.2500, rms:    1.7039
loop:     72400, alpha:   14.2500, rms:    1.7038
loop:     72800, alpha:   14.2500, rms:    1.7036
loop:     73200, alpha:   14.2500, rms:    1.7035
loop:     73600, alpha:   14.2500, rms:    1.7034
loop:     74000, alpha:   14.2500, rms:    1.7033
loop:     74400, alpha:   14.2500, rms:    1.7031
loop:     74800, alpha:   14.2500, rms:    1.7030
loop:     75200, alpha:   14.2500, rms:    1.7029
loop:     75600, alpha:   14.2500, rms:    1.7028
loop:     76000, alpha:   14.2500, rms:    1.7027
loop:     76400, alpha:   14.2500, rms:    1.7025
loop:     76800, alpha:   14.2500, rms:    1.7024
loop:     77200, alpha:   14.2500, rms:    1.7023
loop:     77600, alpha:   14.2500, rms:    1.7022
loop:     78000, alpha:   14.2500, rms:    1.7021
loop:     78400, alpha:   14.2500, rms:    1.7020
loop:     78800, alpha:   14.2500, rms:    1.7019
loop:     79200, alpha:   14.2500, rms:    1.7018
loop:     79600, alpha:   14.2500, rms:    1.7017
Have memorized arrays 9 times
loop:     80000, alpha:   14.2500, rms:    1.7016
loop:     80400, alpha:   14.2500, rms:    1.7015
loop:     80800, alpha:   14.2500, rms:    1.7014
loop:     81200, alpha:   14.2500, rms:    1.7013
loop:     81600, alpha:   14.2500, rms:    1.7012
loop:     82000, alpha:   14.2500, rms:    1.7011
loop:     82400, alpha:   14.2500, rms:    1.7010
loop:     82800, alpha:   14.2500, rms:    1.7009
loop:     83200, alpha:   14.2500, rms:    1.7008
loop:     83600, alpha:   14.2500, rms:    1.7007
loop:     84000, alpha:   14.2500, rms:    1.7006
loop:     84400, alpha:   14.2500, rms:    1.7005
loop:     84800, alpha:   14.2500, rms:    1.7004
loop:     85200, alpha:   14.2500, rms:    1.7003
loop:     85600, alpha:   14.2500, rms:    1.7002
loop:     86000, alpha:   14.2500, rms:    1.7002
loop:     86400, alpha:   14.2500, rms:    1.7001
loop:     86800, alpha:   14.2500, rms:    1.7000
loop:     87200, alpha:   14.2500, rms:    1.6999
loop:     87600, alpha:   14.2500, rms:    1.6998
loop:     88000, alpha:   14.2500, rms:    1.6997
loop:     88400, alpha:   14.2500, rms:    1.6996
loop:     88800, alpha:   14.2500, rms:    1.6996
loop:     89200, alpha:   14.2500, rms:    1.6995
loop:     89600, alpha:   14.2500, rms:    1.6994
Have memorized arrays 10 times
loop:     90000, alpha:   14.2500, rms:    1.6993
loop:     90400, alpha:   14.2500, rms:    1.6992
loop:     90800, alpha:   14.2500, rms:    1.6992
loop:     91200, alpha:   14.2500, rms:    1.6991
loop:     91600, alpha:   14.2500, rms:    1.6990
loop:     92000, alpha:   14.2500, rms:    1.6989
loop:     92400, alpha:   14.2500, rms:    1.6988
loop:     92800, alpha:   14.2500, rms:    1.6988
loop:     93200, alpha:   14.2500, rms:    1.6987
loop:     93600, alpha:   14.2500, rms:    1.6986
loop:     94000, alpha:   14.2500, rms:    1.6985
loop:     94400, alpha:   14.2500, rms:    1.6985
loop:     94800, alpha:   14.2500, rms:    1.6984
loop:     95200, alpha:   14.2500, rms:    1.6983
loop:     95600, alpha:   14.2500, rms:    1.6982
loop:     96000, alpha:   14.2500, rms:    1.6982
loop:     96400, alpha:   14.2500, rms:    1.6981
loop:     96800, alpha:   14.2500, rms:    1.6980
loop:     97200, alpha:   14.2500, rms:    1.6980
loop:     97600, alpha:   14.2500, rms:    1.6979
loop:     98000, alpha:   14.2500, rms:    1.6978
loop:     98400, alpha:   14.2500, rms:    1.6978
loop:     98800, alpha:   14.2500, rms:    1.6977
loop:     99200, alpha:   14.2500, rms:    1.6976
loop:     99600, alpha:   14.2500, rms:    1.6976
Have memorized arrays 11 times
loop:    100000, alpha:   14.2500, rms:    1.6975
loop:    100400, alpha:   14.2500, rms:    1.6974
loop:    100800, alpha:   14.2500, rms:    1.6974
loop:    101200, alpha:   14.2500, rms:    1.6973
loop:    101600, alpha:   14.2500, rms:    1.6972
loop:    102000, alpha:   14.2500, rms:    1.6972
loop:    102400, alpha:   14.2500, rms:    1.6971
loop:    102800, alpha:   14.2500, rms:    1.6970
loop:    103200, alpha:   14.2500, rms:    1.6970
loop:    103600, alpha:   14.2500, rms:    1.6969
loop:    104000, alpha:   14.2500, rms:    1.6968
loop:    104400, alpha:   14.2500, rms:    1.6968
loop:    104800, alpha:   14.2500, rms:    1.6967
loop:    105200, alpha:   14.2500, rms:    1.6967
loop:    105600, alpha:   14.2500, rms:    1.6966
loop:    106000, alpha:   14.2500, rms:    1.6965
loop:    106400, alpha:   14.2500, rms:    1.6965
loop:    106800, alpha:   14.2500, rms:    1.6964
loop:    107200, alpha:   14.2500, rms:    1.6963
loop:    107600, alpha:   14.2500, rms:    1.6963
loop:    108000, alpha:   14.2500, rms:    1.6962
loop:    108400, alpha:   14.2500, rms:    1.6962
loop:    108800, alpha:   14.2500, rms:    1.6961
loop:    109200, alpha:   14.2500, rms:    1.6960
loop:    109600, alpha:   14.2500, rms:    1.6960
Have memorized arrays 12 times
loop:    110000, alpha:   14.2500, rms:    1.6959
loop:    110400, alpha:   14.2500, rms:    1.6959
loop:    110800, alpha:   14.2500, rms:    1.6958
loop:    111200, alpha:   14.2500, rms:    1.6958
loop:    111600, alpha:   14.2500, rms:    1.6957
loop:    112000, alpha:   14.2500, rms:    1.6956
loop:    112400, alpha:   14.2500, rms:    1.6956
loop:    112800, alpha:   14.2500, rms:    1.6955
loop:    113200, alpha:   14.2500, rms:    1.6955
loop:    113600, alpha:   14.2500, rms:    1.6954
loop:    114000, alpha:   14.2500, rms:    1.6954
loop:    114400, alpha:   14.2500, rms:    1.6953
loop:    114800, alpha:   14.2500, rms:    1.6952
loop:    115200, alpha:   14.2500, rms:    1.6952
loop:    115600, alpha:   14.2500, rms:    1.6951
loop:    116000, alpha:   14.2500, rms:    1.6951
loop:    116400, alpha:   14.2500, rms:    1.6950
loop:    116800, alpha:   14.2500, rms:    1.6950
loop:    117200, alpha:   14.2500, rms:    1.6949
loop:    117600, alpha:   14.2500, rms:    1.6949
loop:    118000, alpha:   14.2500, rms:    1.6948
loop:    118400, alpha:   14.2500, rms:    1.6948
loop:    118800, alpha:   14.2500, rms:    1.6947
loop:    119200, alpha:   14.2500, rms:    1.6946
loop:    119600, alpha:   14.2500, rms:    1.6946
Have memorized arrays 13 times
loop:    120000, alpha:   14.2500, rms:    1.6945
loop:    120400, alpha:   14.2500, rms:    1.6945
loop:    120800, alpha:   14.2500, rms:    1.6944
loop:    121200, alpha:   14.2500, rms:    1.6944
loop:    121600, alpha:   14.2500, rms:    1.6943
