     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        24  2.515858892969620106e-02  2.515858892969620106e-02  2.520755345549069090e-02  2.721551676361322683e-02  2.923082884632636005e-02  3.120329905807481957e-02  3.316726132251094500e-02  3.516505450487823065e-02  3.516505450487823065e-02 
        25  2.661053145484440149e-02  2.661053145484440149e-02  2.666673482029241482e-02  2.989381758916624318e-02  3.291027723884952516e-02  3.581094890425133570e-02  3.867535370217681928e-02  4.157283551487848949e-02  4.157283551487848949e-02 
        26  2.799249470497060591e-02  2.799249470497060591e-02  2.805662776450845719e-02  3.280605247931358409e-02  3.698800358283439033e-02  4.094731314306805647e-02  4.482877734930228175e-02  4.873657344874132713e-02  4.873657344874132713e-02 
        27  2.928465007217220459e-02  2.928465007217220459e-02  2.935742029776666068e-02  3.591464415659882670e-02  4.138333053352259705e-02  4.648465984032422449e-02  5.145117186479415683e-02  5.642988832766607926e-02  5.642988832766607926e-02 
        28  3.048203023192200614e-02  3.048203023192200614e-02  3.056415210032807986e-02  3.919032404809997400e-02  4.602331947909865661e-02  5.230413852359123289e-02  5.837692552848160188e-02  6.443938991488988577e-02  6.443938991488988577e-02 
        29  3.159475023190259912e-02  3.159475023190259912e-02  3.168693490169387922e-02  4.262424551762050012e-02  5.086861838996752788e-02  5.833555898542849144e-02  6.550495594349442507e-02  7.263260434575651014e-02  7.263260434575651014e-02 
        30  3.264390991870100289e-02  3.264390991870100289e-02  3.274685559046899841e-02  4.623701858625289818e-02  5.593591552342499357e-02  6.459305902466772054e-02  7.284747506907046644e-02  8.101981507245302472e-02  8.101981507245302472e-02 
        31  3.365470706699599801e-02  3.365470706699599801e-02  3.376909130807987519e-02  5.007979292238091268e-02  6.130604058576671206e-02  7.118982823225582235e-02  8.055113113903920874e-02  8.978147919902768059e-02  8.978147919902768059e-02 
        32  3.465105544085139710e-02  3.465105544085139710e-02  3.477753035145127181e-02  5.422667309003809111e-02  6.711283299871301233e-02  7.832310781424364765e-02  8.887798022034539003e-02  9.924500617892734189e-02  9.924500617892734189e-02 
        33  3.565543620980241024e-02  3.565543620980241024e-02  3.579462673558394398e-02  5.876119761296773325e-02  7.351573140392310413e-02  8.623285882367330568e-02  9.815023662258408332e-02  1.098155497614060894e-01  1.098155497614060894e-01 
        34  3.668976384110120975e-02  3.668976384110120975e-02  3.684226908871727352e-02  6.375698191963366512e-02  8.066066048135459021e-02  9.514315401013494211e-02  1.086723390292192726e-01  1.218788632958795887e-01  1.218788632958795887e-01 
        35  3.777144431738400920e-02  3.777144431738400920e-02  3.793784163292025780e-02  6.925269671712605546e-02  8.863448182145933218e-02  1.051964266091508782e-01  1.206452043232634497e-01  1.356957091826724582e-01  1.356957091826724582e-01 
        36  3.890879666271680748e-02  3.890879666271680748e-02  3.908964811299164843e-02  7.522941045017574047e-02  9.742460654413083454e-02  1.163955509886531042e-01  1.340909174451960784e-01  1.513092701445764021e-01  1.513092701445764021e-01 
        37  4.010449207317960674e-02  4.010449207317960674e-02  4.030035241242838767e-02  8.160196175947739827e-02  1.068980768418110044e-01  1.285705558383267166e-01  1.488070716058329801e-01  1.684871387184314062e-01  1.684871387184314062e-01 
        38  4.136601100946760146e-02  4.136601100946760146e-02  4.157743569863370237e-02  8.822585721962243610e-02  1.168036750224426268e-01  1.413755927769690945e-01  1.643584325371869326e-01  1.867075774582414860e-01  1.867075774582414860e-01 
        39  4.271287758387180139e-02  4.271287758387180139e-02  4.294042977641960440e-02  9.491059361981026010e-02  1.267902675191350248e-01  1.543119554092955148e-01  1.801044475366258835e-01  2.051914267047141582e-01  2.051914267047141582e-01 
        40  4.417413634392899913e-02  4.417413634392899913e-02  4.441839286842454160e-02  1.014340754830973523e-01  1.364378140975879838e-01  1.667753512629418511e-01  1.952625909118328451e-01  2.229814786425002304e-01  2.229814786425002304e-01 
        41  4.578177234247939736e-02  4.578177234247939736e-02  4.604332964104824316e-02  1.075621969004940531e-01  1.453172977978906821e-01  1.781508467123048278e-01  2.090279623316214919e-01  2.390854418401834325e-01  2.390854418401834325e-01 
        42  4.756954947510019793e-02  4.756954947510019793e-02  4.784903054409171685e-02  1.132865982789327264e-01  1.534007583964936416e-01  1.883702096441872975e-01  2.212900703157394677e-01  2.533461821684806492e-01  2.533461821684806492e-01 
        43  4.957761929058419198e-02  4.957761929058419198e-02  4.987568234669003536e-02  1.186616884086135471e-01  1.607375227381675209e-01  1.974713326481408460e-01  2.320726970761638197e-01  2.657718200434914246e-01  2.657718200434914246e-01 
        44  5.185633525784639347e-02  5.185633525784639347e-02  5.217368490216180155e-02  1.237897369150905980e-01  1.674546173825499917e-01  2.055982904016316337e-01  2.415337069350696753e-01  2.765317497310916806e-01  2.765317497310916806e-01 
        45  5.446484775890398505e-02  5.446484775890398505e-02  5.480224981799183825e-02  1.288078304244641425e-01  1.737374519965678710e-01  2.129776076132881002e-01  2.499377310399064356e-01  2.859263341848832796e-01  2.859263341848832796e-01 
        46  5.746605272137037673e-02  5.746605272137037673e-02  5.782435408643366026e-02  1.338698972899433903e-01  1.798055207559662305e-01  2.198895177677235857e-01  2.576239292984262574e-01  2.943518940291492969e-01  2.943518940291492969e-01 
        47  6.092170586060837584e-02  6.092170586060837584e-02  6.130186014583667575e-02  1.391289186046933690e-01  1.858864065075823413e-01  2.266352384567389688e-01  2.649672121844763306e-01  3.022564179372898008e-01  3.022564179372898008e-01 
