     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        25  3.051514737333467231e-01  3.051514737333467231e-01  3.051482927836782211e-01  2.348968953491717970e-01  1.870046029066708970e-01  1.708406114208698701e-01  1.643977725350763142e-01  1.620853808995617873e-01  1.620853808995617873e-01 
        26  3.263705575696262406e-01  3.263705575696262406e-01  3.263672016532936371e-01  2.551678895581680484e-01  2.068478594199974208e-01  1.914622586511343649e-01  1.860453335106812545e-01  1.848763934013017418e-01  1.848763934013017418e-01 
        27  3.473977237154183273e-01  3.473977237154183273e-01  3.473942039404463444e-01  2.753766788110772468e-01  2.266042049024200866e-01  2.121582315310047984e-01  2.079163926400708351e-01  2.080015852253542241e-01  2.080015852253542241e-01 
        28  3.681357730577095588e-01  3.681357730577095588e-01  3.681321055005766785e-01  2.954489323387263777e-01  2.461779427205345316e-01  2.327003219428138425e-01  2.296536165240561922e-01  2.309846391915409136e-01  2.309846391915409136e-01 
        29  3.885951172299622614e-01  3.885951172299622614e-01  3.885913246624815853e-01  3.155022196477866858e-01  2.657388635751551376e-01  2.531682323079409436e-01  2.512494154011876701e-01  2.537432508388615671e-01  2.537432508388615671e-01 
        30  4.088699645653633974e-01  4.088699645653633974e-01  4.088660778282261488e-01  3.358146246769572740e-01  2.856899159333067817e-01  2.739533261903858707e-01  2.730859367287680195e-01  2.766527184680630524e-01  2.766527184680630524e-01 
        31  4.290919426305674911e-01  4.290919426305674911e-01  4.290880013594353670e-01  3.567563930154192819e-01  3.065894247563907271e-01  2.956978776029555722e-01  2.958725949602241112e-01  3.004751632985239174e-01  3.004751632985239174e-01 
        32  4.493918052019290066e-01  4.493918052019290066e-01  4.493878577000315344e-01  3.787162480710595247e-01  3.290560717486015196e-01  3.191769666344626000e-01  3.204957882632407662e-01  3.261862196222937160e-01  3.261862196222937160e-01 
        33  4.698975982660618111e-01  4.698975982660618111e-01  4.698937004564417430e-01  4.020552077208898734e-01  3.536817440090713194e-01  3.451570409351696345e-01  3.478376147245755834e-01  3.547715817459622945e-01  3.547715817459622945e-01 
        34  4.907403462716072307e-01  4.907403462716072307e-01  4.907365598048443744e-01  4.270661922426991497e-01  3.809359253878543683e-01  3.742417317089266615e-01  3.785965842061124742e-01  3.870310760316139076e-01  3.870310760316139076e-01 
        35  5.120245158192275881e-01  5.120245158192275881e-01  5.120209055080883198e-01  4.539045351616008972e-01  4.110496309831658812e-01  4.067132854993817381e-01  4.131184780561414915e-01  4.233950019524067576e-01  4.233950019524067576e-01 
        36  5.337920557463154969e-01  5.337920557463154969e-01  5.337886865738433739e-01  4.825242531534258417e-01  4.439319026236203114e-01  4.424369588346426241e-01  4.512850730817802858e-01  4.637909970241906321e-01  4.637909970241906321e-01 
        37  5.560439572344560988e-01  5.560439572344560988e-01  5.560408912839078788e-01  5.126879092185256948e-01  4.791841018630079163e-01  4.808981242645120058e-01  4.925328916136250679e-01  5.076346327321110685e-01  5.076346327321110685e-01 
        38  5.788155095010992790e-01  5.788155095010992790e-01  5.788128032306204540e-01  5.440491680890546800e-01  5.161964883502631052e-01  5.213402604506353066e-01  5.359910934590632614e-01  5.539533002263392625e-01  5.539533002263392625e-01 
