     Count               Iteration-1          Iteration-143001 
        75  0.000000000000000000e+00  1.799379180808846623e-02 
        76  0.000000000000000000e+00  1.887624508987300817e-02 
        77  0.000000000000000000e+00  1.979035227066571617e-02 
        78  0.000000000000000000e+00  2.073675765635072873e-02 
        79  0.000000000000000000e+00  2.171608406992524623e-02 
        80  0.000000000000000000e+00  2.272893281418128519e-02 
        81  0.000000000000000000e+00  2.377591003085784485e-02 
        82  0.000000000000000000e+00  2.485762556004065052e-02 
        83  0.000000000000000000e+00  2.597469184860268579e-02 
        84  0.000000000000000000e+00  2.712772288637194107e-02 
        85  0.000000000000000000e+00  2.831733319000331178e-02 
        86  0.000000000000000000e+00  2.954413681328373065e-02 
        87  0.000000000000000000e+00  3.080877231964029156e-02 
        88  0.000000000000000000e+00  3.211190074627356256e-02 
        89  0.000000000000000000e+00  3.345420364005118746e-02 
        90  0.000000000000000000e+00  3.483638113595307478e-02 
        91  0.000000000000000000e+00  3.625918994922221195e-02 
        92  0.000000000000000000e+00  3.772343984730387040e-02 
        93  0.000000000000000000e+00  3.922999023105894212e-02 
        94  0.000000000000000000e+00  4.077974678495983885e-02 
        95  0.000000000000000000e+00  4.237365823509540302e-02 
        96  0.000000000000000000e+00  4.401271317455032750e-02 
        97  0.000000000000000000e+00  4.569792082302243097e-02 
        98  0.000000000000000000e+00  4.743030872184107044e-02 
        99  0.000000000000000000e+00  4.921089796752280837e-02 
       100  0.000000000000000000e+00  5.104070202054056260e-02 
       101  0.000000000000000000e+00  5.292072557820115541e-02 
       102  0.000000000000000000e+00  5.485196348179324083e-02 
       103  0.000000000000000000e+00  5.683538723256020830e-02 
       104  0.000000000000000000e+00  5.887194453070885430e-02 
       105  0.000000000000000000e+00  6.096255886274241226e-02 
       106  0.000000000000000000e+00  6.310812911010332815e-02 
       107  0.000000000000000000e+00  6.530952920449253907e-02 
       108  0.000000000000000000e+00  6.756760780298318170e-02 
       109  0.000000000000000000e+00  6.988319177591320597e-02 
       110  0.000000000000000000e+00  7.225708578207276633e-02 
       111  0.000000000000000000e+00  7.469010350664098685e-02 
       112  0.000000000000000000e+00  7.718306593826418371e-02 
       113  0.000000000000000000e+00  7.973679972256177140e-02 
       114  0.000000000000000000e+00  8.235213555564038779e-02 
       115  0.000000000000000000e+00  8.502992789652626116e-02 
       116  0.000000000000000000e+00  8.777105255743693213e-02 
       117  0.000000000000000000e+00  9.057640438815554862e-02 
       118  0.000000000000000000e+00  9.344689501259649533e-02 
       119  0.000000000000000000e+00  9.638345065791641131e-02 
       120  0.000000000000000000e+00  9.938701003395783440e-02 
       121  0.000000000000000000e+00  1.024585412303049003e-01 
       122  0.000000000000000000e+00  1.055990389192838774e-01 
       123  0.000000000000000000e+00  1.088095080463709202e-01 
       124  0.000000000000000000e+00  1.120909617900679861e-01 
       125  0.000000000000000000e+00  1.154444196151691859e-01 
       126  0.000000000000000000e+00  1.188709053752277645e-01 
       127  0.000000000000000000e+00  1.223714816056490906e-01 
       128  0.000000000000000000e+00  1.259472462076461907e-01 
       129  0.000000000000000000e+00  1.295993292581812950e-01 
       130  0.000000000000000000e+00  1.333288898905777287e-01 
       131  0.000000000000000000e+00  1.371371132981434315e-01 
       132  0.000000000000000000e+00  1.410252078058177039e-01 
       133  0.000000000000000000e+00  1.449943631969123903e-01 
       134  0.000000000000000000e+00  1.490457496466046083e-01 
       135  0.000000000000000000e+00  1.531805300229938382e-01 
       136  0.000000000000000000e+00  1.573998583602094770e-01 
       137  0.000000000000000000e+00  1.617048784207744394e-01 
       138  0.000000000000000000e+00  1.660967222987596026e-01 
       139  0.000000000000000000e+00  1.705764928298956484e-01 
       140  0.000000000000000000e+00  1.751452630213319317e-01 
       141  0.000000000000000000e+00  1.798040755486664533e-01 
       142  0.000000000000000000e+00  1.845539422770493820e-01 
       143  0.000000000000000000e+00  1.893958438475611683e-01 
       144  0.000000000000000000e+00  1.943307292854757062e-01 
       145  0.000000000000000000e+00  1.993595598984087003e-01 
