     Count               Iteration-1          Iteration-143001 
        46  0.000000000000000000e+00 -1.200582471273037299e-01 
        47  0.000000000000000000e+00 -1.222782842114611412e-01 
        48  0.000000000000000000e+00 -1.241741384486658717e-01 
        49  0.000000000000000000e+00 -1.259202092368241210e-01 
        50  0.000000000000000000e+00 -1.273545204213064608e-01 
        51  0.000000000000000000e+00 -1.286495887139835759e-01 
        52  0.000000000000000000e+00 -1.296439973800715961e-01 
        53  0.000000000000000000e+00 -1.305119819061246744e-01 
        54  0.000000000000000000e+00 -1.310897076434685005e-01 
        55  0.000000000000000000e+00 -1.315526490734555409e-01 
        56  0.000000000000000000e+00 -1.317356918681866773e-01 
        57  0.000000000000000000e+00 -1.318132416424191433e-01 
        58  0.000000000000000000e+00 -1.316211037941457107e-01 
        59  0.000000000000000000e+00 -1.313334651151194521e-01 
        60  0.000000000000000000e+00 -1.307844175029231337e-01 
        61  0.000000000000000000e+00 -1.301485352614122348e-01 
        62  0.000000000000000000e+00 -1.292615703538331218e-01 
        63  0.000000000000000000e+00 -1.282988665705033782e-01 
        64  0.000000000000000000e+00 -1.270929536738663046e-01 
        65  0.000000000000000000e+00 -1.258223511630376379e-01 
        66  0.000000000000000000e+00 -1.243205406897232024e-01 
        67  0.000000000000000000e+00 -1.227629403255150464e-01 
        68  0.000000000000000000e+00 -1.209870768032033084e-01 
        69  0.000000000000000000e+00 -1.191660557281579713e-01 
        70  0.000000000000000000e+00 -1.171373384503340276e-01 
        71  0.000000000000000000e+00 -1.150758206700857045e-01 
        72  0.000000000000000000e+00 -1.128146138726719983e-01 
        73  0.000000000000000000e+00 -1.105334259042365375e-01 
        74  0.000000000000000000e+00 -1.080634062904550774e-01 
        75  0.000000000000000000e+00 -1.055835603155514946e-01 
        76  0.000000000000000000e+00 -1.029266183144841307e-01 
        77  0.000000000000000000e+00 -1.002718068770036552e-01 
        78  0.000000000000000000e+00 -9.745122051123189522e-02 
        79  0.000000000000000000e+00 -9.464419518900513140e-02 
        80  0.000000000000000000e+00 -9.168443638685630503e-02 
        81  0.000000000000000000e+00 -8.874867069073388848e-02 
        82  0.000000000000000000e+00 -8.567152093172580862e-02 
        83  0.000000000000000000e+00 -8.262988323696163206e-02 
        84  0.000000000000000000e+00 -7.945730823530539055e-02 
        85  0.000000000000000000e+00 -7.633124102562760527e-02 
        86  0.000000000000000000e+00 -7.308415855300154362e-02 
        87  0.000000000000000000e+00 -6.989418108628342452e-02 
        88  0.000000000000000000e+00 -6.659385587437327558e-02 
        89  0.000000000000000000e+00 -6.335924261713898886e-02 
        90  0.000000000000000000e+00 -6.002307629648839793e-02 
        91  0.000000000000000000e+00 -5.676072214578198327e-02 
        92  0.000000000000000000e+00 -5.340446122073672086e-02 
        93  0.000000000000000000e+00 -5.012877788470859741e-02 
        94  0.000000000000000000e+00 -4.676454700768317707e-02 
        95  0.000000000000000000e+00 -4.348862304419753855e-02 
        96  0.000000000000000000e+00 -4.012989095468810774e-02 
