     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
      1885  0.000000000000000000e+00 -4.627630886825613743e+00 -1.199941750366406268e+00 -8.992756062304465559e-01 -6.038267022910872583e-01 -3.888687536287989133e-01 -2.481534080462779457e-01 -1.602082729572202879e-01 -1.047711511150737351e-01 -6.858121406753525662e-02 -4.625332235519863389e-02 -4.608409327471463257e-02 
      1886  0.000000000000000000e+00 -4.618262893206633635e+00 -1.192736856873921170e+00 -8.919561338826156316e-01 -5.963450258169586959e-01 -3.812980308285887077e-01 -2.405422569783581821e-01 -1.525924466251922240e-01 -9.716039252549535377e-02 -6.096880954339667369e-02 -3.868351486789833871e-02 -3.851499120355583727e-02 
      1887  0.000000000000000000e+00 -4.608643147934799345e+00 -1.185277604547195551e+00 -8.843937563621580011e-01 -5.886335649004195147e-01 -3.735080313332446167e-01 -2.327190349636794053e-01 -1.447690939364747464e-01 -8.934481251844772487e-02 -5.315310247721072301e-02 -3.091105715662934017e-02 -3.074324198388467266e-02 
      1888  0.000000000000000000e+00 -4.599149968161611923e+00 -1.177942736759746367e+00 -8.769675949212114574e-01 -5.810714918084158853e-01 -3.658779391321900221e-01 -2.250629203513767607e-01 -1.371173786669146466e-01 -8.170355480876878573e-02 -4.551321151853926494e-02 -2.331503717886107552e-02 -2.314793324120500984e-02 
      1889  0.000000000000000000e+00 -4.589403679203314823e+00 -1.170353246108788881e+00 -8.692987809480996475e-01 -5.732799880799461789e-01 -3.580289466048043323e-01 -2.171950992375286660e-01 -1.292584719378737645e-01 -7.385777025820061681e-02 -3.767026243610871461e-02 -1.551661893074651744e-02 -1.535023237676114150e-02 
      1890  0.000000000000000000e+00 -4.579785695171267434e+00 -1.162891233549999015e+00 -8.617695542443470913e-01 -5.656413428161499724e-01 -3.503433528227333227e-01 -2.094978637716735648e-01 -1.215746505490074014e-01 -6.618971523317895844e-02 -3.000648648395554119e-02 -7.898233840023749508e-03 -7.732570598307120235e-03 
      1891  0.000000000000000000e+00 -4.569917047720707615e+00 -1.155178412292968915e+00 -8.540017669249664323e-01 -5.577774565784920924e-01 -3.424430674572818134e-01 -2.015931160869399719e-01 -1.136878009041311088e-01 -5.832125553382638827e-02 -2.214387992319188925e-02 -8.192356511926845997e-05  8.301065696514342562e-05 
      1892  0.000000000000000000e+00 -4.560178921412443742e+00 -1.147596503029944870e+00 -8.463772786458321207e-01 -5.500702366305176838e-01 -3.347100060296952506e-01 -1.938627635551029016e-01 -1.059798142910040042e-01 -5.063431407637608572e-02 -1.446450948043320750e-02  7.550264688632069010e-03  7.714464399953158136e-03 
      1893  0.000000000000000000e+00 -4.550190999743449538e+00 -1.139765727468954992e+00 -8.385164501435724560e-01 -5.421400904814959176e-01 -3.267645834674226535e-01 -1.859272123514870145e-01 -9.807110972161581230e-02 -4.274947128078565584e-02 -6.588940839435508678e-03  1.537778456503247071e-02  1.554124449177152201e-02 
      1894  0.000000000000000000e+00 -4.540334353270907286e+00 -1.132067696452111250e+00 -8.308010313492673049e-01 -5.343688826698667071e-01 -3.189886708996141351e-01 -1.781683388821306835e-01 -9.034366590071840619e-02 -3.504869462716442285e-02  1.100873171367311443e-03  2.301870235254455110e-02  2.318141743080559536e-02 
