     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500001 
        39  2.666383672737432375e-01  2.666383672737432375e-01  2.665585411997806187e-01  2.067962883656892792e-01  2.026734266870013901e-01  2.014713510752396408e-01  2.014713510724249756e-01  2.014713510696091170e-01 
        40  2.849238698276444492e-01  2.849238698276444492e-01  2.848347412268621426e-01  2.198660330764661552e-01  2.155808000108343503e-01  2.143459692572481923e-01  2.143459692543707718e-01  2.143459692514921577e-01 
        41  3.048974039774117184e-01  3.048974039774117184e-01  3.047979753210752762e-01  2.342232343981900666e-01  2.298049071711207036e-01  2.285449329344781955e-01  2.285449329315552280e-01  2.285449329286310116e-01 
        42  3.269034416538315058e-01  3.269034416538315058e-01  3.267926112246880566e-01  2.501850946751816851e-01  2.456558164426205781e-01  2.443717692305392708e-01  2.443717692275685360e-01  2.443717692245965245e-01 
        43  3.513025130188021095e-01  3.513025130188021095e-01  3.511790649469288539e-01  2.680797005508190334e-01  2.634411338800988767e-01  2.621262025044353572e-01  2.621262025013981201e-01  2.621262024983596617e-01 
        44  3.784867105392430431e-01  3.784867105392430431e-01  3.783493054489029950e-01  2.882605885985993766e-01  2.834898900259781307e-01  2.821323960802685771e-01  2.821323960771399686e-01  2.821323960740099723e-01 
        45  4.089261813751425279e-01  4.089261813751425279e-01  4.087733458494099414e-01  3.111477429802727013e-01  3.062038115976537522e-01  3.047908569397417833e-01  3.047908569364974340e-01  3.047908569332516415e-01 
        46  4.431742046384694600e-01  4.431742046384694600e-01  4.430043159166883182e-01  3.372269630334290280e-01  3.320586665734580611e-01  3.305762155162139115e-01  3.305762155128260105e-01  3.305762155094366661e-01 
        47  4.817968015805051962e-01  4.817968015805051962e-01  4.816080675368770159e-01  3.669813255180743305e-01  3.615299268215650397e-01  3.599598522156594593e-01  3.599598522120879274e-01  3.599598522085148411e-01 
        48  5.252871691355112116e-01  5.252871691355112116e-01  5.250776088101926087e-01  4.008150082374666301e-01  3.950104979719512577e-01  3.933286578053242222e-01  3.933286578015128265e-01  3.933286577976997656e-01 
        49  5.740153161480034960e-01  5.740153161480034960e-01  5.737827459168756139e-01  4.390112949933985820e-01  4.327676402255448695e-01  4.309447424171909957e-01  4.309447424130715687e-01  4.309447424089504763e-01 
        50  6.282063366063320720e-01  6.282063366063320720e-01  6.279483632295800311e-01  4.817154673972000034e-01  4.749281492930574888e-01  4.729309282920294843e-01  4.729309282875256426e-01  4.729309282830199690e-01 
        51  6.879579912349801374e-01  6.879579912349801374e-01  6.876720102385950328e-01  5.289575873591646493e-01  5.215029186394554150e-01  5.192934206699996169e-01  5.192934206650251516e-01  5.192934206600485769e-01 
        52  7.533088380819187302e-01  7.533088380819187302e-01  7.529920328255855777e-01  5.807231444162593847e-01  5.724591507174656702e-01  5.699937725220729501e-01  5.699937725165291624e-01  5.699937725109830433e-01 
        53  8.243167118703332852e-01  8.243167118703332852e-01  8.239660456177069214e-01  6.370237879134543757e-01  6.277942029271744717e-01  6.250249789950964585e-01  6.250249789888741025e-01  6.250249789826491931e-01 
        54  9.011024096593814869e-01  9.011024096593814869e-01  9.007146041495217581e-01  6.979251234046766061e-01  6.875662912744215927e-01  6.844435435177523841e-01  6.844435435107342203e-01  6.844435435037132809e-01 
        55  9.838675533158891540e-01  9.838675533158891540e-01  9.834390523961122899e-01  7.635493590402727682e-01  7.518972520208506705e-01  7.483710806890228051e-01  7.483710806810845995e-01  7.483710806731432852e-01 
