Read the target shape in
 ./files/input/20190331ResidueMirrorAndCyl_MA-0.05mmMT-0.002Offset450nm.txt
Read the unit sputter yield in
 ./files/input/20190331SputerYieldon20190331.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2285
  # 1/2 Unit :    1142
  # All      :    8970
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       0
  # Thread   :       2
Computation time for initialization:    0.0042

Have memorized arrays 1 times
loop:     66000, alpha:   10.5000, rms:    1.6356
loop:     66400, alpha:   10.5000, rms:    1.6336
loop:     66800, alpha:   10.5000, rms:    1.6317
loop:     67200, alpha:   10.5000, rms:    1.6299
loop:     67600, alpha:   10.5000, rms:    1.6280
loop:     68000, alpha:   10.5000, rms:    1.6261
loop:     68400, alpha:   10.5000, rms:    1.6243
loop:     68800, alpha:   10.5000, rms:    1.6225
loop:     69200, alpha:   10.5000, rms:    1.6207
loop:     69600, alpha:   10.5000, rms:    1.6190
Have memorized arrays 8 times
loop:     70000, alpha:   10.5000, rms:    1.6172
loop:     70400, alpha:   10.5000, rms:    1.6155
loop:     70800, alpha:   10.5000, rms:    1.6138
loop:     71200, alpha:   10.5000, rms:    1.6121
loop:     71600, alpha:   10.5000, rms:    1.6104
loop:     72000, alpha:   10.5000, rms:    1.6087
loop:     72400, alpha:   10.5000, rms:    1.6071
loop:     72800, alpha:   10.5000, rms:    1.6054
loop:     73200, alpha:   10.5000, rms:    1.6038
loop:     73600, alpha:   10.5000, rms:    1.6022
loop:     74000, alpha:   10.5000, rms:    1.6006
loop:     74400, alpha:   10.5000, rms:    1.5991
loop:     74800, alpha:   10.5000, rms:    1.5975
loop:     75200, alpha:   10.5000, rms:    1.5960
loop:     75600, alpha:   10.5000, rms:    1.5945
loop:     76000, alpha:   10.5000, rms:    1.5930
loop:     76400, alpha:   10.5000, rms:    1.5915
loop:     76800, alpha:   10.5000, rms:    1.5900
loop:     77200, alpha:   10.5000, rms:    1.5885
loop:     77600, alpha:   10.5000, rms:    1.5871
loop:     78000, alpha:   10.5000, rms:    1.5857
loop:     78400, alpha:   10.5000, rms:    1.5842
loop:     78800, alpha:   10.5000, rms:    1.5828
loop:     79200, alpha:   10.5000, rms:    1.5814
loop:     79600, alpha:   10.5000, rms:    1.5801
Have memorized arrays 9 times
loop:     80000, alpha:   10.5000, rms:    1.5787
loop:     80400, alpha:   10.5000, rms:    1.5773
loop:     80800, alpha:   10.5000, rms:    1.5760
loop:     81200, alpha:   10.5000, rms:    1.5747
loop:     81600, alpha:   10.5000, rms:    1.5734
loop:     82000, alpha:   10.5000, rms:    1.5721
loop:     82400, alpha:   10.5000, rms:    1.5708
loop:     82800, alpha:   10.5000, rms:    1.5695
loop:     83200, alpha:   10.5000, rms:    1.5682
loop:     83600, alpha:   10.5000, rms:    1.5670
loop:     84000, alpha:   10.5000, rms:    1.5657
loop:     84400, alpha:   10.5000, rms:    1.5645
loop:     84800, alpha:   10.5000, rms:    1.5633
loop:     85200, alpha:   10.5000, rms:    1.5621
loop:     85600, alpha:   10.5000, rms:    1.5609
loop:     86000, alpha:   10.5000, rms:    1.5597
loop:     86400, alpha:   10.5000, rms:    1.5585
loop:     86800, alpha:   10.5000, rms:    1.5574
loop:     87200, alpha:   10.5000, rms:    1.5562
loop:     87600, alpha:   10.5000, rms:    1.5551
loop:     88000, alpha:   10.5000, rms:    1.5539
loop:     88400, alpha:   10.5000, rms:    1.5528
loop:     88800, alpha:   10.5000, rms:    1.5517
loop:     89200, alpha:   10.5000, rms:    1.5506
loop:     89600, alpha:   10.5000, rms:    1.5495
Have memorized arrays 10 times
loop:     90000, alpha:   10.5000, rms:    1.5484
loop:     90400, alpha:   10.5000, rms:    1.5474
loop:     90800, alpha:   10.5000, rms:    1.5463
loop:     91200, alpha:   10.5000, rms:    1.5452
loop:     91600, alpha:   10.5000, rms:    1.5442
loop:     92000, alpha:   10.5000, rms:    1.5431
loop:     92400, alpha:   10.5000, rms:    1.5421
loop:     92800, alpha:   10.5000, rms:    1.5411
loop:     93200, alpha:   10.5000, rms:    1.5401
loop:     93600, alpha:   10.5000, rms:    1.5391
loop:     94000, alpha:   10.5000, rms:    1.5381
loop:     94400, alpha:   10.5000, rms:    1.5371
loop:     94800, alpha:   10.5000, rms:    1.5361
loop:     95200, alpha:   10.5000, rms:    1.5351
loop:     95600, alpha:   10.5000, rms:    1.5342
loop:     96000, alpha:   10.5000, rms:    1.5332
loop:     96400, alpha:   10.5000, rms:    1.5323
loop:     96800, alpha:   10.5000, rms:    1.5313
loop:     97200, alpha:   10.5000, rms:    1.5304
loop:     97600, alpha:   10.5000, rms:    1.5295
loop:     98000, alpha:   10.5000, rms:    1.5286
loop:     98400, alpha:   10.5000, rms:    1.5277
loop:     98800, alpha:   10.5000, rms:    1.5268
loop:     99200, alpha:   10.5000, rms:    1.5259
loop:     99600, alpha:   10.5000, rms:    1.5250
Have memorized arrays 11 times
loop:    100000, alpha:   10.5000, rms:    1.5241
loop:    100400, alpha:   10.5000, rms:    1.5233
loop:    100800, alpha:   10.5000, rms:    1.5224
loop:    101200, alpha:   10.5000, rms:    1.5215
loop:    101600, alpha:   10.5000, rms:    1.5207
loop:    102000, alpha:   10.5000, rms:    1.5199
loop:    102400, alpha:   10.5000, rms:    1.5190
loop:    102800, alpha:   10.5000, rms:    1.5182
loop:    103200, alpha:   10.5000, rms:    1.5174
loop:    103600, alpha:   10.5000, rms:    1.5166
loop:    104000, alpha:   10.5000, rms:    1.5158
loop:    104400, alpha:   10.5000, rms:    1.5150
loop:    104800, alpha:   10.5000, rms:    1.5142
loop:    105200, alpha:   10.5000, rms:    1.5134
loop:    105600, alpha:   10.5000, rms:    1.5126
loop:    106000, alpha:   10.5000, rms:    1.5118
loop:    106400, alpha:   10.5000, rms:    1.5111
loop:    106800, alpha:   10.5000, rms:    1.5103
loop:    107200, alpha:   10.5000, rms:    1.5095
loop:    107600, alpha:   10.5000, rms:    1.5088
loop:    108000, alpha:   10.5000, rms:    1.5081
loop:    108400, alpha:   10.5000, rms:    1.5073
loop:    108800, alpha:   10.5000, rms:    1.5066
loop:    109200, alpha:   10.5000, rms:    1.5059
loop:    109600, alpha:   10.5000, rms:    1.5051
Have memorized arrays 12 times
loop:    110000, alpha:   10.5000, rms:    1.5044
loop:    110400, alpha:   10.5000, rms:    1.5037
loop:    110800, alpha:   10.5000, rms:    1.5030
loop:    111200, alpha:   10.5000, rms:    1.5023
loop:    111600, alpha:   10.5000, rms:    1.5016
loop:    112000, alpha:   10.5000, rms:    1.5010
loop:    112400, alpha:   10.5000, rms:    1.5003
loop:    112800, alpha:   10.5000, rms:    1.4996
loop:    113200, alpha:   10.5000, rms:    1.4989
loop:    113600, alpha:   10.5000, rms:    1.4983
loop:    114000, alpha:   10.5000, rms:    1.4976
loop:    114400, alpha:   10.5000, rms:    1.4970
loop:    114800, alpha:   10.5000, rms:    1.4963
loop:    115200, alpha:   10.5000, rms:    1.4957
loop:    115600, alpha:   10.5000, rms:    1.4951
loop:    116000, alpha:   10.5000, rms:    1.4945
loop:    116400, alpha:   10.5000, rms:    1.4940
loop:    116800, alpha:   10.5000, rms:    1.4934
loop:    117200, alpha:   10.5000, rms:    1.4928
loop:    117600, alpha:   10.5000, rms:    1.4922
loop:    118000, alpha:   10.5000, rms:    1.4916
loop:    118400, alpha:   10.5000, rms:    1.4910
loop:    118800, alpha:   10.5000, rms:    1.4905
