Count	Initial values	Iteration-1	Iteration-2	Iteration-100000	Iteration-200000	Iteration-300000	Iteration-400000	Iteration-500000	Iteration-500001
198	0.00E+00	-9.69E+01	6.53E+01	-8.60E-02	1.59E-02	6.37E-02	8.90E-02	1.30E-01	1.30E-01
199	0.00E+00	-9.69E+01	6.53E+01	-1.71E-01	-3.83E-02	2.68E-02	6.19E-02	1.08E-01	1.08E-01
200	0.00E+00	-9.70E+01	6.53E+01	-2.69E-01	-1.18E-01	-4.44E-02	-6.13E-03	3.92E-02	3.92E-02
201	0.00E+00	-9.70E+01	6.53E+01	-3.71E-01	-2.18E-01	-1.45E-01	-1.10E-01	-7.19E-02	-7.19E-02
202	0.00E+00	-9.70E+01	6.53E+01	-4.70E-01	-3.28E-01	-2.66E-01	-2.42E-01	-2.15E-01	-2.15E-01
203	0.00E+00	-9.70E+01	6.53E+01	-5.59E-01	-4.42E-01	-3.99E-01	-3.90E-01	-3.79E-01	-3.79E-01
204	0.00E+00	-9.70E+01	6.53E+01	-6.39E-01	-5.56E-01	-5.36E-01	-5.44E-01	-5.49E-01	-5.49E-01
205	0.00E+00	-9.71E+01	6.52E+01	-7.06E-01	-6.62E-01	-6.67E-01	-6.89E-01	-7.08E-01	-7.08E-01
206	0.00E+00	-9.71E+01	6.52E+01	-7.55E-01	-7.49E-01	-7.74E-01	-8.06E-01	-8.34E-01	-8.34E-01
207	0.00E+00	-9.71E+01	6.52E+01	-7.66E-01	-8.03E-01	-8.41E-01	-8.76E-01	-9.06E-01	-9.06E-01
208	0.00E+00	-9.71E+01	6.53E+01	-7.14E-01	-8.01E-01	-8.57E-01	-8.87E-01	-9.14E-01	-9.14E-01
209	0.00E+00	-9.70E+01	6.53E+01	-6.07E-01	-7.15E-01	-7.77E-01	-8.11E-01	-8.42E-01	-8.42E-01
210	0.00E+00	-9.70E+01	6.53E+01	-4.57E-01	-5.62E-01	-6.13E-01	-6.34E-01	-6.53E-01	-6.53E-01
211	0.00E+00	-9.70E+01	6.54E+01	-2.75E-01	-3.63E-01	-3.90E-01	-3.90E-01	-3.89E-01	-3.89E-01
212	0.00E+00	-9.69E+01	6.54E+01	-7.47E-02	-1.36E-01	-1.35E-01	-1.12E-01	-9.01E-02	-9.01E-02
