Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
148	0.00E+00	0.00E+00	6.63E+04	1.79E+03	8.38E-06
149	0.00E+00	0.00E+00	6.52E+04	1.81E+03	8.04E-06
150	0.00E+00	0.00E+00	6.41E+04	1.82E+03	7.73E-06
151	0.00E+00	0.00E+00	6.29E+04	1.84E+03	7.59E-06
152	0.00E+00	0.00E+00	6.18E+04	1.85E+03	7.70E-06
153	0.00E+00	0.00E+00	6.07E+04	1.87E+03	8.04E-06
154	0.00E+00	0.00E+00	5.97E+04	1.88E+03	8.55E-06
155	0.00E+00	0.00E+00	5.88E+04	1.89E+03	9.13E-06
156	0.00E+00	0.00E+00	5.80E+04	1.90E+03	9.61E-06
157	0.00E+00	0.00E+00	5.72E+04	1.91E+03	9.87E-06
158	0.00E+00	0.00E+00	5.66E+04	1.92E+03	9.90E-06
159	0.00E+00	0.00E+00	5.60E+04	1.93E+03	9.78E-06
160	0.00E+00	0.00E+00	5.54E+04	1.94E+03	9.71E-06
161	0.00E+00	0.00E+00	5.48E+04	1.95E+03	9.83E-06
162	0.00E+00	0.00E+00	5.42E+04	1.96E+03	1.02E-05
163	0.00E+00	0.00E+00	5.34E+04	1.96E+03	1.06E-05
164	0.00E+00	0.00E+00	5.26E+04	1.96E+03	1.09E-05
165	0.00E+00	0.00E+00	5.17E+04	1.96E+03	1.07E-05
166	0.00E+00	0.00E+00	5.07E+04	1.96E+03	9.95E-06
167	0.00E+00	0.00E+00	4.96E+04	1.95E+03	8.53E-06
168	0.00E+00	0.00E+00	4.84E+04	1.94E+03	6.52E-06
169	0.00E+00	0.00E+00	4.72E+04	1.93E+03	4.08E-06
170	0.00E+00	0.00E+00	4.61E+04	1.91E+03	1.44E-06
171	1.90E+03	1.18E+01	4.51E+04	1.88E+03	0.00E+00
172	1.86E+03	5.45E+00	4.43E+04	1.86E+03	0.00E+00
173	1.83E+03	1.33E+00	4.37E+04	1.83E+03	0.00E+00
174	1.80E+03	-1.04E+00	4.32E+04	1.80E+03	0.00E+00
175	1.77E+03	-2.16E+00	4.29E+04	1.77E+03	0.00E+00
176	1.74E+03	-2.50E+00	4.27E+04	1.74E+03	0.00E+00
177	1.71E+03	-2.44E+00	4.26E+04	1.71E+03	0.00E+00
178	1.68E+03	-2.23E+00	4.23E+04	1.68E+03	0.00E+00
179	1.65E+03	-2.01E+00	4.20E+04	1.65E+03	0.00E+00
180	1.62E+03	-1.81E+00	4.16E+04	1.63E+03	0.00E+00
181	1.60E+03	-1.64E+00	4.10E+04	1.60E+03	0.00E+00
182	1.57E+03	-1.47E+00	4.04E+04	1.57E+03	0.00E+00
183	1.54E+03	-1.29E+00	3.97E+04	1.54E+03	0.00E+00
184	1.52E+03	-1.08E+00	3.89E+04	1.52E+03	0.00E+00
185	1.49E+03	-8.32E-01	3.81E+04	1.49E+03	0.00E+00
186	1.46E+03	-5.43E-01	3.74E+04	1.46E+03	0.00E+00
187	1.44E+03	-2.22E-01	3.67E+04	1.44E+03	0.00E+00
188	1.41E+03	1.14E-01	3.61E+04	1.41E+03	0.00E+00
189	1.39E+03	4.37E-01	3.57E+04	1.39E+03	0.00E+00
190	1.36E+03	7.06E-01	3.54E+04	1.36E+03	0.00E+00
191	1.34E+03	8.77E-01	3.53E+04	1.34E+03	0.00E+00
192	1.32E+03	9.10E-01	3.53E+04	1.32E+03	0.00E+00
193	1.29E+03	7.89E-01	3.52E+04	1.29E+03	0.00E+00
194	1.27E+03	5.31E-01	3.52E+04	1.27E+03	0.00E+00
195	1.25E+03	1.84E-01	3.50E+04	1.25E+03	0.00E+00
196	1.23E+03	-1.86E-01	3.45E+04	1.23E+03	0.00E+00
197	1.21E+03	-5.10E-01	3.37E+04	1.21E+03	0.00E+00
198	1.19E+03	-7.32E-01	3.25E+04	1.19E+03	0.00E+00
199	1.16E+03	-8.18E-01	3.10E+04	1.17E+03	0.00E+00
200	1.14E+03	-7.59E-01	2.92E+04	1.15E+03	0.00E+00
201	1.12E+03	-5.62E-01	2.74E+04	1.13E+03	0.00E+00
202	1.10E+03	-2.47E-01	2.58E+04	1.11E+03	0.00E+00
203	1.09E+03	1.48E-01	2.46E+04	1.09E+03	0.00E+00
204	1.07E+03	5.71E-01	2.42E+04	1.07E+03	0.00E+00
205	1.05E+03	9.57E-01	2.47E+04	1.05E+03	0.00E+00
206	1.03E+03	1.23E+00	2.58E+04	1.03E+03	0.00E+00
207	1.01E+03	1.34E+00	2.75E+04	1.01E+03	0.00E+00
208	9.93E+02	1.25E+00	2.93E+04	9.92E+02	0.00E+00
209	9.76E+02	9.55E-01	3.04E+04	9.75E+02	0.00E+00
210	9.58E+02	4.93E-01	3.04E+04	9.58E+02	0.00E+00
211	9.42E+02	-6.56E-02	2.89E+04	9.42E+02	0.00E+00
212	9.25E+02	-6.45E-01	2.59E+04	9.26E+02	0.00E+00
213	9.09E+02	-1.17E+00	2.18E+04	9.10E+02	0.00E+00
214	8.93E+02	-1.58E+00	1.75E+04	8.94E+02	0.00E+00
215	8.77E+02	-1.85E+00	1.38E+04	8.79E+02	0.00E+00
216	8.62E+02	-1.94E+00	1.13E+04	8.64E+02	0.00E+00
217	8.46E+02	-1.84E+00	1.01E+04	8.48E+02	0.00E+00
218	8.31E+02	-1.52E+00	1.01E+04	8.33E+02	0.00E+00
219	8.17E+02	-1.00E+00	1.08E+04	8.18E+02	0.00E+00
220	8.02E+02	-3.12E-01	1.17E+04	8.03E+02	0.00E+00
221	7.88E+02	4.63E-01	1.27E+04	7.88E+02	0.00E+00
222	7.75E+02	1.21E+00	1.34E+04	7.73E+02	0.00E+00
223	7.61E+02	1.80E+00	1.39E+04	7.59E+02	0.00E+00
224	7.48E+02	2.14E+00	1.41E+04	7.46E+02	0.00E+00
225	7.35E+02	2.17E+00	1.41E+04	7.33E+02	0.00E+00
226	7.22E+02	1.87E+00	1.39E+04	7.20E+02	0.00E+00
227	7.09E+02	1.29E+00	1.36E+04	7.08E+02	0.00E+00
228	6.97E+02	5.18E-01	1.32E+04	6.97E+02	0.00E+00
229	6.85E+02	-3.44E-01	1.27E+04	6.85E+02	0.00E+00
230	6.73E+02	-1.17E+00	1.22E+04	6.74E+02	0.00E+00
231	6.62E+02	-1.81E+00	1.17E+04	6.63E+02	0.00E+00
232	6.50E+02	-2.16E+00	1.13E+04	6.53E+02	0.00E+00
233	6.39E+02	-2.13E+00	1.11E+04	6.41E+02	0.00E+00
234	6.29E+02	-1.69E+00	1.09E+04	6.30E+02	0.00E+00
235	6.18E+02	-8.77E-01	1.09E+04	6.19E+02	0.00E+00
236	6.08E+02	1.83E-01	1.10E+04	6.07E+02	0.00E+00
237	5.97E+02	1.32E+00	1.12E+04	5.96E+02	0.00E+00
238	5.87E+02	2.35E+00	1.15E+04	5.85E+02	0.00E+00
239	5.77E+02	3.09E+00	1.18E+04	5.74E+02	0.00E+00
240	5.68E+02	3.38E+00	1.20E+04	5.64E+02	0.00E+00
241	5.58E+02	3.12E+00	1.21E+04	5.55E+02	0.00E+00
242	5.49E+02	2.31E+00	1.21E+04	5.47E+02	0.00E+00
243	5.40E+02	1.01E+00	1.19E+04	5.39E+02	0.00E+00
244	5.31E+02	-5.87E-01	1.15E+04	5.32E+02	0.00E+00
245	5.23E+02	-2.22E+00	1.09E+04	5.25E+02	0.00E+00
246	5.14E+02	-3.58E+00	1.03E+04	5.18E+02	0.00E+00
247	5.06E+02	-4.39E+00	9.78E+03	5.11E+02	0.00E+00
248	4.98E+02	-4.45E+00	9.34E+03	5.03E+02	0.00E+00
249	4.91E+02	-3.70E+00	9.10E+03	4.94E+02	0.00E+00
250	4.83E+02	-2.26E+00	9.06E+03	4.85E+02	0.00E+00
251	4.76E+02	-3.82E-01	9.24E+03	4.76E+02	0.00E+00
252	4.68E+02	1.57E+00	9.58E+03	4.67E+02	0.00E+00
253	4.61E+02	3.23E+00	1.00E+04	4.58E+02	0.00E+00
254	4.54E+02	4.31E+00	1.05E+04	4.50E+02	0.00E+00
255	4.47E+02	4.66E+00	1.09E+04	4.43E+02	0.00E+00
256	4.41E+02	4.30E+00	1.12E+04	4.36E+02	0.00E+00
257	4.34E+02	3.39E+00	1.14E+04	4.31E+02	0.00E+00
258	4.28E+02	2.20E+00	1.16E+04	4.26E+02	0.00E+00
259	4.22E+02	9.68E-01	1.16E+04	4.21E+02	0.00E+00
260	4.16E+02	-9.47E-02	1.15E+04	4.16E+02	0.00E+00
261	4.10E+02	-8.75E-01	1.11E+04	4.11E+02	0.00E+00
262	4.05E+02	-1.34E+00	1.07E+04	4.06E+02	0.00E+00
263	3.99E+02	-1.52E+00	1.02E+04	4.01E+02	0.00E+00
264	3.94E+02	-1.49E+00	9.74E+03	3.95E+02	0.00E+00
265	3.89E+02	-1.31E+00	9.40E+03	3.90E+02	0.00E+00
266	3.83E+02	-1.06E+00	9.27E+03	3.85E+02	0.00E+00
267	3.79E+02	-8.04E-01	9.42E+03	3.79E+02	0.00E+00
268	3.74E+02	-5.99E-01	9.86E+03	3.75E+02	0.00E+00
269	3.69E+02	-4.95E-01	1.06E+04	3.70E+02	0.00E+00
270	3.65E+02	-5.19E-01	1.15E+04	3.65E+02	0.00E+00
271	3.61E+02	-6.75E-01	1.25E+04	3.61E+02	0.00E+00
272	3.56E+02	-9.32E-01	1.35E+04	3.57E+02	0.00E+00
273	3.52E+02	-1.23E+00	1.43E+04	3.53E+02	0.00E+00
274	3.48E+02	-1.51E+00	1.47E+04	3.50E+02	0.00E+00
275	3.44E+02	-1.67E+00	1.48E+04	3.46E+02	0.00E+00
276	3.41E+02	-1.67E+00	1.44E+04	3.42E+02	0.00E+00
277	3.37E+02	-1.46E+00	1.35E+04	3.39E+02	0.00E+00
278	3.34E+02	-1.07E+00	1.22E+04	3.35E+02	0.00E+00
279	3.30E+02	-5.37E-01	1.07E+04	3.31E+02	0.00E+00
280	3.27E+02	7.68E-02	9.18E+03	3.27E+02	0.00E+00
281	3.24E+02	7.12E-01	7.84E+03	3.23E+02	0.00E+00
282	3.21E+02	1.32E+00	6.89E+03	3.20E+02	0.00E+00
283	3.18E+02	1.84E+00	6.50E+03	3.16E+02	0.00E+00
284	3.16E+02	2.23E+00	6.75E+03	3.13E+02	0.00E+00
285	3.13E+02	2.42E+00	7.64E+03	3.11E+02	0.00E+00
286	3.11E+02	2.37E+00	9.06E+03	3.08E+02	0.00E+00
287	3.08E+02	2.07E+00	1.08E+04	3.06E+02	0.00E+00
288	3.06E+02	1.53E+00	1.25E+04	3.05E+02	0.00E+00
289	3.04E+02	8.26E-01	1.40E+04	3.03E+02	0.00E+00
290	3.02E+02	2.52E-02	1.48E+04	3.02E+02	0.00E+00
291	3.00E+02	-7.81E-01	1.48E+04	3.01E+02	0.00E+00
292	2.99E+02	-1.51E+00	1.38E+04	3.00E+02	0.00E+00
293	2.97E+02	-2.08E+00	1.18E+04	2.99E+02	0.00E+00
294	2.96E+02	-2.43E+00	8.86E+03	2.98E+02	0.00E+00
295	2.94E+02	-2.52E+00	5.36E+03	2.97E+02	0.00E+00
296	2.93E+02	-2.34E+00	1.57E+03	2.95E+02	0.00E+00
297	2.91E+02	-1.91E+00	1.50E+03	2.93E+02	0.00E+00
298	2.90E+02	-1.27E+00	1.50E+03	2.91E+02	0.00E+00
299	2.89E+02	-4.89E-01	1.50E+03	2.89E+02	0.00E+00
300	2.88E+02	3.30E-01	1.50E+03	2.88E+02	0.00E+00
301	2.87E+02	1.08E+00	1.50E+03	2.86E+02	0.00E+00
302	2.86E+02	1.65E+00	1.50E+03	2.84E+02	0.00E+00
303	2.85E+02	1.96E+00	1.50E+03	2.83E+02	0.00E+00
304	2.85E+02	1.97E+00	1.50E+03	2.83E+02	0.00E+00
305	2.84E+02	1.66E+00	1.51E+03	2.82E+02	0.00E+00
306	2.83E+02	1.10E+00	1.55E+03	2.82E+02	0.00E+00
307	2.83E+02	3.62E-01	1.94E+03	2.82E+02	0.00E+00
308	2.82E+02	-4.59E-01	2.38E+03	2.83E+02	0.00E+00
309	2.82E+02	-1.26E+00	2.67E+03	2.83E+02	0.00E+00
310	2.82E+02	-1.91E+00	2.83E+03	2.84E+02	0.00E+00
311	2.82E+02	-2.32E+00	2.89E+03	2.84E+02	0.00E+00
312	2.81E+02	-2.40E+00	2.90E+03	2.84E+02	0.00E+00
313	2.81E+02	-2.11E+00	3.02E+03	2.83E+02	0.00E+00
314	2.81E+02	-1.45E+00	3.30E+03	2.83E+02	0.00E+00
