     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-300000          Iteration-500001 
        78  2.744729179531620034e+01  2.744729179531620034e+01  2.747831113227211475e+01  2.752027424475203432e+01  2.752027425010428630e+01  2.752027425544940797e+01 
        79  2.816157315561643415e+01  2.816157315561643415e+01  2.819633831314169825e+01  2.823706521035534323e+01  2.823706521584760409e+01  2.823706522133252150e+01 
        80  2.887548635428553823e+01  2.887548635428553823e+01  2.891475813414298557e+01  2.895336178010317596e+01  2.895336178572125974e+01  2.895336179133186505e+01 
        81  2.958901388261411469e+01  2.958901388261411469e+01  2.963370387078432344e+01  2.966918864838220671e+01  2.966918865411658146e+01  2.966918865984330722e+01 
        82  3.030227547822304857e+01  3.030227547822304857e+01  3.035345503305792647e+01  3.038466313291454313e+01  3.038466313875802882e+01  3.038466314459371986e+01 
        83  3.101553985085208254e+01  3.101553985085208254e+01  3.107444529291580082e+01  3.110002098044650509e+01  3.110002098639288803e+01  3.110002099233134842e+01 
        84  3.172916135781991542e+01  3.172916135781991542e+01  3.179719533621954852e+01  3.181556799885215980e+01  3.181556800489537196e+01  3.181556801093050879e+01 
        85  3.244349211195761029e+01  3.244349211195761029e+01  3.252222148850011507e+01  3.253160526174508504e+01  3.253160526787848283e+01  3.253160527400368096e+01 
        86  3.315881668188911391e+01  3.315881668188911391e+01  3.324996756625098726e+01  3.324886503429311091e+01  3.324886504050937930e+01  3.324886504671737697e+01 
        87  3.387530975784858356e+01  3.387530975784858356e+01  3.398076050173194318e+01  3.396818020985171671e+01  3.396818021614215866e+01  3.396818022242420199e+01 
        88  3.459299573380113202e+01  3.459299573380113202e+01  3.471476873762285464e+01  3.468950211440730413e+01  3.468950212076030937e+01  3.468950212710480230e+01 
        89  3.531171218353879482e+01  3.531171218353879482e+01  3.545196530274428426e+01  3.541257433406027388e+01  3.541257434045949992e+01  3.541257434685014971e+01 
        90  3.603111558414622806e+01  3.603111558414622806e+01  3.619213377959597011e+01  3.613693984823393635e+01  3.613693985465756953e+01  3.613693986107264067e+01 
        91  3.675076365290786384e+01  3.675076365290786384e+01  3.693495135152647180e+01  3.686205050107353998e+01  3.686205050749383361e+01  3.686205051390557230e+01 
        92  3.747025266091225859e+01  3.747025266091225859e+01  3.768012711300406181e+01  3.758744799633974054e+01  3.758744800272470599e+01  3.758744800910111650e+01 
        93  3.818934327318008570e+01  3.818934327318008570e+01  3.842752903389762054e+01  3.831294128605629368e+01  3.831294129237345913e+01  3.831294129868226150e+01 
        94  3.890801410133241944e+01  3.890801410133241944e+01  3.917723863750895674e+01  3.903871389077937692e+01  3.903871389700407946e+01  3.903871390322042600e+01 
        95  3.962641995295408037e+01  3.962641995295408037e+01  3.992951028695451754e+01  3.976533433056531663e+01  3.976533433669255402e+01  3.976533434281163437e+01 
        96  4.034478542426292336e+01  4.034478542426292336e+01  4.068466567236755083e+01  4.049369746269850623e+01  4.049369746876350007e+01  4.049369747482042925e+01 
        97  4.106329551247447540e+01  4.106329551247447540e+01  4.144298515213235845e+01  4.122495607769989334e+01  4.122495608380672394e+01  4.122495608990536908e+01 
        98  4.178202240547061308e+01  4.178202240547061308e+01  4.220463510705596377e+01  4.196047687648070479e+01  4.196047688284012622e+01  4.196047688919104957e+01 
        99  4.250089680492906297e+01  4.250089680492906297e+01  4.296963968136940792e+01  4.270181655347391825e+01  4.270181656044878338e+01  4.270181656741434750e+01 
       100  4.321972045464582379e+01  4.321972045464582379e+01  4.373789360870453891e+01  4.345069563455267314e+01  4.345069564270497153e+01  4.345069565084636309e+01 
       101  4.393820910009942082e+01  4.393820910009942082e+01  4.450920537790710796e+01  4.420894107309060672e+01  4.420894108322357141e+01  4.420894109334298605e+01 
       102  4.465605435005473822e+01  4.465605435005473822e+01  4.528335923596286250e+01  4.497837335846353568e+01  4.497837337164747851e+01  4.497837338481375724e+01 
       103  4.537298205012507424e+01  4.537298205012507424e+01  4.606017365918118145e+01  4.576061153425867900e+01  4.576061155183038665e+01  4.576061156937861085e+01 
       104  4.608878193210331631e+01  4.608878193210331631e+01  4.683953107074760425e+01  4.655679399532330365e+01  4.655679401884719937e+01  4.655679404233968910e+01 
       105  4.680332898897670901e+01  4.680332898897670901e+01  4.762139926161066938e+01  4.736731316178195073e+01  4.736731319296239207e+01  4.736731322410118139e+01 
       106  4.751663439477577100e+01  4.751663439477577100e+01  4.840588233554831987e+01  4.819171384911056322e+01  4.819171388965923342e+01  4.819171393015375315e+01 
       107  4.822889078022309661e+01  4.822889078022309661e+01  4.919326598796295258e+01  4.902879200382476910e+01  4.902879205530761197e+01  4.902879210672174537e+01 
