     Count               Iteration-1               Iteration-2               Iteration-4               Iteration-6               Iteration-8              Iteration-10              Iteration-12              Iteration-14              Iteration-16              Iteration-18              Iteration-20              Iteration-22              Iteration-24              Iteration-26              Iteration-28              Iteration-30              Iteration-32              Iteration-34              Iteration-36              Iteration-38              Iteration-40              Iteration-42              Iteration-44              Iteration-46              Iteration-48              Iteration-50              Iteration-52              Iteration-54              Iteration-56              Iteration-58              Iteration-60              Iteration-62              Iteration-64              Iteration-66              Iteration-68              Iteration-70              Iteration-72              Iteration-74              Iteration-76              Iteration-78              Iteration-80              Iteration-82              Iteration-84              Iteration-86              Iteration-88              Iteration-88 
        10  0.000000000000000000e+00  8.579999999999999716e+01  7.316079679999999996e+01  6.248472211105020335e+01  5.669819197420202528e+01  5.393555632600129002e+01  5.265275336524266692e+01  5.205771715021305823e+01  5.179236046249620529e+01  5.169739579360778947e+01  5.169832538204168770e+01  5.175685291013337519e+01  5.185099971831056109e+01  5.196688638862005405e+01  5.209514952444147440e+01  5.222921642683920851e+01  5.236447190928631557e+01  5.249765382422699389e+01  5.262649391899775964e+01  5.274946658696067914e+01  5.286560370036608703e+01  5.297435472657906530e+01  5.307547963776119815e+01  5.316896639398692059e+01  5.325496723741827054e+01  5.333374957410897110e+01  5.340565825209706929e+01  5.347108677502082941e+01  5.353045552899814652e+01  5.358419550911526841e+01  5.363273634816563629e+01  5.367649769839547247e+01  5.371588321331093141e+01  5.375127653271589878e+01  5.378303879866641779e+01  5.381150732947584459e+01  5.383699515834885574e+01  5.385979120664904940e+01  5.388016091238373662e+01  5.389834717475391557e+01  5.391457150760290773e+01  5.392903531993848532e+01  5.394192126172048063e+01  5.395339458885920436e+01  5.396360451371523226e+01  5.396827826617423085e+01 
        11  0.000000000000000000e+00  1.000999999999999943e+02  8.938718879999998990e+01  7.888090000302457838e+01  7.313685798048908282e+01  7.014192297845416135e+01  6.834362278761476261e+01  6.702551964749324043e+01  6.591101039678977713e+01  6.490497102026833431e+01  6.397821248652954296e+01  6.312279391561638420e+01  6.233630704319242000e+01  6.161691361544774992e+01  6.096208854186358650e+01  6.036854807822952296e+01  5.983247669009704595e+01  5.934974113662664053e+01  5.891610260700588952e+01  5.852736655366634011e+01  5.817948329645174255e+01  5.786861175928945045e+01  5.759115642929209855e+01  5.734378530620214320e+01  5.712343464221191169e+01  5.692730472966992039e+01  5.675284982712771154e+01  5.659776444591124545e+01  5.645996757897004414e+01  5.633758598384420679e+01  5.622893728823163428e+01  5.613251343684139272e+01  5.604696481744946368e+01  5.597108527415661428e+01  5.590379812333232934e+01  5.584414322266667341e+01  5.579126509878366136e+01  5.574440210854924516e+01  5.570287658951266252e+01  5.566608594287439615e+01  5.563349458578710482e+01  5.560462670704994537e+01  5.557905976016888161e+01  5.555641862945816456e+01  5.553637040772215272e+01  5.552722498621132985e+01 
        12  0.000000000000000000e+00  1.143999999999999915e+02  9.582148420000001465e+01  8.438679009095400829e+01  8.031250616836936729e+01  7.961335804125269533e+01  8.012446031823151316e+01  8.096710166764057703e+01  8.183227907913392585e+01  8.262668286634614390e+01  8.333097271981483800e+01  8.394860956010326447e+01  8.448875176819944954e+01  8.496101848721640692e+01  8.537412000041911142e+01  8.573566431377412300e+01  8.605223498805645477e+01  8.632953174056430612e+01  8.657250935668886882e+01  8.678548500071080696e+01  8.697222523422458096e+01  8.713601844364343663e+01  8.727973636259615375e+01  8.740588708220489877e+01  8.751666112709864365e+01  8.761397168934405499e+01  8.769948982937758331e+01  8.777467528506021210e+01  8.784080342438919331e+01  8.789898880476634702e+01  8.795020574650298784e+01  8.799530628259745413e+01  8.803503580696711595e+01  8.807004670751874187e+01  8.810091023792935516e+01  8.812812685245499722e+01  8.815213520131426606e+01  8.817331996007806083e+01  8.819201864490774767e+01  8.820852754626308467e+01  8.822310689668270811e+01  8.823598537323820779e+01  8.824736402209219932e+01  8.825741968106680702e+01  8.826630796607378215e+01  8.827035781906313616e+01 
        13  0.000000000000000000e+00  1.404000000000000057e+02  1.011862306000000160e+02  8.287008093093209027e+01  7.711453339682398678e+01  7.639233218931862268e+01  7.736495653953502938e+01  7.877743362459303000e+01  8.020082527060804978e+01  8.150534230649172684e+01  8.266318481730613144e+01  8.367900791075440736e+01  8.456642967487503881e+01  8.534044287224838854e+01  8.601513719696049520e+01  8.660314251621464621e+01  8.711558033876123375e+01  8.756219099072522738e+01  8.795148350535127690e+01  8.829087867688642177e+01  8.858684088103802878e+01  8.884499676797217660e+01  8.907024098393664246e+01  8.926682974579189533e+01  8.943846328063274598e+01  8.958835818044668997e+01  8.971931070483037729e+01  8.983375202026400075e+01  8.993379630263524405e+01  9.002128255720738537e+01  9.009781093242015970e+01  9.016477422509866813e+01  9.022338519800722167e+01  9.027470025835306444e+01  9.031963997907634223e+01  9.035900688416238324e+01  9.039350086490905767e+01  9.042373254590070530e+01  9.045023487701406850e+01  9.047347319064151350e+01  9.049385393094901531e+01  9.051173223387559119e+01  9.052741851222832281e+01  9.054118417917128170e+01  9.055326662522591619e+01  9.055874259931280790e+01 
        14  0.000000000000000000e+00  1.897999999999999829e+02  1.139139039999999738e+02  7.549167448729917851e+01  5.713823735057187747e+01  4.726214682724310734e+01  4.098720201365805593e+01  3.641868461806136992e+01  3.280917203534439608e+01  2.983744165099338375e+01  2.734277142542846661e+01  2.522885509686595995e+01  2.342866201938591075e+01  2.189095973652340277e+01  2.057461275816987367e+01  1.944577964468566833e+01  1.847626818125045034e+01  1.764244022465050676e+01  1.692438896993975561e+01  1.630529704362978904e+01  1.577092172751165400e+01  1.530917528376591363e+01  1.490977954234815250e+01  1.456397987568843178e+01  1.426430732137461987e+01  1.400438007818532959e+01  1.377873739147337240e+01  1.358270020117813282e+01  1.341225398180544914e+01  1.326395003933056316e+01  1.313482219875303514e+01  1.302231635565748569e+01  1.292423080322359574e+01  1.283866560350306507e+01  1.276397956444947823e+01  1.269875362466335211e+01  1.264175964597228585e+01  1.259193377767613953e+01  1.254835369185529359e+01  1.251021910165190221e+01  1.247683506800302133e+01  1.244759767827501662e+01  1.242198174534364163e+01  1.239953023010905753e+01  1.237984513605461778e+01  1.237092981372287781e+01 
        15  0.000000000000000000e+00  2.976999999999999886e+02  2.199728985999999793e+02  1.881589100112656752e+02  1.784295723516658541e+02  1.767620371757957400e+02  1.776782573387574473e+02  1.792456414161474925e+02  1.808285701605387317e+02  1.822430308985227612e+02  1.834559139142433253e+02  1.844809075758035419e+02  1.853433379113555475e+02  1.860688150223074331e+02  1.866799848674506279e+02  1.871959694472906790e+02  1.876326379269639801e+02  1.880030867959798684e+02  1.883181107983102152e+02  1.885866181699296078e+02  1.888159772210382528e+02  1.890122995059244317e+02  1.891806692921477406e+02  1.893253290499468733e+02  1.894498294320346190e+02  1.895571507503720170e+02  1.896498016142087693e+02  1.897298992599239682e+02  1.897992351795185755e+02  1.898593289151503996e+02  1.899114723002632275e+02  1.899567659640072463e+02  1.899961495494839880e+02  1.900304268071929243e+02  1.900602864963869649e+02  1.900863198458210945e+02  1.901090351813838595e+02  1.901288702133568904e+02  1.901462023843232316e+02  1.901613576051897212e+02  1.901746176476036965e+02  1.901862264132678035e+02  1.901963952619564679e+02  1.902053075485887064e+02  1.902131224940708876e+02  1.902166624455309716e+02 
        16  0.000000000000000000e+00  4.290000000000000000e+02  3.332520151999999598e+02  2.953851842097806184e+02  2.830702691956437320e+02  2.799117404170914369e+02  2.797796879200773219e+02  2.805474668015808675e+02  2.815065281971995432e+02  2.824331827197678990e+02  2.832657718625027883e+02  2.839951916825314129e+02  2.846282968723440376e+02  2.851758844462569300e+02  2.856488853573749793e+02  2.860572648915868399e+02  2.864097997976402326e+02  2.867141243116330998e+02  2.869768460417661800e+02  2.872036739884725876e+02  2.873995370652953056e+02  2.875686889417642647e+02  2.877147994686409902e+02  2.878410340313724873e+02  2.879501223177922498e+02  2.880444178724600306e+02  2.881259496466046812e+02  2.881964665960164780e+02  2.882574762416769545e+02  2.883102779893528123e+02  2.883559919020758002e+02  2.883955835306346103e+02  2.884298853297212304e+02  2.884596151195144671e+02  2.884853919929486210e+02  2.885077500166649429e+02  2.885271500278149119e+02  2.885439897887463871e+02  2.885586127264967899e+02  2.885713154533787019e+02  2.885823542382441929e+02  2.885919505747995117e+02  2.886002959731841315e+02  2.886075560835605529e+02  2.886138742453423447e+02  2.886167195493836743e+02 
        17  0.000000000000000000e+00  5.720000000000000000e+02  4.448101722999999765e+02  3.963222673349901015e+02  3.784394496348065786e+02  3.713004344813505782e+02  3.679053482138353388e+02  3.658801346329491366e+02  3.644240996467516425e+02  3.632605773805086073e+02  3.622860785232854255e+02  3.614547480261361443e+02  3.607407164262558581e+02  3.601258904709745252e+02  3.595959415941011343e+02  3.591389009108305004e+02  3.587445775647269670e+02  3.584042398252387329e+02  3.581103920609350553e+02  3.578565959979834474e+02  3.576373191962464944e+02  3.574478053603261287e+02  3.572839633465930547e+02  3.571422723029349413e+02  3.570197006556471138e+02  3.569136369140853731e+02  3.568218305269733719e+02  3.567423412782056289e+02  3.566734959401493938e+02  3.566138511026631477e+02  3.565621612660671076e+02  3.565173514288391061e+02  3.564784935196853439e+02  3.564447861226830696e+02  3.564155370268866818e+02  3.563901482010589348e+02  3.563681028524396766e+02  3.563489542776609369e+02  3.563323162556072248e+02  3.563178547674874608e+02  3.563052808596325463e+02  3.562943444904009880e+02  3.562848292247352902e+02  3.562765476589291893e+02  3.562693374744995936e+02  3.562660894374181453e+02 
        18  0.000000000000000000e+00  7.150000000000000000e+02  5.448045043999999280e+02  4.862090093308630117e+02  4.659287283253996179e+02  4.585363653540494511e+02  4.555359334961252102e+02  4.541022926739285026e+02  4.532846205611552364e+02  4.527506773427098210e+02  4.523742324290959687e+02  4.520996769105751696e+02  4.518973484435002206e+02  4.517484795236950958e+02  4.516398396456657451e+02  4.515615923644800773e+02  4.515062640189916010e+02  4.514681348663181097e+02  4.514428244389446832e+02  4.514269844612106226e+02  4.514180637447682898e+02  4.514141262803607901e+02  4.514137100717568387e+02  4.514157175808435909e+02  4.514193307872339460e+02  4.514239454174992261e+02  4.514291200909976851e+02  4.514345370611296744e+02  4.514399719616571929e+02  4.514452705400490231e+02  4.514503308070606522e+02  4.514550893806477916e+02  4.514595110741795452e+02  4.514635809906128543e+02  4.514672985490911969e+02  4.514706729986991718e+02  4.514737200739373861e+02  4.514764595241810525e+02  4.514789133098385605e+02  4.514811043049638215e+02  4.514830553826479900e+02  4.514847887879452628e+02  4.514863257251616915e+02  4.514876861034667286e+02  4.514888883980559058e+02  4.514894356303382210e+02 
        19  0.000000000000000000e+00  8.580000000000000000e+02  6.420568115000000944e+02  5.749478392383532537e+02  5.543176747733461980e+02  5.483948057927703985e+02  5.470559480231834186e+02  5.470642937253942364e+02  5.473986238655963916e+02  5.477512909385394551e+02  5.480421617640280374e+02  5.482611772678960733e+02  5.484177035507726714e+02  5.485246373348555835e+02  5.485937771372522320e+02  5.486347854444683207e+02  5.486552379525430752e+02  5.486609505969497604e+02  5.486563334674810903e+02  5.486446989479580907e+02  5.486285125243424545e+02  5.486095911145177979e+02  5.485892576999337962e+02  5.485684609678037305e+02  5.485478674427471333e+02  5.485279321883400598e+02  5.485089529019272732e+02  5.484911111821942313e+02  5.484745039114693554e+02  5.484591670340010978e+02  5.484450934949130669e+02  5.484322467027997163e+02  5.484205705674276032e+02  5.484099969229266662e+02  5.484004509604895929e+02  5.483918551506253607e+02  5.483841320238520893e+02  5.483772060929132977e+02  5.483710051333971478e+02  5.483654609885829814e+02  5.483605100249816360e+02  5.483560933347164337e+02  5.483521567575636482e+02  5.483486507775359087e+02  5.483455303351270231e+02  5.483441017692879313e+02 
