     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
        18  0.000000000000000000e+00  3.327022400000000289e+03  4.833518025455193310e+03  4.991458722226394457e+03  5.004548701692801842e+03  5.003521746762407929e+03  5.001971029267055201e+03  5.000979153710944047e+03  5.000526823218578102e+03 
        19  0.000000000000000000e+00  4.067087700000000495e+03  5.782024617759070679e+03  5.968160578013358645e+03  5.992034697744295954e+03  5.997021892409167776e+03  5.998918373106193030e+03  5.999839644354625307e+03  6.000205132368930208e+03 
        20  0.000000000000000000e+00  4.834219000000000960e+03  6.748068936353743993e+03  6.948302252712817790e+03  6.974898632117977286e+03  6.982334611238309662e+03  6.986710011457111250e+03  6.989911629669559261e+03  6.991788192248164705e+03 
        21  0.000000000000000000e+00  5.659657900000000154e+03  7.798269948674593252e+03  8.001912745598919173e+03  8.017060181408739481e+03  8.014366336376248000e+03  8.010923390752331215e+03  8.008212603554346970e+03  8.006631904342966664e+03 
        22  0.000000000000000000e+00  6.420023999999999432e+03  8.795256825922684584e+03  9.013303155303890890e+03  9.025747384101527132e+03  9.020069472252174819e+03  9.014595117253233184e+03  9.010592053638125435e+03  9.008367980394863480e+03 
        23  0.000000000000000000e+00  6.974006000000000313e+03  9.607246769702960592e+03  9.890490932220025570e+03  9.938731063727145738e+03  9.957249284591143805e+03  9.968798187077360126e+03  9.976939719264755695e+03  9.981535399408408921e+03 
        24  0.000000000000000000e+00  7.091694999999999709e+03  9.762486961512877315e+03  1.000846232464292552e+04  1.002523563494777773e+04  1.002098076999663317e+04  1.001606886710947765e+04  1.001219839745519312e+04  1.000992332620457455e+04 
        25  0.000000000000000000e+00  7.003152000000000044e+03  9.736917854706192884e+03  9.993781738259509439e+03  1.001440981801108501e+04  1.001284777524625133e+04  1.000999711283926081e+04  1.000768587973824833e+04  1.000631658104983944e+04 
        26  0.000000000000000000e+00  6.850753000000000611e+03  9.661750752771791667e+03  9.941479110647194830e+03  9.973170502362308980e+03  9.979810763963794670e+03  9.983599867179123976e+03  9.986690661852278936e+03  9.988681064915263050e+03 
        27  0.000000000000000000e+00  6.763353999999999360e+03  9.665711965440887070e+03  9.964359941680651900e+03  9.998085617730486774e+03  1.000288529903435119e+04  1.000375926733147571e+04  1.000376187904656035e+04  1.000355141935059510e+04 
        28  0.000000000000000000e+00  6.727356999999999971e+03  9.674562380701616348e+03  9.974637329099281487e+03  1.000449048994228178e+04  1.000640694203018029e+04  1.000550324147207903e+04  1.000446293713383966e+04  1.000378099337917956e+04 
        29  0.000000000000000000e+00  6.718399999999999636e+03  9.669506933434991879e+03  9.967207213360987225e+03  9.995286957401160180e+03  9.997000450008770713e+03  9.996715156665617542e+03  9.996628850979872368e+03  9.996729286021121879e+03 
        30  0.000000000000000000e+00  6.716878999999999905e+03  9.659092455860632981e+03  9.962122327043656696e+03  9.993679111093857500e+03  9.997640205410058115e+03  9.998703126560752935e+03  9.999320935140429356e+03  9.999655197714906535e+03 
        31  0.000000000000000000e+00  6.716710000000000036e+03  9.652650396885361261e+03  9.962623705068584968e+03  9.996211662705636627e+03  1.000041738790133059e+04  1.000115315855349581e+04  1.000129710704589525e+04  1.000128014634725332e+04 
        32  0.000000000000000000e+00  6.716710000000000036e+03  9.650643011852271229e+03  9.964151682829779020e+03  9.997228623811904981e+03  1.000042450795179138e+04  1.000041101954481564e+04  1.000011213839276388e+04  9.999920284086552783e+03 
        33  0.000000000000000000e+00  6.716710000000000036e+03  9.649739208541295739e+03  9.963818274084951554e+03  9.996328165311002522e+03  9.999372293419581183e+03  9.999534565344109069e+03  9.999526936975084027e+03  9.999556139483018342e+03 
        34  0.000000000000000000e+00  6.716710000000000036e+03  9.648628281522695033e+03  9.962818455887501841e+03  9.995719758721028484e+03  9.999223630424290604e+03  9.999734516943857670e+03  9.999928638764280549e+03  1.000003003614704539e+04 
        35  0.000000000000000000e+00  6.716710000000000036e+03  9.647510711589284256e+03  9.962329518016444126e+03  9.995890577560654492e+03  9.999621907922348328e+03  1.000011254459681913e+04  1.000018634040375582e+04  1.000018220280142305e+04 
        36  0.000000000000000000e+00  6.716710000000000036e+03  9.646726461072183156e+03  9.962263795041697449e+03  9.996096259833186195e+03  9.999718952646697289e+03  1.000005640248377313e+04  1.000003109354352091e+04  9.999992994105914477e+03 
        37  0.000000000000000000e+00  6.716710000000000036e+03  9.646313946020023650e+03  9.962240498209082944e+03  9.996059795933148052e+03  9.999585724085640322e+03  9.999905829074439680e+03  9.999920405283366563e+03  9.999925847653628807e+03 
        38  0.000000000000000000e+00  6.716710000000000036e+03  9.646141815373513964e+03  9.962139743606438060e+03  9.995954285069547041e+03  9.999522070695229559e+03  9.999909842427849071e+03  9.999975778946336504e+03  1.000000142280673208e+04 
        39  0.000000000000000000e+00  6.716710000000000036e+03  9.646083078606774507e+03  9.962023582533347508e+03  9.995913241668486080e+03  9.999551126504586136e+03  9.999964327792968106e+03  1.000002140367476750e+04  1.000003005722284433e+04 
        40  0.000000000000000000e+00  6.716710000000000036e+03  9.646066430785474950e+03  9.961945856909942449e+03  9.995919210237194420e+03  9.999578019462858720e+03  9.999972055468753751e+03  1.000000583109033869e+04  1.000000331039908815e+04 
        41  0.000000000000000000e+00  6.716710000000000036e+03  9.646062485328409821e+03  9.961906387297958645e+03  9.995923227121938908e+03  9.999572958851149451e+03  9.999953630891030116e+03  9.999986882358876755e+03  9.999990155026234788e+03 
        42  0.000000000000000000e+00  6.716710000000000036e+03  9.646061705901604000e+03  9.961885846592365851e+03  9.995914264595930945e+03  9.999560556640986761e+03  9.999946595103616346e+03  9.999989555184129131e+03  9.999998553650762915e+03 
        43  0.000000000000000000e+00  6.716710000000000036e+03  9.646061578949471368e+03  9.961871828668943635e+03  9.995903022837210301e+03  9.999557066169016252e+03  9.999951241297778324e+03  9.999996932640680825e+03  1.000000462639160105e+04 
        44  0.000000000000000000e+00  6.716710000000000036e+03  9.646061562282500745e+03  9.961861066527042567e+03  9.995896428573196317e+03  9.999558962352773960e+03  9.999954675265395053e+03  9.999997349445196960e+03  1.000000245966903276e+04 
        45  0.000000000000000000e+00  6.716710000000000036e+03  9.646061560597943753e+03  9.961853580922595938e+03  9.995893684160642806e+03  9.999559933175167316e+03  9.999953850509216863e+03  9.999994771067080364e+03  9.999999869402890909e+03 
        46  0.000000000000000000e+00  6.716710000000000036e+03  9.646061560477273815e+03  9.961849160729252617e+03  9.995892135584692369e+03  9.999559031773073002e+03  9.999952319197147517e+03  9.999994022576476709e+03  1.000000017937789926e+04 
        47  0.000000000000000000e+00  6.716710000000000036e+03  9.646061560472446217e+03  9.961846943797987478e+03  9.995890646838410248e+03  9.999557889150692063e+03  9.999952031958200678e+03  9.999994729084055507e+03  1.000000117592117022e+04 
        48  0.000000000000000000e+00  6.716710000000000036e+03  9.646061560472446217e+03  9.961845986647389509e+03  9.995889301738458016e+03  9.999557355222223123e+03  9.999952374097143547e+03  9.999995158979474581e+03  1.000000128630078871e+04 
