     Count               1-iterative            2000-iterative            4000-iterative            6000-iterative            8000-iterative           10000-iterative           10001-iterative 
        66  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        67  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        68  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        69  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        70  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        71  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        72  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        73  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        74  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        75  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        76  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        77  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        78  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        79  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        80  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        81  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        82  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        83  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        84  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        85  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
