     Count               1-iterative             200-iterative             400-iterative             600-iterative             800-iterative            1000-iterative            1001-iterative 
        66  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        67  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        68  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        69  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        70  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        71  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        72  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        73  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        74  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        75  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        76  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        77  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        78  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        79  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        80  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        81  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        82  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        83  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        84  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        85  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
