     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
        46  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498763458241683e+03  1.567524980839133832e+03  1.494386996833476815e+03  3.735360556472332973e+02 
        47  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498792416712377e+03  1.567543361438494003e+03  1.494500745322731973e+03  3.733018163137496686e+02 
        48  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498797499868260e+03  1.567552815128078919e+03  1.494574544219327436e+03  3.731368887578830709e+02 
        49  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798252850520e+03  1.567557420762857646e+03  1.494621335533511910e+03  3.730226185155447638e+02 
        50  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798344870465e+03  1.567559524509322955e+03  1.494650320802264332e+03  3.729447736561276088e+02 
        51  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798353808525e+03  1.567560417611708090e+03  1.494667842921474403e+03  3.728926404995170287e+02 
        52  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354455857e+03  1.567560767729337613e+03  1.494678157628285817e+03  3.728583289124096609e+02 
        53  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354486553e+03  1.567560893930468183e+03  1.494684056223401740e+03  3.728361557758478284e+02 
        54  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560935640119624e+03  1.494687326373084716e+03  3.728221023079272527e+02 
        55  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560948255133326e+03  1.494689080620066534e+03  3.728133749818430260e+02 
        56  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560951740901828e+03  1.494689989049054475e+03  3.728080691247196228e+02 
        57  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560952619311593e+03  1.494690441662290596e+03  3.728049141892668104e+02 
        58  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560952820739885e+03  1.494690657712403208e+03  3.728030817271876458e+02 
        59  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560952862645308e+03  1.494690756051117887e+03  3.728020436699596303e+02 
        60  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560952870524488e+03  1.494690798536733837e+03  3.728014710943175487e+02 
        61  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498798354487235e+03  1.567560952871856443e+03  1.494690815889033502e+03  3.728011640960992281e+02 
