     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
        27  0.000000000000000000e+00  1.128236396912870987e+02 -4.245079517913836753e-01  2.191885215324873570e-02  3.982098400811082684e-01  4.448340001017641043e-01  3.664725192902551498e-01  2.655564930828404613e-01  1.794143921506474726e-01  1.214181582236051327e-01 
        28  0.000000000000000000e+00  1.130585687234488432e+02  6.277065804188168840e-01  4.578330503063625656e-01  2.736646450066473335e-01  1.048885741874983069e-01  1.392338586811092682e-02 -2.204064219222345855e-02 -2.999218373588519171e-02 -2.721713677419757005e-02 
        29  0.000000000000000000e+00  1.141593444695081416e+02  7.763695757093955763e-01  1.783739655365934595e-03 -1.847876231477130204e-01 -2.030883843599440297e-01 -1.619454301126097562e-01 -1.134418963483767584e-01 -7.431251556590723339e-02 -4.909682537254411727e-02 
        30  0.000000000000000000e+00  1.150972929507861409e+02  3.780920776516722981e-01 -1.854104653029935434e-01 -8.626057219225913286e-02  7.669171251109219156e-03  5.106013436488865409e-02  5.964045859400357585e-02  5.219653079620911740e-02  4.133794112567557022e-02 
        31  0.000000000000000000e+00  1.155655887117482052e+02  2.810473533027106896e-01 -4.106511316422256641e-03  7.629019778869405854e-02  7.442764999723294750e-02  4.798778624717670027e-02  2.435077481641201302e-02  9.457214731810381636e-03  2.302033924934221432e-03 
        32  0.000000000000000000e+00  1.157628677888842503e+02  4.142759143596776994e-01  7.792126386630116031e-02  3.383593960279540624e-02 -1.107625089389330242e-02 -3.020092516453587450e-02 -3.188176257572195027e-02 -2.633664761015097611e-02 -2.003112276543106418e-02 
        33  0.000000000000000000e+00  1.158914511310122180e+02  4.779293047704413766e-01  7.385664026514859870e-03 -3.322230939375003800e-02 -2.933479126477323007e-02 -1.335230434051482007e-02 -7.914930502010975033e-04  5.656775734678376466e-03  7.580184796097455546e-03 
        34  0.000000000000000000e+00  1.160080778998944879e+02  4.488734954138635658e-01 -2.734500097540149000e-02 -1.322135513692046516e-02  6.736796882250928320e-03  1.379033738703583367e-02  1.258093001524684951e-02  8.777423397987149656e-03  5.518249441593070515e-03 
        35  0.000000000000000000e+00  1.161006697802586132e+02  4.219805371412803652e-01 -3.574386155378306285e-03  1.369935299589997157e-02  1.202496462792623788e-02  4.030370771943125874e-03 -1.919420899866963737e-03 -4.542985727312043309e-03 -4.944650632751290686e-03 
        36  0.000000000000000000e+00  1.161591058682352013e+02  4.270411488505487796e-01  1.187889352513593622e-02  5.367992052924819291e-03 -3.637727793829981238e-03 -6.295579629295389168e-03 -4.871720359005848877e-03 -2.498511101293843240e-03 -7.819622551323845983e-04 
        37  0.000000000000000000e+00  1.161889919081531843e+02  4.394433590132393874e-01  5.121235437400173396e-03 -5.180563384783454239e-03 -4.768554917973233387e-03 -1.085937823518179357e-03  1.467638147005345672e-03  2.314227567694615573e-03  2.179735523895942606e-03 
        38  0.000000000000000000e+00  1.162017195976586663e+02  4.429338309837476118e-01 -1.613817965335329063e-03 -2.372342920352821238e-03  1.642827332034357823e-03  2.773555097519420087e-03  1.903043799757142551e-03  6.637191654590424150e-04 -1.475777353334706277e-04 
        39  0.000000000000000000e+00  1.162063233358439902e+02  4.410376472260395531e-01 -2.364679221500409767e-04  1.841479712311411276e-03  1.885179121018154547e-03  2.207805300713516772e-04 -8.711663213034626096e-04 -1.093763201424735598e-03 -8.814679658826207742e-04 
        40  0.000000000000000000e+00  1.162077555428186315e+02  4.400668248326837784e-01  2.475126848366926424e-03  1.095456214898149483e-03 -6.405174917745171115e-04 -1.153512259406852536e-03 -7.069589555612765253e-04 -1.222439223056426272e-04  2.186871915910160169e-04 
        41  0.000000000000000000e+00  1.162081414946806035e+02  4.409682269269978860e-01  2.524289871871587820e-03 -5.849790832144208252e-04 -7.639345185452839360e-04 -3.501357423374429345e-05  4.408400418469682336e-04  4.894392332062125206e-04  3.440774598857387900e-04 
        42  0.000000000000000000e+00  1.162082318223801849e+02  4.421108493079373147e-01  1.574742866068845615e-03 -4.805930766451638192e-04  2.232924925920087844e-04  4.671641072491183877e-04  2.533296301407972351e-04 -1.460633211536332965e-05 -1.514669693278847262e-04 
        43  0.000000000000000000e+00  1.162082501562344987e+02  4.426447777768771630e-01  1.342920391834923066e-03  1.646343025640817359e-04  3.130977238470222801e-04  8.210567102651111782e-06 -1.996692590182647109e-04 -2.047536963800666854e-04 -1.245466137334005907e-04 
        44  0.000000000000000000e+00  1.162082533656193846e+02  4.427760774233320262e-01  1.622809482796583325e-03  2.127361531165661290e-04 -6.689784640911966562e-05 -1.879591745819197968e-04 -9.239621795131824911e-05  2.840546767401974648e-05  8.304342190967872739e-05 
        45  0.000000000000000000e+00  1.162082538449831191e+02  4.428617759804183152e-01  1.779889167664805427e-03 -1.902855728985741735e-05 -1.270756420126417652e-04 -5.866872015758417547e-06  8.533187792636454105e-05  8.228379738284274936e-05  4.151316898060031235e-05 
        46  0.000000000000000000e+00  1.162082539050097694e+02  4.430000348547764588e-01  1.729518955471576191e-03 -7.455041304638143629e-05  1.423901085217949003e-05  7.486355571018066257e-05  3.520455356920138001e-05 -1.816087751649320126e-05 -3.980813198722898960e-05 
        47  0.000000000000000000e+00  1.162082539111306687e+02  4.431378235076408600e-01  1.663691258727340028e-03  3.795812517637386918e-07  5.032305125496350229e-05  5.117710315971635282e-06 -3.525959982653148472e-05 -3.274979644629638642e-05 -1.313100619881879538e-05 
        48  0.000000000000000000e+00  1.162082539116145199e+02  4.432320057167089544e-01  1.662753033087938093e-03  3.471587478998117149e-05  4.777230060426518321e-07 -2.927634704974479973e-05 -1.403358874085824937e-05  9.193447112920694053e-06  1.776378485374152660e-05 
        49  0.000000000000000000e+00  1.162082539116418047e+02  4.432854200949805090e-01  1.686058496488840319e-03  1.462494401494041085e-05 -1.901264113257639110e-05 -3.792409188463352621e-06  1.412257370247971267e-05  1.305676232732366771e-05  4.041345164296217263e-06 
        50  0.000000000000000000e+00  1.162082539116418047e+02  4.433171803684672341e-01  1.695200220638071187e-03 -1.934993633767589927e-06 -2.815655534504912794e-06  1.114912811317481101e-05  5.846815838594920933e-06 -4.166669896221719682e-06 -7.636848749825730920e-06 
        51  0.000000000000000000e+00  1.162082539116418047e+02  4.433397240482008783e-01  1.691556892183143646e-03  1.496118784416466951e-06  6.737463991157710552e-06  2.404076440143398941e-06 -5.469591997098177671e-06 -5.228124791756272316e-06 -1.225878804689273238e-06 
        52  0.000000000000000000e+00  1.162082539116418047e+02  4.433567522319208365e-01  1.688021362497238442e-03  8.161319783539511263e-06  2.171364030800759792e-06 -4.081080987816676497e-06 -2.525570380385033786e-06  1.744050678098574281e-06  3.203873347956687212e-06 
        53  0.000000000000000000e+00  1.162082539116418047e+02  4.433687462678790325e-01  1.688495764028630219e-03  8.612139936303719878e-06 -2.094000592478550971e-06 -1.350445018033497036e-06  2.038428647210821509e-06  2.108605258399620652e-06  3.794284566538408399e-07 
