     Count               Iteration-1               Iteration-2               Iteration-4               Iteration-6               Iteration-8              Iteration-10              Iteration-12              Iteration-14              Iteration-16              Iteration-18              Iteration-20              Iteration-22              Iteration-24              Iteration-26              Iteration-28              Iteration-30              Iteration-32              Iteration-34              Iteration-36              Iteration-38              Iteration-40              Iteration-42              Iteration-44              Iteration-46              Iteration-48              Iteration-50              Iteration-52              Iteration-54              Iteration-56              Iteration-58              Iteration-60              Iteration-62              Iteration-64              Iteration-66              Iteration-68              Iteration-70              Iteration-72              Iteration-74              Iteration-76              Iteration-78              Iteration-80              Iteration-82              Iteration-84              Iteration-86              Iteration-88              Iteration-88 
        10  0.000000000000000000e+00  0.000000000000000000e+00  3.608539999999999850e+02  4.953322114156000566e+02  5.604717334526661716e+02  5.864788409309453527e+02  5.951843289386450806e+02  5.974104336795304562e+02  5.975563475160564622e+02  5.971997759624600803e+02  5.968398821493603918e+02  5.966010142245177121e+02  5.964899365844114527e+02  5.964830298242695790e+02  5.965534875526451515e+02  5.966781413082160270e+02  5.968388191304256907e+02  5.970218500992274357e+02  5.972169940085979079e+02  5.974166783569393147e+02  5.976153874179307195e+02  5.978091856679138800e+02  5.979953485436360552e+02  5.981720759626423387e+02  5.983382693956403955e+02  5.984933580406942610e+02  5.986371632361084494e+02  5.987697928479271923e+02  5.988915592576638574e+02  5.990029159751387624e+02  5.991044089594341813e+02  5.991966395460433432e+02  5.992802365151646882e+02  5.993558353388294790e+02  5.994240630440922359e+02  5.994855274483995800e+02  5.995408097783765697e+02  5.995904598875952161e+02  5.996349934525751451e+02  5.996748906573143358e+02  5.997105959814738299e+02  5.997425187910673685e+02  5.997710344972642815e+02  5.997964861020282115e+02  5.998191859914747965e+02  5.998295937667994622e+02 
        11  0.000000000000000000e+00  0.000000000000000000e+00  3.495140999999999849e+02  5.596298288230000253e+02  6.608023549527943032e+02  7.013641268370338366e+02  7.157491692913600900e+02  7.199183154887045930e+02  7.203015715123307245e+02  7.193356140403390100e+02  7.179236890748871929e+02  7.164029424408923887e+02  7.149032313495118842e+02  7.134767296425555969e+02  7.121447007614707445e+02  7.109146560785969768e+02  7.097876590116228499e+02  7.087611241908750799e+02  7.078303637583007912e+02  7.069895324041501681e+02  7.062322123024107441e+02  7.055517937134097792e+02  7.049417257411207629e+02  7.043956791540384756e+02  7.039076479625267666e+02  7.034720080117267571e+02  7.030835455232609092e+02  7.027374648822068366e+02  7.024293823807632862e+02  7.021553107579203470e+02  7.019116380077863369e+02  7.016951029288507016e+02  7.015027691542545654e+02  7.013319988681666928e+02  7.011804270237836363e+02  7.010459365961204412e+02  7.009266351994667730e+02  7.008208332543281358e+02  7.007270237864314595e+02  7.006438638695224199e+02  7.005701576757526254e+02  7.005048410661947855e+02  7.004469676347714540e+02  7.003956961082238877e+02  7.003502790001609810e+02  7.003295553776788438e+02 
        12  0.000000000000000000e+00  0.000000000000000000e+00  2.795389999999999304e+02  5.559342755200000283e+02  6.901620487967810504e+02  7.458852731179516695e+02  7.685164462421247435e+02  7.782682282018861315e+02  7.830915259765419023e+02  7.859662065528875701e+02  7.879944778226648623e+02  7.895912971611327293e+02  7.909223048302876578e+02  7.920616544846843681e+02  7.930486505268528390e+02  7.939082157642695847e+02  7.946587686880338879e+02  7.953149529281483865e+02  7.958890131271178916e+02  7.963914374625920800e+02  7.968313085024286693e+02  7.972165307426678282e+02  7.975539982641485039e+02  7.978497288348187340e+02  7.981089763591587598e+02  7.983363275670598114e+02  7.985357861876003653e+02  7.987108466282529662e+02  7.988645585832181268e+02  7.989995836833162457e+02  7.991182451205620509e+02  7.992225710626357795e+02  7.993143325834963662e+02  7.993950767616170197e+02  7.994661555304345484e+02  7.995287508040727289e+02  7.995838963444075489e+02  7.996324967829115167e+02  7.996753441624740617e+02  7.997131323205268245e+02  7.997464693952547350e+02  7.997758887012715832e+02  7.998018581896533306e+02  7.998247886793967609e+02  7.998450410228564351e+02  7.998542635460348720e+02 
        13  0.000000000000000000e+00  0.000000000000000000e+00  2.670173999999998955e+02  6.054017152586000066e+02  7.639717060257448793e+02  8.285942517222530341e+02  8.550213678563303574e+02  8.669135329680153745e+02  8.732887234233205618e+02  8.774479029906382266e+02  8.805904041374781173e+02  8.831642766314211030e+02  8.853514345706302038e+02  8.872384673472541863e+02  8.888762698883797384e+02  8.903009125613126571e+02  8.915411599080325686e+02  8.926211487420818003e+02  8.935616852520674911e+02  8.943808556596641210e+02  8.950944169895377627e+02  8.957160978691943001e+02  8.962578521468308281e+02  8.967300806034227207e+02  8.971418268911472751e+02  8.975009508288534334e+02  8.978142812517709217e+02  8.980877503412687020e+02  8.983265112682810241e+02  8.985350409139431349e+02  8.987172293407384132e+02  8.988764575734949176e+02  8.990156651194362212e+02  8.991374085191870336e+02  8.992439120836036182e+02  8.993371118397242299e+02  8.994186935863293684e+02  8.994901258472668815e+02  8.995526884095138485e+02  8.996074970428610413e+02  8.996555249185855700e+02  8.996976211747662546e+02  8.997345270150909755e+02  8.997668896751808916e+02  8.997952745446881408e+02  8.998081322321793323e+02 
        14  0.000000000000000000e+00  0.000000000000000000e+00  4.401045999999998344e+02  8.404965681632000951e+02  1.000324214784763285e+03  1.050687382631038417e+03  1.060799419042310092e+03  1.057775838563125944e+03  1.051249493304756015e+03  1.044403781770282194e+03  1.038176189891527883e+03  1.032759782529150698e+03  1.028118776750547113e+03  1.024159182343195198e+03  1.020782296279760430e+03  1.017899568067774794e+03  1.015435236580440233e+03  1.013325418607749043e+03  1.011516479978024563e+03  1.009963357944140284e+03  1.008628120079489463e+03  1.007478767762578286e+03  1.006488251167880208e+03  1.005633658470982027e+03  1.004895546717715206e+03  1.004257387814449316e+03  1.003705108380091701e+03  1.003226706449250059e+03  1.002811931354842727e+03  1.002452015739450530e+03  1.002139450715022122e+03  1.001867796838592540e+03  1.001631524893242727e+03  1.001425881529862863e+03  1.001246775690257891e+03  1.001090682436740281e+03  1.000954561389498167e+03  1.000835787445578035e+03  1.000732091842009027e+03  1.000641511946102582e+03  1.000562348420867693e+03  1.000493128632903222e+03  1.000432575352246658e+03  1.000379579945128967e+03  1.000333179386775328e+03  1.000312186130282839e+03 
        15  0.000000000000000000e+00  0.000000000000000000e+00  1.005855499999999893e+03  1.595329077345900259e+03  1.827953500109071683e+03  1.915388158556454300e+03  1.949613926712390366e+03  1.964718106232175160e+03  1.972744144938584213e+03  1.977897904591741735e+03  1.981676749972696371e+03  1.984651075642035948e+03  1.987070531927856337e+03  1.989068322551423535e+03  1.990730349639369024e+03  1.992119389461652872e+03  1.993284296613589049e+03  1.994264190809852835e+03  1.995090786653313444e+03  1.995789941351320522e+03  1.996382818447702221e+03  1.996886797350841334e+03  1.997316195616448340e+03  1.997682846086996051e+03  1.997996559359113689e+03  1.998265495135284255e+03  1.998496461074561012e+03  1.998695153915711671e+03  1.998866354587130218e+03  1.999014086578696833e+03  1.999141744914638139e+03  1.999252201536727171e+03  1.999347891702224388e+03  1.999430885053187694e+03  1.999502944268363308e+03  1.999565573621985095e+03  1.999620059310980650e+03  1.999667503046229513e+03  1.999708850113554035e+03  1.999744912879650883e+03  1.999776390534397933e+03  1.999803885713980890e+03  1.999827918531310161e+03  1.999848938445230033e+03  1.999867334323281511e+03  1.999875655332873976e+03 
        16  0.000000000000000000e+00  0.000000000000000000e+00  1.757384199999999964e+03  2.539087936816600177e+03  2.822950891008626058e+03  2.923224413103991537e+03  2.959431198340006631e+03  2.973581865867458419e+03  2.980055736706088283e+03  2.983730679729957046e+03  2.986268174508048105e+03  2.988248518547134609e+03  2.989888453943088280e+03  2.991280929236153497e+03  2.992475085317904814e+03  2.993503095467892308e+03  2.994389351935415107e+03  2.995153822306887378e+03  2.995813383060363776e+03  2.996382484820890568e+03  2.996873565819227679e+03  2.997297352693635730e+03  2.997663101323284081e+03  2.997978798729284790e+03  2.998251335750671387e+03  2.998486655957981384e+03  2.998689884498328865e+03  2.998865439698642604e+03  2.999017129742360794e+03  2.999148236382201048e+03  2.999261587381211939e+03  2.999359619153409767e+03  2.999444430888315310e+03  2.999517831282078987e+03  2.999581378856677929e+03  2.999636416724577884e+03  2.999684102546908434e+03  2.999725434336860417e+03  2.999761272675196778e+03  2.999792359830186342e+03  2.999819336208898676e+03  2.999842754509518272e+03  2.999863091894364970e+03  2.999880760459735939e+03  2.999896116240800438e+03  2.999903024697962792e+03 
        17  0.000000000000000000e+00  0.000000000000000000e+00  2.567735299999999825e+03  3.537082672393400117e+03  3.866609899266334651e+03  3.974698878041589069e+03  4.008290338984423215e+03  4.017242743175288979e+03  4.018257912312183635e+03  4.016886036031067761e+03  4.014948778923316240e+03  4.013025169208618081e+03  4.011282061319000150e+03  4.009751467969687837e+03  4.008423157741868181e+03  4.007275459060765570e+03  4.006285329200460183e+03  4.005431468275220595e+03  4.004695063526012291e+03  4.004059791445351493e+03  4.003511585527602165e+03  4.003038353659701443e+03  4.002629707085339760e+03  4.002276718901242020e+03  4.001971714782243453e+03  4.001708093612486664e+03  4.001480174345338128e+03  4.001283065354691644e+03  4.001112552903704454e+03  4.000965005820330589e+03  4.000837293915581085e+03  4.000726718073227858e+03  4.000630950272177870e+03  4.000547982079760459e+03  4.000476080383647059e+03  4.000413749320140141e+03  4.000359697514499203e+03  4.000312809880620989e+03  4.000272123337822904e+03  4.000236805895452562e+03  4.000206138634733179e+03  4.000179500184027347e+03  4.000156353340702935e+03  4.000136233541382353e+03  4.000118738924068566e+03  4.000110865488491982e+03 
        18  0.000000000000000000e+00  0.000000000000000000e+00  3.327022400000000289e+03  4.460914021369000693e+03  4.833518025455193310e+03  4.953852009537416052e+03  4.991458722226394457e+03  5.002245472034801423e+03  5.004548701692801842e+03  5.004337896406806976e+03  5.003521746762407929e+03  5.002681724568490608e+03  5.001971029267055201e+03  5.001409432515951266e+03  5.000979153710944047e+03  5.000655272420382062e+03  5.000414714538705994e+03  5.000238346142772571e+03  5.000110942388468175e+03  5.000020615135132175e+03  4.999958168887455031e+03  4.999916531340901201e+03  4.999890286634536096e+03  4.999875304055512970e+03  4.999868446547242456e+03  4.999867343319245265e+03  4.999870213063947631e+03  4.999875726806408238e+03  4.999882901669427156e+03  4.999891018703027839e+03  4.999899559422158745e+03  4.999908156875798340e+03  4.999916557994545656e+03  4.999924594684940530e+03  4.999932161700833603e+03  4.999939199759796793e+03  4.999945682713436327e+03  4.999951607845713625e+03  4.999956988580109282e+03  4.999961849037294996e+03  4.999966220010323013e+03  4.999970136021866892e+03  4.999973633204059297e+03  4.999976747800496923e+03  4.999979515136042210e+03  4.999980779195531795e+03 
        19  0.000000000000000000e+00  0.000000000000000000e+00  4.067087700000000495e+03  5.361531393678200402e+03  5.782024617759070679e+03  5.920916703203186444e+03  5.968160578013358645e+03  5.985199474222052231e+03  5.992034697744295954e+03  5.995240758069917320e+03  5.997021892409167776e+03  5.998149568449745857e+03  5.998918373106193030e+03  5.999458609259894729e+03  5.999839644354625307e+03  6.000104995968245930e+03  6.000284986821715393e+03  6.000401884173414146e+03  6.000472398734656053e+03  6.000509159662226921e+03  6.000521711014132052e+03  6.000517241539218958e+03  6.000501137757929428e+03  6.000477408399811793e+03  6.000449011276219608e+03  6.000418105037259011e+03  6.000386242846797359e+03  6.000354521131203910e+03  6.000323693609798283e+03  6.000294258528040700e+03  6.000266525232223103e+03  6.000240664836632277e+03  6.000216748655909214e+03  6.000194777239245013e+03  6.000174702195794453e+03  6.000156442500091543e+03  6.000139896579342349e+03  6.000124951185598547e+03  6.000111487824920914e+03  6.000099387337311782e+03  6.000088533083569928e+03  6.000078813088860443e+03  6.000070121410785760e+03  6.000062358936422243e+03  6.000055433764027839e+03  6.000052258443944083e+03 
