     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
        12  0.000000000000000000e+00  7.458852731179516695e+02  7.879944778226648623e+02  7.939082157642695847e+02  7.968313085024286693e+02  7.983363275670598114e+02  7.991182451205620509e+02  7.995287508040727289e+02  7.997464693952547350e+02  7.998542635460348720e+02 
        13  0.000000000000000000e+00  8.285942517222530341e+02  8.805904041374781173e+02  8.903009125613126571e+02  8.950944169895377627e+02  8.975009508288534334e+02  8.987172293407384132e+02  8.993371118397242299e+02  8.996555249185855700e+02  8.998081322321793323e+02 
        14  0.000000000000000000e+00  1.050687382631038417e+03  1.038176189891527883e+03  1.017899568067774794e+03  1.008628120079489463e+03  1.004257387814449316e+03  1.002139450715022122e+03  1.001090682436740281e+03  1.000562348420867693e+03  1.000312186130282839e+03 
        15  0.000000000000000000e+00  1.915388158556454300e+03  1.981676749972696371e+03  1.992119389461652872e+03  1.996382818447702221e+03  1.998265495135284255e+03  1.999141744914638139e+03  1.999565573621985095e+03  1.999776390534397933e+03  1.999875655332873976e+03 
        16  0.000000000000000000e+00  2.923224413103991537e+03  2.986268174508048105e+03  2.993503095467892308e+03  2.996873565819227679e+03  2.998486655957981384e+03  2.999261587381211939e+03  2.999636416724577884e+03  2.999819336208898676e+03  2.999903024697962792e+03 
        17  0.000000000000000000e+00  3.974698878041589069e+03  4.014948778923316240e+03  4.007275459060765570e+03  4.003511585527602165e+03  4.001708093612486664e+03  4.000837293915581085e+03  4.000413749320140141e+03  4.000206138634733179e+03  4.000110865488491982e+03 
        18  0.000000000000000000e+00  4.953852009537416052e+03  5.003521746762407929e+03  5.000655272420382062e+03  4.999958168887455031e+03  4.999867343319245265e+03  4.999899559422158745e+03  4.999939199759796793e+03  4.999966220010323013e+03  4.999980779195531795e+03 
        19  0.000000000000000000e+00  5.920916703203186444e+03  5.997021892409167776e+03  6.000104995968245930e+03  6.000521711014132052e+03  6.000418105037259011e+03  6.000266525232223103e+03  6.000156442500091543e+03  6.000088533083569928e+03  6.000052258443944083e+03 
        20  0.000000000000000000e+00  6.897749581594503979e+03  6.982334611238309662e+03  6.991204776180540648e+03  6.995555803011682656e+03  6.997739491627207826e+03  6.998841006888507764e+03  6.999400646970126218e+03  6.999687377231511164e+03  6.999824736668560035e+03 
        21  0.000000000000000000e+00  7.954606576813378524e+03  8.014366336376248000e+03  8.007120348959964758e+03  8.003508442589222796e+03  8.001746448623779543e+03  8.000878222616422136e+03  8.000446191276185345e+03  8.000229011281909152e+03  8.000126700243533378e+03 
