     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
        54  0.000000000000000000e+00  9.999999985375055985e+03  9.999999986943237673e+03  9.999999995958654836e+03 
        55  0.000000000000000000e+00  1.000000000193499363e+04  1.000000000416666990e+04  1.000000000763684875e+04 
        56  0.000000000000000000e+00  9.999999998503881216e+03  1.000000000522812479e+04  1.000000000122587880e+04 
        57  0.000000000000000000e+00  9.999999991838680216e+03  9.999999998255949322e+03  9.999999996796126652e+03 
        58  0.000000000000000000e+00  9.999999991387860064e+03  9.999999997891394742e+03  9.999999999620571543e+03 
        59  0.000000000000000000e+00  9.999999993587549397e+03  1.000000000068028203e+04  1.000000000131947309e+04 
        60  0.000000000000000000e+00  9.999999994329011315e+03  1.000000000085701322e+04  1.000000000012922465e+04 
        61  0.000000000000000000e+00  9.999999993775452822e+03  9.999999999753572411e+03  9.999999999464032953e+03 
        62  0.000000000000000000e+00  9.999999993359133441e+03  9.999999999650368409e+03  9.999999999948009645e+03 
        63  0.000000000000000000e+00  9.999999993419985913e+03  1.000000000008105417e+04  1.000000000021519554e+04 
        64  0.000000000000000000e+00  9.999999993576935594e+03  1.000000000014221405e+04  1.000000000002455090e+04 
        65  0.000000000000000000e+00  9.999999993604675183e+03  9.999999999977328116e+03  9.999999999914674845e+03 
        66  0.000000000000000000e+00  9.999999993560102666e+03  9.999999999942794602e+03  9.999999999987330739e+03 
        67  0.000000000000000000e+00  9.999999993534820533e+03  1.000000000000421096e+04  1.000000000003329660e+04 
        68  0.000000000000000000e+00  9.999999993539864590e+03  1.000000000002254819e+04  1.000000000000666842e+04 
        69  0.000000000000000000e+00  9.999999993549216015e+03  1.000000000000055115e+04  9.999999999987279807e+03 
        70  0.000000000000000000e+00  9.999999993550422005e+03  9.999999999991387085e+03  9.999999999996551196e+03 
        71  0.000000000000000000e+00  9.999999993547424310e+03  9.999999999998828571e+03  1.000000000000472028e+04 
        72  0.000000000000000000e+00  9.999999993545567122e+03  1.000000000000314685e+04  1.000000000000172076e+04 
        73  0.000000000000000000e+00  9.999999993545545294e+03  1.000000000000084401e+04  9.999999999998319254e+03 
        74  0.000000000000000000e+00  9.999999993545930920e+03  9.999999999998921339e+03  9.999999999999175998e+03 
        75  0.000000000000000000e+00  9.999999993545943653e+03  9.999999999999528882e+03  1.000000000000056389e+04 
        76  0.000000000000000000e+00  9.999999993545716279e+03  1.000000000000033469e+04  1.000000000000037653e+04 
        77  0.000000000000000000e+00  9.999999993545528923e+03  1.000000000000022737e+04  9.999999999999827196e+03 
        78  0.000000000000000000e+00  9.999999993545457983e+03  9.999999999999910870e+03  9.999999999999836291e+03 
        79  0.000000000000000000e+00  9.999999993545434336e+03  9.999999999999899956e+03  1.000000000000004366e+04 
        80  0.000000000000000000e+00  9.999999993545412508e+03  1.000000000000001455e+04  1.000000000000006912e+04 
        81  0.000000000000000000e+00  9.999999993545383404e+03  1.000000000000003820e+04  9.999999999999992724e+03 
        82  0.000000000000000000e+00  9.999999993545356119e+03  1.000000000000000000e+04  9.999999999999972715e+03 
        83  0.000000000000000000e+00  9.999999993545343386e+03  9.999999999999983629e+03  9.999999999999998181e+03 
        84  0.000000000000000000e+00  9.999999993545332472e+03  9.999999999999992724e+03  1.000000000000000909e+04 
        85  0.000000000000000000e+00  9.999999993545325196e+03  1.000000000000000364e+04  1.000000000000000364e+04 
        86  0.000000000000000000e+00  9.999999993545317921e+03  1.000000000000000000e+04  9.999999999999998181e+03 
        87  0.000000000000000000e+00  9.999999993545314283e+03  9.999999999999996362e+03  1.000000000000000000e+04 
        88  0.000000000000000000e+00  9.999999993545312464e+03  9.999999999999996362e+03  1.000000000000000182e+04 
        89  0.000000000000000000e+00  9.999999993545310645e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        90  0.000000000000000000e+00  9.999999993545308826e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        91  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        92  0.000000000000000000e+00  9.999999993545308826e+03  9.999999999999996362e+03  1.000000000000000182e+04 
        93  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        94  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999998181e+03  1.000000000000000364e+04 
        95  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        96  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        97  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        98  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
        99  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000182e+04 
       100  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000182e+04 
       101  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
       102  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
       103  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999996362e+03  1.000000000000000364e+04 
       104  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       105  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       106  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       107  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       108  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       109  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       110  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       111  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       112  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000364e+04 
       113  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000546e+04 
       114  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000546e+04 
       115  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000546e+04 
       116  0.000000000000000000e+00  9.999999993545307007e+03  9.999999999999994543e+03  1.000000000000000546e+04 
