     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
        64  0.000000000000000000e+00  6.450783985201269388e-06 -5.511537892743945122e-10  1.272019289899617434e-08 
        65  0.000000000000000000e+00  6.449577995226718485e-06  8.612914825789630413e-09  3.448803909122943878e-09 
        66  0.000000000000000000e+00  6.452575689763762057e-06  1.171429175883531570e-09 -4.720277502201497555e-09 
        67  0.000000000000000000e+00  6.454432877944782376e-06 -3.146851668134331703e-09 -1.720763975754380226e-09 
        68  0.000000000000000000e+00  6.454454705817624927e-06 -8.440110832452774048e-10  1.680746208876371384e-09 
        69  0.000000000000000000e+00  6.454069080064073205e-06  1.078660716302692890e-09  8.240021998062729836e-10 
        70  0.000000000000000000e+00  6.454056347138248384e-06  4.711182555183768272e-10 -5.638867150992155075e-10 
        71  0.000000000000000000e+00  6.454283720813691616e-06 -3.346940502524375916e-10 -3.765308065339922905e-10 
        72  0.000000000000000000e+00  6.454471076722256839e-06 -2.273736754432320595e-10  1.728039933368563652e-10 
        73  0.000000000000000000e+00  6.454542017308995128e-06  8.913048077374696732e-11  1.637090463191270828e-10 
        74  0.000000000000000000e+00  6.454565664171241224e-06  1.000444171950221062e-10 -4.365574568510055542e-11 
        75  0.000000000000000000e+00  6.454587492044083774e-06 -1.455191522836685181e-11 -6.912159733474254608e-11 
        76  0.000000000000000000e+00  6.454616595874540508e-06 -3.819877747446298599e-11  7.275957614183425903e-12 
        77  0.000000000000000000e+00  6.454643880715593696e-06  0.000000000000000000e+00  2.728484105318784714e-11 
        78  0.000000000000000000e+00  6.454656613641418517e-06  1.637090463191270828e-11  1.818989403545856476e-12 
        79  0.000000000000000000e+00  6.454667527577839792e-06  7.275957614183425903e-12 -9.094947017729282379e-12 
        80  0.000000000000000000e+00  6.454674803535453975e-06 -3.637978807091712952e-12 -3.637978807091712952e-12 
        81  0.000000000000000000e+00  6.454682079493068159e-06  0.000000000000000000e+00  1.818989403545856476e-12 
        82  0.000000000000000000e+00  6.454685717471875250e-06  3.637978807091712952e-12  0.000000000000000000e+00 
        83  0.000000000000000000e+00  6.454687536461278796e-06  3.637978807091712952e-12 -1.818989403545856476e-12 
        84  0.000000000000000000e+00  6.454689355450682342e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
        85  0.000000000000000000e+00  6.454691174440085888e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
        86  0.000000000000000000e+00  6.454692993429489434e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
        87  0.000000000000000000e+00  6.454691174440085888e-06  3.637978807091712952e-12 -1.818989403545856476e-12 
        88  0.000000000000000000e+00  6.454692993429489434e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
        89  0.000000000000000000e+00  6.454692993429489434e-06  1.818989403545856476e-12 -3.637978807091712952e-12 
        90  0.000000000000000000e+00  6.454692993429489434e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
        91  0.000000000000000000e+00  6.454692993429489434e-06  3.637978807091712952e-12 -3.637978807091712952e-12 
