     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
        54  0.000000000000000000e+00  9.090909117769850809e+02  9.090909074996402524e+02  9.090909113192974473e+02 
        55  0.000000000000000000e+00  9.090909118376741844e+02  9.090909124108643482e+02  9.090909118343630553e+02 
        56  0.000000000000000000e+00  9.090909091502867341e+02  9.090909096147034916e+02  9.090909080181337458e+02 
        57  0.000000000000000000e+00  9.090909085342784692e+02  9.090909077825439226e+02  9.090909080647852534e+02 
        58  0.000000000000000000e+00  9.090909093013851816e+02  9.090909088993901150e+02  9.090909095640546411e+02 
        59  0.000000000000000000e+00  9.090909096959586577e+02  9.090909095993927167e+02  9.090909094784078661e+02 
        60  0.000000000000000000e+00  9.090909095396381190e+02  9.090909091701155376e+02  9.090909088936896296e+02 
        61  0.000000000000000000e+00  9.090909093671693881e+02  9.090909088960975168e+02  9.090909089423964815e+02 
        62  0.000000000000000000e+00  9.090909093717680207e+02  9.090909090548215090e+02  9.090909091695349389e+02 
        63  0.000000000000000000e+00  9.090909094299986464e+02  9.090909091642963631e+02  9.090909091488642844e+02 
        64  0.000000000000000000e+00  9.090909094457363153e+02  9.090909091081359747e+02  9.090909090607932512e+02 
        65  0.000000000000000000e+00  9.090909094316585879e+02  9.090909090638806447e+02  9.090909090678973143e+02 
        66  0.000000000000000000e+00  9.090909094222407703e+02  9.090909090826414740e+02  9.090909091019780135e+02 
        67  0.000000000000000000e+00  9.090909094238036232e+02  9.090909091005515847e+02  9.090909091001623210e+02 
        68  0.000000000000000000e+00  9.090909094273869187e+02  9.090909090948011908e+02  9.090909090870369482e+02 
        69  0.000000000000000000e+00  9.090909094281481657e+02  9.090909090876230039e+02  9.090909090871676881e+02 
        70  0.000000000000000000e+00  9.090909094273108622e+02  9.090909090891352662e+02  9.090909090921752522e+02 
        71  0.000000000000000000e+00  9.090909094267971113e+02  9.090909090919537903e+02  9.090909090924172915e+02 
        72  0.000000000000000000e+00  9.090909094268912440e+02  9.090909090916853756e+02  9.090909090905367975e+02 
        73  0.000000000000000000e+00  9.090909094271014510e+02  9.090909090906126266e+02  9.090909090903079459e+02 
        74  0.000000000000000000e+00  9.090909094271650019e+02  9.090909090905850007e+02  9.090909090909976840e+02 
