     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
        17  0.000000000000000000e+00  3.713004344813505782e+02  3.622860785232854255e+02  3.591389009108305004e+02  3.576373191962464944e+02  3.569136369140853731e+02  3.565621612660671076e+02  3.563901482010589348e+02  3.563052808596325463e+02  3.562660894374181453e+02 
        18  0.000000000000000000e+00  4.585363653540494511e+02  4.523742324290959687e+02  4.515615923644800773e+02  4.514180637447682898e+02  4.514239454174992261e+02  4.514503308070606522e+02  4.514706729986991718e+02  4.514830553826479900e+02  4.514894356303382210e+02 
        19  0.000000000000000000e+00  5.483948057927703985e+02  5.480421617640280374e+02  5.486347854444683207e+02  5.486285125243424545e+02  5.485279321883400598e+02  5.484450934949130669e+02  5.483918551506253607e+02  5.483605100249816360e+02  5.483441017692879313e+02 
        20  0.000000000000000000e+00  6.345839051459172424e+02  6.375539468433179309e+02  6.411142237939928918e+02  6.429136058341149464e+02  6.438210907031624401e+02  6.442817137076996232e+02  6.445173895344897801e+02  6.446390197248589402e+02  6.446976888211789856e+02 
        21  0.000000000000000000e+00  7.259123543393504860e+02  7.155655547131366347e+02  7.125406719188126772e+02  7.110780132478173527e+02  7.103588456054294511e+02  7.100016367357627587e+02  7.098224131872988210e+02  7.097315568787705615e+02  7.096884141005643869e+02 
        22  0.000000000000000000e+00  8.305162496886110830e+02  8.165176987018476211e+02  8.123045661871587981e+02  8.104485200205804176e+02  8.095834052560384180e+02  8.091630355992064096e+02  8.089524716534025401e+02  8.088446533813346377e+02  8.087926750965676774e+02 
        23  0.000000000000000000e+00  9.643033988358453144e+02  9.797535125662500377e+02  9.884561793421315770e+02  9.925277269716851833e+02  9.944985234405627352e+02  9.954775659724746220e+02  9.959735696356639210e+02  9.962287111376898565e+02  9.963517901765479792e+02 
        24  0.000000000000000000e+00  9.217652371109930982e+02  9.081132689819977486e+02  9.037372231431876344e+02  9.015656195257711261e+02  9.004712593377527128e+02  8.999135885666847798e+02  8.996264697792388461e+02  8.994772869969256135e+02  8.994049008619626875e+02 
        25  0.000000000000000000e+00  9.080370424555926547e+02  8.973148102938976081e+02  8.946302521182462897e+02  8.932649864822532209e+02  8.925515937128077439e+02  8.921746025160465479e+02  8.919736479550286958e+02  8.918657458182145774e+02  8.918118045205636690e+02 
        26  0.000000000000000000e+00  9.084015965863435440e+02  9.088146194216188860e+02  9.127597813807217335e+02  9.151551338679404353e+02  9.165245566453342008e+02  9.172886835771035976e+02  9.177104100977766166e+02  9.179420787898375238e+02  9.180595988113813064e+02 
        27  0.000000000000000000e+00  9.161201710747679954e+02  9.123027020850528288e+02  9.117151320686583631e+02  9.110164180883725749e+02  9.105060344928353970e+02  9.101821212399283922e+02  9.099887144932987439e+02  9.098767855678568139e+02  9.098179806574885333e+02 
        28  0.000000000000000000e+00  9.169603419001558677e+02  9.098309807390414790e+02  9.084541664946568744e+02  9.076553143330496596e+02  9.072038726832842030e+02  9.069511445946596950e+02  9.068098605039950826e+02  9.067308040570958383e+02  9.066898702833002517e+02 
        29  0.000000000000000000e+00  9.142337140084346174e+02  9.075427082031536656e+02  9.079176111382982981e+02  9.085238879433055672e+02  9.090170521789980285e+02  9.093564395658459034e+02  9.095730470067518354e+02  9.097057105988255898e+02  9.097787800093248052e+02 
        30  0.000000000000000000e+00  9.140061660550699116e+02  9.090029524887107755e+02  9.094848931112595665e+02  9.096224744654813321e+02  9.096054113461228781e+02  9.095472109967357710e+02  9.094911991721496634e+02  9.094488613870356630e+02  9.094224186904611997e+02 
        31  0.000000000000000000e+00  9.147881365821948521e+02  9.096862416425398123e+02  9.095479790491391441e+02  9.093060869798613339e+02  9.091119445279366573e+02  9.089824847421125469e+02  9.089021359560103974e+02  9.088539238151020072e+02  9.088277048122753285e+02 
        32  0.000000000000000000e+00  9.151334320535156621e+02  9.091277378151801258e+02  9.088453852890753524e+02  9.088011085997087548e+02  9.088560066533447070e+02  9.089323128503647240e+02  9.089991233622050686e+02  9.090489010259826728e+02  9.090802423631423608e+02 
        33  0.000000000000000000e+00  9.150765545956193137e+02  9.089307660516650458e+02  9.089620831625888968e+02  9.090682378971994240e+02  9.091338777903371238e+02  9.091615615414145850e+02  9.091681800809079732e+02  9.091658842054099523e+02  9.091615316784793777e+02 
        34  0.000000000000000000e+00  9.149991461393681220e+02  9.090881019435120152e+02  9.091883401064604868e+02  9.092098115360594193e+02  9.091827055873720838e+02  9.091467137294471286e+02  9.091165516789793628e+02  9.090949652517376762e+02  9.090818247604593125e+02 
