     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
        30  0.000000000000000000e+00  4.410000000000000000e+02  7.397847794964036439e-01  2.411885859328322113e-02  2.016217755699472036e-01  1.449326455349364551e-01  1.272488916947622783e-02 -9.735170848034613300e-02 -1.603005982342438074e-01 
        31  0.000000000000000000e+00  4.410000000000000000e+02  7.717840253990289057e-01  8.975662761804414913e-02  4.612924190223566256e-02 -6.967494343916769139e-02 -1.255429756802186603e-01 -1.196995931313722394e-01 -8.164957159897312522e-02 
        32  0.000000000000000000e+00  4.410000000000000000e+02  8.173413308977615088e-01  3.805186975660035387e-02 -4.560139493696624413e-02 -6.775483642741164658e-02 -3.033544619393069297e-02  1.839310780269443057e-02  5.351043378323083743e-02 
        33  0.000000000000000000e+00  4.410000000000000000e+02  8.432701379988429835e-01 -3.415287712414283305e-03 -3.182276806910522282e-02  1.971050021893461235e-03  3.578757159084489103e-02  4.556783642692607827e-02  3.614616738377662841e-02 
        34  0.000000000000000000e+00  4.410000000000000000e+02  8.535360259993467480e-01 -1.048804537276737392e-02  4.298638104955898598e-04  2.247829524276312441e-02  1.963521879406471271e-02  2.738575934927212074e-03 -1.396139609096280765e-02 
        35  0.000000000000000000e+00  4.410000000000000000e+02  8.566899969991936814e-01 -3.823799712336040102e-03  9.332324916613288224e-03  7.107713890945888124e-03 -6.544633231897023506e-03 -1.530444004310993478e-02 -1.538158002222189680e-02 
        36  0.000000000000000000e+00  4.410000000000000000e+02  8.574726480001118034e-01  1.456964799217530526e-03  4.084326916199643165e-03 -4.336779235018184409e-03 -8.383669430259033106e-03 -4.611300762917380780e-03  2.015561245571007021e-03 
        37  0.000000000000000000e+00  4.410000000000000000e+02  8.576312189998134272e-01  2.829766988725168630e-03 -6.460674467234639451e-04 -3.797026296524563804e-03 -5.075915669294772670e-04  4.014382984678377397e-03  5.844510558745241724e-03 
        38  0.000000000000000000e+00  4.410000000000000000e+02  8.576573820009798510e-01  2.421852672341628931e-03 -1.406775298164575361e-03 -2.308902421646052971e-04  2.487427602318348363e-03  2.630962182593066245e-03  6.078960668673971668e-04 
        39  0.000000000000000000e+00  4.410000000000000000e+02  8.576608350012975279e-01  1.878717994259204715e-03 -5.343973280105274171e-04  1.006988370136241429e-03  1.020499183141510002e-03 -5.566318759520072490e-04 -1.853692723670974374e-03 
