     Count               1-iterative               2-iterative               4-iterative               6-iterative               8-iterative              10-iterative              11-iterative 
        21  0.000000000000000000e+00  0.000000000000000000e+00  2.271590000000000146e+03  4.026258851190000314e+03  5.381533229042292987e+03  6.428219061620466164e+03  7.236476731989498148e+03 
        22  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        23  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        24  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        25  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        26  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        27  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        28  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        29  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        30  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        31  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        32  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        33  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        34  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        35  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        36  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        37  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        38  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        39  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        40  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        41  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        42  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        43  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
        44  0.000000000000000000e+00  0.000000000000000000e+00  2.273590000000000146e+03  4.030258851190000314e+03  5.387533229042292987e+03  6.436219061620466164e+03  7.246476731989498148e+03 
