RMS,0.132356623,Time,2018/1/8 4:32,,
count,purpose,ResidualError,TimeDistribution,Working,spot
212,450.5032122,0,1,1.537548622,2.85E-05
213,450.5032122,0,1,1.55225374,2.87E-05
214,450.5032122,0,1,1.567078462,2.89E-05
215,450.5032122,0,1,1.582024999,2.91E-05
216,450.5032122,0,1,1.5970955,2.93E-05
217,450.5032122,0,1,1.612291956,2.94E-05
218,450.5032122,0,1,1.627616343,2.96E-05
219,450.5032122,0,1,1.643068571,2.97E-05
220,450.5032122,0,1,1.658648547,2.99E-05
221,450.5032122,0,1,1.674356115,3.00E-05
222,450.5032122,0,1,1.690191117,3.01E-05
223,450.5032122,0,1,1.706153341,3.03E-05
224,450.5032122,0,1,1.722242655,3.04E-05
225,450.5032122,0,1,1.738458958,3.06E-05
226,450.5032122,0,1,1.754802222,3.07E-05
227,450.5032122,0,1,1.771272443,3.09E-05
228,450.5032122,0,1,1.787869694,3.10E-05
229,450.5032122,0,1,1.804594109,3.12E-05
230,450.5032122,0,1,1.821445845,3.14E-05
231,450.5032122,0,1,1.838427085,3.16E-05
232,450.5032122,0,1,1.855540025,3.18E-05
233,450.5032122,0,1,1.872786827,3.20E-05
234,450.5032122,0,1,1.890169665,3.21E-05
235,450.5032122,0,1,1.907690677,3.23E-05
236,450.5032122,0,1,1.925351926,3.25E-05
237,450.5032122,0,1,1.943155343,3.27E-05
238,450.5032122,0,1,1.961102789,3.29E-05
239,450.5032122,0,1,1.97919604,3.31E-05
240,450.5032122,0,1,1.997436766,3.34E-05
241,450.5032122,0,1,2.015828397,3.36E-05
242,450.5032122,0,1,2.034374255,3.38E-05
243,450.5032122,0,1,2.053077501,3.41E-05
244,450.5032122,0,1,2.071941191,3.43E-05
245,450.5032122,0,1,2.090968231,3.45E-05
246,450.5032122,0,1,2.110161427,3.48E-05
247,450.5032122,0,1,2.129523431,3.50E-05
248,450.5032122,0,1,2.149056859,3.52E-05
249,450.5032122,0,1,2.168764242,3.55E-05
250,450.5032122,0,1,2.188648077,3.57E-05
251,450.5032122,0,1,2.208710788,3.59E-05
252,450.5032122,0,1,2.228954756,3.62E-05
253,450.5032122,0,1,2.249382485,3.64E-05
254,450.5032122,0,1,2.269996447,3.66E-05
255,450.5032122,0,1,2.290799022,3.69E-05
256,450.5032122,0,1,2.311792556,3.71E-05
257,450.5032122,0,1,2.33297931,3.73E-05
258,450.5032122,0,1,2.354361525,3.76E-05
259,450.5032122,0,1,2.375941369,3.78E-05
260,450.5032122,0,1,2.397720951,3.81E-05
261,450.5032122,0,1,2.419702269,3.83E-05
262,450.5032122,0,1,2.441887268,3.85E-05
263,450.5032122,0,1,2.464277743,3.87E-05
264,450.5032122,0,1,2.486875481,3.89E-05
265,450.5032122,0,1,2.509680258,3.91E-05
266,450.5032122,0,1,2.532691847,3.93E-05
267,450.5032122,0,1,2.55590997,3.95E-05
268,450.5032122,0,1,2.579334355,3.97E-05
269,450.5032122,0,1,2.602964671,3.99E-05
270,450.5032122,0,1,2.626800578,4.01E-05
271,450.5032122,0,1,2.650841673,4.03E-05
272,450.5032122,0,1,2.67508757,4.05E-05
273,450.5032122,0,1,2.699537847,4.07E-05
274,450.5032122,0,1,2.724192099,4.08E-05
275,450.5032122,0,1,2.749049928,4.11E-05
276,450.5032122,0,1,2.774110909,4.13E-05
277,450.5032122,0,1,2.799376335,4.15E-05
278,450.5032122,0,1,2.824847475,4.18E-05
279,450.5032122,0,1,2.850525522,4.20E-05
280,450.5032122,0,1,2.876411635,4.22E-05
281,450.5032122,0,1,2.902506901,4.25E-05
282,450.5032122,0,1,2.928812366,4.27E-05
283,450.5032122,0,1,2.955328983,4.29E-05
284,450.5032122,0,1,2.982057671,4.32E-05
285,450.5032122,0,1,3.008999269,4.34E-05
286,450.5032122,0,1,3.036154578,4.36E-05
287,450.5032122,0,1,3.063524391,4.39E-05
288,450.5032122,0,1,3.0911094,4.43E-05
289,450.5032122,0,1,3.118913324,4.46E-05
290,450.5032122,0,1,3.146939776,4.49E-05
291,450.5032122,0,1,3.175192217,4.52E-05
292,450.5032122,0,1,3.203674005,4.55E-05
293,450.5032122,0,1,3.232388349,4.58E-05
294,450.5032122,0,1,3.261338412,4.61E-05
295,450.5032122,0,1,3.290527264,4.64E-05
296,450.5032122,0,1,3.319957949,4.67E-05
297,450.5032122,0,1,3.349633435,4.70E-05
298,450.5032122,0,1,3.379556662,4.73E-05
299,450.5032122,0,1,3.409730434,4.75E-05
300,450.5032122,0,1,3.44015759,4.78E-05
301,450.5032122,0,1,3.470838252,4.80E-05
302,450.5032122,0,1,3.501772581,4.83E-05
303,450.5032122,0,1,3.532960728,4.85E-05
304,450.5032122,0,1,3.564402882,4.88E-05
305,450.5032122,0,1,3.596099212,4.90E-05
306,450.5032122,0,1,3.628049894,4.92E-05
307,450.5032122,0,1,3.660255047,4.95E-05
308,450.5032122,0,1,3.692714799,4.97E-05
309,450.5032122,0,1,3.725429227,5.00E-05
310,450.5032122,0,1,3.758398405,5.02E-05
311,450.5032122,0,1,3.791622442,5.05E-05
312,450.5032122,0,1,3.82510137,5.09E-05
313,450.5032122,0,1,3.85883854,5.12E-05
314,450.5032122,0,1,3.892837216,5.15E-05
315,450.5032122,0,1,3.927100537,5.18E-05
316,450.5032122,0,1,3.961631573,5.21E-05
317,450.5032122,0,1,3.996433265,5.25E-05
318,450.5032122,0,1,4.031508419,5.28E-05
319,450.5032122,0,1,4.06685965,5.31E-05
320,450.5032122,0,1,4.102489442,5.34E-05
321,450.5032122,0,1,4.138400098,5.37E-05
322,450.5032122,0,1,4.1745938,5.41E-05
323,450.5032122,0,1,4.211072612,5.44E-05
324,450.5032122,0,1,4.247838429,5.48E-05
325,450.5032122,0,1,4.284895414,5.52E-05
326,450.5032122,0,1,4.322247567,5.56E-05
327,450.5032122,0,1,4.359898669,5.59E-05
328,450.5032122,0,1,4.397852343,5.63E-05
329,450.5032122,0,1,4.436112004,5.67E-05
330,450.5032122,0,1,4.474681058,5.71E-05
331,450.5032122,0,1,4.513562846,5.74E-05
332,450.5032122,0,1,4.552760696,5.78E-05
333,450.5032122,0,1,4.59227781,5.81E-05
334,450.5032122,0,1,4.632117442,5.85E-05
335,450.5032122,0,1,4.672280133,5.88E-05
336,450.5032122,0,1,4.712766479,5.91E-05
337,450.5032122,0,1,4.753577072,5.94E-05
338,450.5032122,0,1,4.79471255,5.97E-05
339,450.5032122,0,1,4.836173544,6.00E-05
340,450.5032122,0,1,4.877960726,6.03E-05
341,450.5032122,0,1,4.920074747,6.07E-05
342,450.5032122,0,1,4.96251619,6.10E-05
343,450.5032122,0,1,5.005285518,6.13E-05
344,450.5032122,0,1,5.048383121,6.16E-05
345,450.5032122,0,1,5.091809355,6.20E-05
346,450.5032122,0,1,5.13556444,6.24E-05
347,450.5032122,0,1,5.179651837,6.28E-05
348,450.5032122,0,1,5.224074875,6.32E-05
349,450.5032122,0,1,5.268836696,6.36E-05
350,450.5032122,0,1,5.313940309,6.40E-05
351,450.5032122,0,1,5.359388548,6.44E-05
352,450.5032122,0,1,5.405184119,6.47E-05
353,450.5032122,0,1,5.451329546,6.51E-05
354,450.5032122,0,1,5.497827289,6.55E-05
355,450.5032122,0,1,5.54467968,6.59E-05
356,450.5032122,0,1,5.59188899,6.63E-05
357,450.5032122,0,1,5.6394573,6.66E-05
358,450.5032122,0,1,5.687386699,6.70E-05
359,450.5032122,0,1,5.735675936,6.73E-05
360,450.5032122,0,1,5.784323784,6.76E-05
361,450.5032122,0,1,5.833328981,6.79E-05
362,450.5032122,0,1,5.88269029,6.82E-05
363,450.5032122,0,1,5.932406444,6.85E-05
364,450.5032122,0,1,5.98247625,6.89E-05
365,450.5032122,0,1,6.032898536,6.92E-05
366,450.5032122,0,1,6.083672207,6.95E-05
367,450.5032122,0,1,6.134796203,6.98E-05
368,450.5032122,0,1,6.18626954,7.01E-05
369,450.5032122,0,1,6.238091327,7.05E-05
370,450.5032122,0,1,6.29026068,7.09E-05
371,450.5032122,0,1,6.342779846,7.13E-05
372,450.5032122,0,1,6.395651071,7.17E-05
373,450.5032122,0,1,6.448876538,7.21E-05
374,450.5032122,0,1,6.502458429,7.25E-05
375,450.5032122,0,1,6.556398861,7.29E-05
376,450.5032122,0,1,6.610699853,7.33E-05
377,450.5032122,0,1,6.66536326,7.36E-05
378,450.5032122,0,1,6.720390879,7.40E-05
379,450.5032122,0,1,6.775784383,7.44E-05
380,450.5032122,0,1,6.831545392,7.48E-05
381,450.5032122,0,1,6.887675376,7.52E-05
382,450.5032122,0,1,6.944175788,7.55E-05
383,450.5032122,0,1,7.001046674,7.59E-05
384,450.5032122,0,1,7.058288067,7.63E-05
385,450.5032122,0,1,7.115899925,7.66E-05
386,450.5032122,0,1,7.17388219,7.70E-05
387,450.5032122,0,1,7.232234743,7.73E-05
388,450.5032122,0,1,7.290957564,7.77E-05
389,450.5032122,0,1,7.350050687,7.81E-05
390,450.5032122,0,1,7.409514244,7.84E-05
391,450.5032122,0,1,7.469348408,7.88E-05
392,450.5032122,0,1,7.529553453,7.91E-05
393,450.5032122,0,1,7.590129727,7.95E-05
394,450.5032122,0,1,7.651077624,7.99E-05
395,450.5032122,0,1,7.712399479,8.03E-05
396,450.5032122,0,1,7.774097664,8.07E-05
397,450.5032122,0,1,7.836174534,8.12E-05
398,450.5032122,0,1,7.898632465,8.16E-05
399,450.5032122,0,1,7.961473802,8.20E-05
400,450.5032122,0,1,8.024700795,8.24E-05
401,450.5032122,0,1,8.088315544,8.28E-05
402,450.5032122,0,1,8.15232006,8.32E-05
403,450.5032122,0,1,8.216716215,8.36E-05
404,450.5032122,0,1,8.281505799,8.40E-05
405,450.5032122,0,1,8.346690524,8.44E-05
406,450.5032122,0,1,8.412271973,8.49E-05
407,450.5032122,0,1,8.478254023,8.54E-05
408,450.5032122,0,1,8.54464042,8.58E-05
409,450.5032122,0,1,8.611434736,8.63E-05
410,450.5032122,0,1,8.678640423,8.67E-05
411,450.5032122,0,1,8.746260772,8.72E-05
412,450.5032122,0,1,8.814299068,8.76E-05
413,450.5032122,0,1,8.882758526,8.81E-05
414,450.5032122,0,1,8.951642361,8.86E-05
415,450.5032122,0,1,9.020953658,8.90E-05
416,450.5032122,0,1,9.090695559,8.93E-05
417,450.5032122,0,1,9.160868123,8.97E-05
418,450.5032122,0,1,9.231471481,9.01E-05
419,450.5032122,0,1,9.302505775,9.05E-05
420,450.5032122,0,1,9.373971212,9.09E-05
