RMS,0.09999921,Time,2018/1/8 13:11,,
count,purpose,ResidualError,TimeDistribution,Working,spot
1282,501.631083,0.006062271,4798.007721,501.6250207,9.81E-05
1283,501.7814542,0.006444856,4790.228007,501.7750093,9.87E-05
1284,501.9314342,0.007092456,4781.689527,501.9243417,9.94E-05
1285,502.0808329,0.007791483,4771.364623,502.0730414,1.00E-04
1286,502.229843,0.008712786,4759.393593,502.2211302,0.000100607
1287,502.3782707,0.009641462,4745.933238,502.3686292,0.000101234
1288,502.5263092,0.010750421,4731.102805,502.5155588,0.000101867
1289,502.6737675,0.011829027,4715.039425,502.6619385,0.000102517
1290,502.8208366,0.013049361,4698.475451,502.8077872,0.000103167
1291,502.9673246,0.014202679,4683.385091,502.9531219,0.000103817
1292,503.1134251,0.015471135,4669.693073,503.097954,0.000104467
1293,503.2589448,0.016651519,4657.355682,503.2422933,0.000105117
1294,503.4040771,0.017929411,4646.304872,503.3861477,0.000105767
1295,503.5486284,0.019105307,4636.503304,503.5295231,0.000106417
1296,503.6927932,0.020369695,4627.889061,503.6724235,0.000107017
1297,503.8363778,0.021526546,4620.430323,503.8148513,0.0001076
1298,503.9795759,0.022768929,4613.069126,503.956807,0.000108183
1299,504.1221936,0.023890469,4605.509245,504.0983031,0.000108766
1300,504.2644257,0.025070968,4597.779115,504.2393547,0.000109349
1301,504.4060783,0.026102871,4589.931451,504.3799754,0.000109932
1302,504.5473452,0.027167082,4581.987575,504.5201781,0.000110515
1303,504.6880323,0.028057233,4573.993204,504.6599751,0.000111102
1304,504.8283354,0.028957547,4565.962684,504.7993779,0.000111699
1305,504.9680583,0.029660793,4558.108966,504.9383975,0.000112296
1306,505.1073973,0.030353794,4550.9495,505.0770435,0.000112893
1307,505.2461578,0.030835986,4544.473557,505.2153218,0.000113491
1308,505.3845333,0.031296373,4538.642527,505.3532369,0.000114088
1309,505.5223307,0.031539123,4533.445974,505.4907916,0.000114685
1310,505.659745,0.031758274,4528.845975,505.6279867,0.000115283
1311,505.7965801,0.031758309,4524.832933,505.7648218,0.00011587
1312,505.9330326,0.031737943,4521.369305,505.9012947,0.000116453
1313,506.0689075,0.031505611,4518.015549,506.0374019,0.000117037
1314,506.2043994,0.031257973,4514.619083,506.1731414,0.000117621
1315,506.339313,0.030802224,4511.206948,506.3085108,0.000118205
1316,506.4738451,0.030338108,4507.775877,506.443507,0.000118788
1317,506.6078001,0.029672368,4504.349036,506.5781277,0.000119372
1318,506.741373,0.029001854,4500.919861,506.7123711,0.000119959
1319,506.8743685,0.028132531,4497.508852,506.846236,0.000120557
1320,507.0069839,0.02726251,4494.22881,506.9797214,0.000121155
1321,507.1390218,0.026195573,4491.455751,507.1128262,0.000121752
1322,507.2706781,0.025131618,4489.147691,507.2455465,0.00012235
1323,507.401759,0.023882263,4487.29227,507.3778767,0.000122948
1324,507.5324593,0.022649996,4485.849854,507.5098093,0.000123546
1325,507.6625831,0.02124894,4484.810337,507.6413342,0.000124143
1326,507.792328,0.019888986,4484.136126,507.772439,0.000124814
1327,507.921496,0.018386419,4483.818801,507.9031096,0.00012551
1328,508.0502851,0.016955513,4483.553613,508.0333296,0.000126205
1329,508.1784987,0.015436887,4483.26148,508.1630618,0.000126901
1330,508.3063333,0.014068471,4482.929561,508.2922648,0.000127596
1331,508.4335919,0.012690558,4482.572818,508.4209013,0.000128292
1332,508.5604735,0.011535705,4482.176471,508.5489378,0.000128862
1333,508.686779,0.010434789,4481.75341,508.6763442,0.000129308
1334,508.8127069,0.009613074,4481.28687,508.8030938,0.000129753
1335,508.9380598,0.008863612,4480.667543,508.9291962,0.000130198
