RMS,1.34999939,Time,2018/1/22 14:10,,,,,,,,
count,purpose,ResidualError,TimeDistribution,Working,spot,,,,,,
157,450.5032122,0,1,0.785722651,4.58E-05,,,,,,
158,450.5032122,0,1,0.811822467,4.64E-05,,,,,,
159,450.5032122,0,1,0.83858442,4.70E-05,,,,,,
160,450.5032122,0,1,0.866021062,4.76E-05,,,,,,
161,450.5032122,0,1,0.894145187,4.82E-05,,,,,,
162,450.5032122,0,1,0.922969496,4.88E-05,,,,,,
163,450.5032122,0,1,0.952506592,4.94E-05,,,,,,
164,450.5032122,0,1,0.982768976,5.00E-05,,,,,,
165,450.5032122,0,1,1.013769043,5.07E-05,,,,,,
166,450.5032122,0,1,1.045519075,5.13E-05,,,,,,
167,450.5032122,0,1,1.078031036,5.17E-05,,,,,,
168,450.5032122,0,1,1.111316982,5.21E-05,,,,,,
169,450.5032122,0,1,1.145388964,5.25E-05,,,,,,
170,450.5032122,0,1,1.180258892,5.29E-05,,,,,,
171,450.5032122,0,1,1.215938536,5.33E-05,,,,,,
172,450.5032122,0,1,1.252439493,5.37E-05,,,,,,
173,450.5032122,0,1,1.289773192,5.41E-05,,,,,,
174,450.5032122,0,1,1.327951161,5.45E-05,,,,,,
175,450.5032122,0,1,1.366985019,5.49E-05,,,,,,
176,450.5032122,0,1,1.406886472,5.53E-05,,,,,,
177,450.5032122,0,1,1.447667184,5.57E-05,,,,,,
178,450.5032122,0,1,1.489338743,5.61E-05,,,,,,
179,450.5032122,0,1,1.531912999,5.67E-05,,,,,,
180,450.5032122,0,1,1.575401571,5.74E-05,,,,,,
181,450.5032122,0,1,1.619815951,5.80E-05,,,,,,
182,450.5032122,0,1,1.665167656,5.87E-05,,,,,,
183,450.5032122,0,1,1.71146822,5.93E-05,,,,,,
184,450.5032122,0,1,1.75872924,6.00E-05,,,,,,
185,450.5032122,0,1,1.806962373,6.06E-05,,,,,,
186,450.5032122,0,1,1.856179835,6.13E-05,,,,,,
187,450.5032122,0,1,1.906394383,6.19E-05,,,,,,
188,450.5032122,0,1,1.957619311,6.25E-05,,,,,,
189,450.5032122,0,1,2.009868573,6.32E-05,,,,,,
190,450.5032122,0,1,2.063156803,6.38E-05,,,,,,
191,450.5032122,0,1,2.117499039,6.43E-05,,,,,,
192,450.5032122,0,1,2.172911003,6.48E-05,,,,,,
193,450.5032122,0,1,2.229409022,6.53E-05,,,,,,
194,450.5032122,0,1,2.287009916,6.58E-05,,,,,,
195,450.5032122,0,1,2.345730989,6.63E-05,,,,,,
196,450.5032122,0,1,2.405589562,6.68E-05,,,,,,
197,450.5032122,0,1,2.466602962,6.73E-05,,,,,,
198,450.5032122,0,1,2.52878783,6.78E-05,,,,,,
199,450.5032122,0,1,2.592160122,6.83E-05,,,,,,
200,450.5032122,0,1,2.656735113,6.88E-05,,,,,,
201,450.5032122,0,1,2.722527313,6.93E-05,,,,,,
202,450.5032122,0,1,2.789550451,6.98E-05,,,,,,
203,450.5032122,0,1,2.857817758,7.05E-05,,,,,,
204,450.5032122,0,1,2.927341555,7.12E-05,,,,,,
205,450.5032122,0,1,2.998133348,7.19E-05,,,,,,
206,450.5032122,0,1,3.070203968,7.26E-05,,,,,,
207,450.5032122,0,1,3.143563572,7.34E-05,,,,,,
208,450.5032122,0,1,3.218222196,7.41E-05,,,,,,
209,450.5032122,0,1,3.294189743,7.48E-05,,,,,,
210,450.5032122,0,1,3.371476632,7.55E-05,,,,,,
211,450.5032122,0,1,3.45009378,7.62E-05,,,,,,
212,450.5032122,0,1,3.530052589,7.69E-05,,,,,,
213,450.5032122,0,1,3.611365061,7.76E-05,,,,,,
214,450.5032122,0,1,3.694043806,7.83E-05,,,,,,
215,450.5032122,0,1,3.778101682,7.88E-05,,,,,,
216,450.5032122,0,1,3.863552283,7.92E-05,,,,,,
217,450.5032122,0,1,3.950409806,7.97E-05,,,,,,
218,450.5032122,0,1,4.038688885,8.01E-05,,,,,,
219,450.5032122,0,1,4.128404577,8.06E-05,,,,,,
220,450.5032122,0,1,4.219571987,8.10E-05,,,,,,
221,450.5032122,0,1,4.31220626,8.15E-05,,,,,,
222,450.5032122,0,1,4.406322576,8.20E-05,,,,,,
223,450.5032122,0,1,4.501936136,8.24E-05,,,,,,
224,450.5032122,0,1,4.599062158,8.29E-05,,,,,,
225,450.5032122,0,1,4.697715719,8.33E-05,,,,,,
226,450.5032122,0,1,4.797911719,8.38E-05,,,,,,
227,450.5032122,0,1,4.899664999,8.42E-05,,,,,,
228,450.5032122,0,1,5.00299032,8.47E-05,,,,,,
229,450.5032122,0,1,5.107902354,8.52E-05,,,,,,
230,450.5032122,0,1,5.214415695,8.57E-05,,,,,,
231,450.5032122,0,1,5.322544853,8.61E-05,,,,,,
232,450.5032122,0,1,5.43230395,8.66E-05,,,,,,
233,450.5032122,0,1,5.543706721,8.71E-05,,,,,,
234,450.5032122,0,1,5.656766512,8.75E-05,,,,,,
235,450.5032122,0,1,5.771496277,8.80E-05,,,,,,
236,450.5032122,0,1,5.887908576,8.85E-05,,,,,,
237,450.5032122,0,1,6.006015585,8.89E-05,,,,,,
238,450.5032122,0,1,6.125829091,8.94E-05,,,,,,
239,450.5032122,0,1,6.247360752,9.01E-05,,,,,,
240,450.5032122,0,1,6.370621567,9.09E-05,,,,,,
241,450.5032122,0,1,6.495622006,9.16E-05,,,,,,
242,450.5032122,0,1,6.622372344,9.23E-05,,,,,,
243,450.5032122,0,1,6.75088266,9.31E-05,,,,,,
244,450.5032122,0,1,6.88116327,9.38E-05,,,,,,
245,450.5032122,0,1,7.013224723,9.45E-05,,,,,,
246,450.5032122,0,1,7.147077787,9.52E-05,,,,,,
247,450.5032122,0,1,7.282733438,9.60E-05,,,,,,
248,450.5032122,0,1,7.420202859,9.67E-05,,,,,,
249,450.5032122,0,1,7.559497436,9.73E-05,,,,,,
250,450.5032122,0,1,7.70062907,9.79E-05,,,,,,
251,450.5032122,0,1,7.843609969,9.85E-05,,,,,,
252,450.5032122,0,1,7.988452555,9.91E-05,,,,,,
253,450.5032122,0,1,8.135169455,9.97E-05,,,,,,
254,450.5032122,0,1,8.283773229,0.000100251,,,,,,
255,450.5032122,0,1,8.434276367,0.000100841,,,,,,
256,450.5032122,0,1,8.586690605,0.000101431,,,,,,
257,450.5032122,0,1,8.741026933,0.00010202,,,,,,
258,450.5032122,0,1,8.897295589,0.00010261,,,,,,
259,450.5032122,0,1,9.055505991,0.0001032,,,,,,
260,450.5032122,0,1,9.215666711,0.00010379,,,,,,
261,450.5032122,0,1,9.37778546,0.000104282,,,,,,
262,450.5032122,0,1,9.541869282,0.000104773,,,,,,
263,450.5032122,0,1,9.707924509,0.000105265,,,,,,
264,450.5032122,0,1,9.875956713,0.000105757,,,,,,
265,450.5032122,0,1,10.04597071,0.000106249,,,,,,
266,450.5032122,0,1,10.21797076,0.000106741,,,,,,
267,450.5032122,0,1,10.39196056,0.000107233,,,,,,
268,450.5032122,0,1,10.56794457,0.000107725,,,,,,
269,450.5032122,0,1,10.745928,0.000108217,,,,,,
270,450.5032122,0,1,10.92591678,0.000108708,,,,,,
271,450.5032122,0,1,11.10791753,0.0001092,,,,,,
272,450.5032122,0,1,11.29193744,0.000109692,,,,,,
273,450.5032122,0,1,11.47798447,0.000110245,,,,,,
274,450.5032122,0,1,11.66606712,0.000110797,,,,,,
275,450.5032122,0,1,11.85619451,0.000111349,,,,,,
276,450.5032122,0,1,12.04837637,0.000111902,,,,,,
277,450.5032122,0,1,12.24262302,0.000112454,,,,,,
278,450.5032122,0,1,12.43894502,0.000113007,,,,,,
279,450.5032122,0,1,12.63735312,0.000113559,,,,,,
280,450.5032122,0,1,12.8378574,0.000114112,,,,,,
281,450.5032122,0,1,13.0404673,0.000114664,,,,,,
282,450.5032122,0,1,13.24519156,0.000115217,,,,,,
283,450.5032122,0,1,13.45203834,0.000115769,,,,,,
284,450.5032122,0,1,13.66101516,0.000116321,,,,,,
285,450.5032122,0,1,13.87212881,0.000116784,,,,,,
286,450.5032122,0,1,14.08538556,0.000117246,,,,,,
287,450.5032122,0,1,14.30079105,0.000117708,,,,,,
288,450.5032122,0,1,14.51835033,0.000118171,,,,,,
289,450.5032122,0,1,14.73806776,0.000118633,,,,,,
290,450.5032122,0,1,14.95994713,0.000119095,,,,,,
291,450.5032122,0,1,15.18399155,0.000119557,,,,,,
292,450.5032122,0,1,15.41020357,0.00012002,,,,,,
293,450.5032122,0,1,15.6385851,0.000120482,,,,,,
294,450.5032122,0,1,15.86913751,0.000120944,,,,,,
295,450.5032122,0,1,16.10186148,0.000121407,,,,,,
296,450.5032122,0,1,16.33675706,0.000121869,,,,,,
297,450.5032122,0,1,16.57382363,0.000122258,,,,,,
298,450.5032122,0,1,16.81306005,0.000122646,,,,,,
299,450.5032122,0,1,17.05446459,0.000123035,,,,,,
300,450.5032122,0,1,17.29803496,0.000123424,,,,,,
301,450.5032122,0,1,17.54376827,0.000123812,,,,,,
302,450.5032122,0,1,17.7916616,0.000124201,,,,,,
303,450.5032122,0,1,18.04171202,0.00012459,,,,,,
304,450.5032122,0,1,18.2939171,0.000124978,,,,,,
305,450.5032122,0,1,18.54827495,0.000125367,,,,,,
306,450.5032122,0,1,18.80478418,0.000125756,,,,,,
307,450.5032122,0,1,19.06344387,0.000126144,,,,,,
308,450.5032122,0,1,19.32425352,0.000126533,,,,,,
309,450.5032122,0,1,19.58721328,0.000127105,,,,,,
310,450.5032122,0,1,19.85232354,0.000127678,,,,,,
311,450.5032122,0,1,20.11958509,0.00012825,,,,,,
312,450.5032122,0,1,20.38899915,0.000128822,,,,,,
313,450.5032122,0,1,20.66056738,0.000129394,,,,,,
314,450.5032122,0,1,20.93429064,0.000129967,,,,,,
315,450.5032122,0,1,21.21016907,0.000130539,,,,,,
316,450.5032122,0,1,21.48820205,0.000131111,,,,,,
317,450.5032122,0,1,21.76838821,0.000131684,,,,,,
318,450.5032122,0,1,22.05072545,0.000132256,,,,,,
319,450.5032122,0,1,22.33521107,0.000132828,,,,,,
320,450.5032122,0,1,22.62184175,0.000133401,,,,,,
321,450.5032122,0,1,22.91061351,0.000133972,,,,,,
322,450.5032122,0,1,23.20152174,0.000134544,,,,,,
323,450.5032122,0,1,23.49456113,0.000135115,,,,,,
324,450.5032122,0,1,23.78972588,0.000135687,,,,,,
325,450.5032122,0,1,24.08700964,0.000136259,,,,,,
326,450.5032122,0,1,24.38640592,0.00013683,,,,,,
327,450.5032122,0,1,24.68790802,0.000137402,,,,,,
328,450.5032122,0,1,24.99150906,0.000137974,,,,,,
329,450.5032122,0,1,25.29720199,0.000138545,,,,,,
330,450.5032122,0,1,25.60497959,0.000139117,,,,,,
331,450.5032122,0,1,25.91483434,0.000139577,,,,,,
332,450.5032122,0,1,26.22675867,0.000140037,,,,,,
333,450.5032122,0,1,26.54074487,0.000140497,,,,,,
334,450.5032122,0,1,26.85678503,0.000140957,,,,,,
335,450.5032122,0,1,27.1748711,0.000141417,,,,,,
336,450.5032122,0,1,27.49499501,0.000141876,,,,,,
337,450.5032122,0,1,27.81714871,0.000142336,,,,,,
338,450.5032122,0,1,28.14132387,0.000142796,,,,,,
339,450.5032122,0,1,28.46751189,0.000143256,,,,,,
340,450.5032122,0,1,28.79570392,0.000143716,,,,,,
341,450.5032122,0,1,29.12589076,0.000144176,,,,,,
342,450.5032122,0,1,29.4580629,0.000144636,,,,,,
343,450.5032122,0,1,29.79221049,0.000145062,,,,,,
344,450.5032122,0,1,30.12832345,0.000145487,,,,,,
345,450.5032122,0,1,30.46639143,0.000145913,,,,,,
346,450.5032122,0,1,30.80640381,0.000146339,,,,,,
347,450.5032122,0,1,31.14834899,0.000146764,,,,,,
348,450.5032122,0,1,31.49221502,0.00014719,,,,,,
349,450.5032122,0,1,31.8379901,0.000147615,,,,,,
350,450.5032122,0,1,32.18566253,0.000148041,,,,,,
351,450.5032122,0,1,32.53522067,0.000148467,,,,,,
352,450.5032122,0,1,32.8866528,0.000148892,,,,,,
353,450.5032122,0,1,33.23994716,0.000149318,,,,,,
354,450.5032122,0,1,33.5950919,0.000149744,,,,,,
355,450.5032122,0,1,33.95207504,0.000150114,,,,,,
356,450.5032122,0,1,34.31088462,0.000150484,,,,,,
357,450.5032122,0,1,34.67150864,0.000150855,,,,,,
358,450.5032122,0,1,35.03393502,0.000151225,,,,,,
359,450.5032122,0,1,35.39815165,0.000151596,,,,,,
360,450.5032122,0,1,35.7641466,0.000151966,,,,,,
361,450.5032122,0,1,36.1319082,0.000152336,,,,,,
362,450.5032122,0,1,36.50142431,0.000152707,,,,,,
363,450.5032122,0,1,36.87268246,0.000153077,,,,,,
364,450.5032122,0,1,37.24566989,0.000153448,,,,,,
365,450.5032122,0,1,37.62037361,0.000153818,,,,,,
366,450.5032122,0,1,37.99678036,0.000154189,,,,,,
367,450.5032122,0,1,38.37487667,0.000154567,,,,,,
368,450.5032122,0,1,38.75464883,0.000154945,,,,,,
369,450.5032122,0,1,39.13608293,0.000155324,,,,,,
370,450.5032122,0,1,39.51916485,0.000155702,,,,,,
371,450.5032122,0,1,39.90388027,0.000156081,,,,,,
372,450.5032122,0,1,40.29021419,0.000156459,,,,,,
373,450.5032122,0,1,40.67815091,0.000156837,,,,,,
374,450.5032122,0,1,41.06767476,0.000157216,,,,,,
375,450.5032122,0,1,41.45876998,0.000157594,,,,,,
376,450.5032122,0,1,41.85142023,0.000157973,,,,,,
377,450.5032122,0,1,42.24560859,0.000158351,,,,,,
378,450.5032122,0,1,42.64131754,0.000158729,,,,,,
379,450.5032122,0,1,43.03852905,0.000159126,,,,,,
380,450.5032122,0,1,43.43722448,0.000159523,,,,,,
381,450.5032122,0,1,43.83738467,0.000159919,,,,,,
382,450.5032122,0,1,44.23898991,0.000160316,,,,,,
383,450.5032122,0,1,44.64201997,0.000160712,,,,,,
384,450.5032122,0,1,45.04645416,0.000161109,,,,,,
385,450.5032122,0,1,45.45227144,0.000161506,,,,,,
386,450.5032122,0,1,45.85945227,0.000161902,,,,,,
387,450.5032122,0,1,46.2679776,0.000162299,,,,,,
388,450.5032122,0,1,46.67782905,0.000162695,,,,,,
389,450.5032122,0,1,47.08898873,0.000163092,,,,,,
390,450.5032122,0,1,47.50143931,0.000163489,,,,,,
391,450.5032122,0,1,47.91516396,0.000163842,,,,,,
392,450.5032122,0,1,48.33014643,0.000164196,,,,,,
393,450.5032122,0,1,48.74637095,0.000164549,,,,,,
394,450.5032122,0,1,49.16382228,0.000164903,,,,,,
395,450.5032122,0,1,49.58248566,0.000165256,,,,,,
396,450.5032122,0,1,50.00234605,0.00016561,,,,,,
397,450.5032122,0,1,50.42338817,0.000165963,,,,,,
398,450.5032122,0,1,50.845596,0.000166317,,,,,,
399,450.5032122,0,1,51.26895278,0.00016667,,,,,,
400,450.5032122,0,1,51.69344131,0.000167024,,,,,,
401,450.5032122,0,1,52.11904415,0.000167377,,,,,,
402,450.5032122,0,1,52.54574364,0.000167731,,,,,,
403,450.5032122,0,1,52.97352183,0.000168053,,,,,,
404,450.5032122,0,1,53.40236062,0.000168375,,,,,,
405,450.5032122,0,1,53.83224167,0.000168696,,,,,,
406,450.5032122,0,1,54.26314657,0.000169018,,,,,,
407,450.5032122,0,1,54.69505678,0.00016934,,,,,,
408,450.5032122,0,1,55.12795347,0.000169662,,,,,,
409,450.5032122,0,1,55.56181754,0.000169984,,,,,,
410,450.5032122,0,1,55.99663086,0.000170305,,,,,,
411,450.5032122,0,1,56.43237642,0.000170627,,,,,,
412,450.5032122,0,1,56.86903771,0.000170949,,,,,,
413,450.5032122,0,1,57.30659777,0.000171148,,,,,,
414,450.5032122,0,1,57.74503951,0.000171347,,,,,,
415,450.5032122,0,1,58.18434562,0.000171546,,,,,,
416,450.5032122,0,1,58.62449862,0.000171745,,,,,,
417,450.5032122,0,1,59.06548081,0.000171944,,,,,,
418,450.5032122,0,1,59.50727447,0.000172143,,,,,,
419,450.5032122,0,1,59.94986184,0.000172342,,,,,,
420,450.5032122,0,1,60.39322467,0.000172541,,,,,,
421,450.5032122,0,1,60.83734435,0.00017274,,,,,,
422,450.5032122,0,1,61.28220232,0.000172939,,,,,,
423,450.5032122,0,1,61.72777996,0.000173138,,,,,,
424,450.5032122,0,1,62.17405861,0.000173337,,,,,,
425,450.5032122,0,1,62.62101968,0.000173581,,,,,,
426,450.5032122,0,1,63.06864462,0.000173825,,,,,,
427,450.5032122,0,1,63.51691494,0.000174069,,,,,,
428,450.5032122,0,1,63.96581217,0.000174314,,,,,,
429,450.5032122,0,1,64.41531793,0.000174558,,,,,,
430,450.5032122,0,1,64.86541389,0.000174802,,,,,,
431,450.5032122,0,1,65.31608172,0.000175047,,,,,,
432,450.5032122,0,1,65.76730328,0.000175291,,,,,,
433,450.5032122,0,1,66.21906056,0.000175535,,,,,,
434,450.5032122,0,1,66.67133562,0.00017578,,,,,,
435,450.5032122,0,1,67.12411023,0.000176024,,,,,,
436,450.5032122,0,1,67.5773656,0.000176268,,,,,,
437,450.5032122,0,1,68.03108286,0.000176569,,,,,,
438,450.5032122,0,1,68.48524297,0.000176869,,,,,,
439,450.5032122,0,1,68.93982671,0.000177169,,,,,,
440,450.5032122,0,1,69.39481471,0.00017747,,,,,,
441,450.5032122,0,1,69.8501875,0.00017777,,,,,,
442,450.5032122,0,1,70.30592527,0.000178071,,,,,,
443,450.5032122,0,1,70.76200795,0.000178371,,,,,,
444,450.5032122,0,1,71.21841533,0.000178672,,,,,,
445,450.5032122,0,1,71.67512701,0.000178972,,,,,,
446,450.5032122,0,1,72.13212245,0.000179272,,,,,,
447,450.5032122,0,1,72.58938189,0.000179573,,,,,,
448,450.5032122,0,1,73.0468871,0.000179873,,,,,,
449,450.5032122,0,1,73.50461994,0.000180162,,,,,,
