     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        15  1.638556272306385120e-01  1.638556272306385120e-01  1.644126291861469080e-01  1.649454324709762609e-01  1.654132367623493693e-01  1.658173198656079095e-01  1.661769834601432294e-01  1.661769869740024053e-01 
        16  1.894181584178767919e-01  1.894181584178767919e-01  1.899900242741996981e-01  1.905365067341290020e-01  1.910076972762683734e-01  1.914048402482799449e-01  1.917502675664574940e-01  1.917502709284070461e-01 
        17  2.182730470090657737e-01  2.182730470090657737e-01  2.188264884993966763e-01  2.193585742930588278e-01  2.198077478775586624e-01  2.201747078190598450e-01  2.204837181558592096e-01  2.204837211466005586e-01 
        18  2.506786449570831965e-01  2.506786449570831965e-01  2.512023042708370624e-01  2.517124243036019116e-01  2.521334877409200370e-01  2.524652815491769675e-01  2.527332987986869450e-01  2.527333013731076217e-01 
        19  2.867685286423441449e-01  2.867685286423441449e-01  2.872685652250292487e-01  2.877653808453616846e-01  2.881673552259538251e-01  2.884731138903685044e-01  2.887090628984803620e-01  2.887090651449411016e-01 
        20  3.266854282301505652e-01  3.266854282301505652e-01  3.271760615239275305e-01  3.276756577058407283e-01  3.280744192619648447e-01  3.283695997055836036e-01  3.285884079870183827e-01  3.285884100531120122e-01 
        21  3.706863064556663589e-01  3.706863064556663589e-01  3.711827458796431167e-01  3.717020367882781229e-01  3.721141467899751198e-01  3.724147361148933966e-01  3.726317688826272789e-01  3.726317709201053541e-01 
        22  4.191910818517400328e-01  4.191910818517400328e-01  4.197081010043258731e-01  4.202633986093436969e-01  4.207046791206529024e-01  4.210257862947381913e-01  4.212554484491286000e-01  4.212554506000104615e-01 
        23  4.727436733669300173e-01  4.727436733669300173e-01  4.732988892766570865e-01  4.739087759153446933e-01  4.743968039590005237e-01  4.747548314416904502e-01  4.750125407390776711e-01  4.750125431550452637e-01 
        24  5.318900650866745794e-01  5.318900650866745794e-01  5.325076481711644716e-01  5.331962823686182684e-01  5.337532623618784777e-01  5.341684010343776823e-01  5.344728487238648018e-01  5.344728515884853426e-01 
        25  5.970950331218747298e-01  5.970950331218747298e-01  5.978049634607659479e-01  5.986014135278049375e-01  5.992534555193116397e-01  5.997489100046383692e-01  6.001212478256470195e-01  6.001212513462720333e-01 
        26  6.687376962107766110e-01  6.687376962107766110e-01  6.695699773170390445e-01  6.705030585585050051e-01  6.712754368047308962e-01  6.718730483779693508e-01  6.723327256830199383e-01  6.723327300496596548e-01 
        27  7.470554428790892043e-01  7.470554428790892043e-01  7.480326961000689501e-01  7.491244082019329342e-01  7.500356559447108884e-01  7.507505683245934147e-01  7.513103363622424258e-01  7.513103416982800375e-01 
        28  8.320114101558073738e-01  8.320114101558073738e-01  8.331418012199429679e-01  8.344011322748953186e-01  8.354576049156815509e-01  8.362934907989124644e-01  8.369550250537357572e-01  8.369550313728394419e-01 
        29  9.232859219513532834e-01  9.232859219513532834e-01  9.245563819000331973e-01  9.259734280435625298e-01  9.271642971060436444e-01  9.281091261779034207e-01  9.288592643630209089e-01  9.288592715322736559e-01 
        30  1.020521529017716089e+00  1.020521529017716089e+00  1.021894487157255282e+00  1.023437738875082381e+00  1.024732957445805503e+00  1.025757575253462672e+00  1.026567278697381624e+00  1.026567286427397141e+00 
        31  1.123641752409535233e+00  1.123641752409535233e+00  1.125062098605337901e+00  1.126684872382644143e+00  1.128041402348869626e+00  1.129105597717031673e+00  1.129935935677190306e+00  1.129935943581481306e+00 
        32  1.232948030482647006e+00  1.232948030482647006e+00  1.234362450757993779e+00  1.236020323961889433e+00  1.237398128173961664e+00  1.238465367817173091e+00  1.239281498405097715e+00  1.239281506138180999e+00 
        33  1.348929671849398382e+00  1.348929671849398382e+00  1.350310001829411855e+00  1.351981688198676812e+00  1.353362507921678004e+00  1.354416867094773824e+00  1.355203848733744110e+00  1.355203856147030761e+00 
        34  1.472019753873780035e+00  1.472019753873780035e+00  1.473376585176821241e+00  1.475075884980310059e+00  1.476473621781429379e+00  1.477528775549038720e+00  1.478299710256519850e+00  1.478299717478339659e+00 
        35  1.602578755816183698e+00  1.602578755816183698e+00  1.603957859949111331e+00  1.605730087152858365e+00  1.607186981390378300e+00  1.608282150315718084e+00  1.609073984712268146e+00  1.609073992106040851e+00 
        36  1.741102813590992948e+00  1.741102813590992948e+00  1.742569845979214493e+00  1.744477777714926736e+00  1.746051160943791647e+00  1.747238556205879645e+00  1.748099944926846838e+00  1.748099952971011506e+00 
        37  1.888383251095612447e+00  1.888383251095612447e+00  1.890008777225713033e+00  1.892119067351116568e+00  1.893868728493195874e+00  1.895201740250342937e+00  1.896181726291822578e+00  1.896181735467944884e+00 
        38  2.045475187071975842e+00  2.045475187071975842e+00  2.047326535345337817e+00  2.049702480593596388e+00  2.051683999083725229e+00  2.053211007705994184e+00  2.054353105918693245e+00  2.054353116652995137e+00 
        39  2.213630656006658981e+00  2.213630656006658981e+00  2.215768597580456856e+00  2.218467417536334363e+00  2.220729750806877068e+00  2.222491961255511406e+00  2.223832113734040217e+00  2.223832126377208507e+00 
        40  2.394341705154552358e+00  2.394341705154552358e+00  2.396818677424609856e+00  2.399890275769059667e+00  2.402474785906308252e+00  2.404505464757560773e+00  2.406071369887336164e+00  2.406071384707904048e+00 
