     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        10  0.000000000000000000e+00 -3.308299723566165085e+01 -1.032508471504343106e+00 -6.379305145671878563e-01 -3.934969118090521079e-01 -1.875455543661246338e-01 -1.388295750959969155e-01 -1.388296465052007989e-01 
        11  0.000000000000000000e+00 -3.228533217869585314e+01 -5.393111321461674379e-01 -1.729141415867161413e-01  4.515684589819102257e-02  2.417499149410105019e-01  2.842619018267669162e-01  2.842617173951111909e-01 
        12  0.000000000000000000e+00 -3.155927548959994056e+01 -1.130687592496997240e-01  2.098698824224811688e-01  3.935332327034757327e-01  5.735171210576481826e-01  6.092996345191750152e-01  6.092993570687212923e-01 
        13  0.000000000000000000e+00 -3.092766435248472590e+01  2.321892997533723246e-01  4.995687718248973397e-01  6.437607491134258453e-01  8.015983798832166940e-01  8.306862449146592553e-01  8.306858989794818626e-01 
        14  0.000000000000000000e+00 -3.040604741305560310e+01  4.889088220411395014e-01  6.918729788869768527e-01  7.940940704320382793e-01  9.258026729737593996e-01  9.485686543914653157e-01  9.485682662621002237e-01 
        15  0.000000000000000000e+00 -3.000246010298269539e+01  6.560466531043402938e-01  7.892445122524804901e-01  8.489130022776407714e-01  9.519261935959093535e-01  9.689180626915003813e-01  9.689176582833169959e-01 
        16  0.000000000000000000e+00 -2.971554457252955217e+01  7.408193084013419139e-01  8.022626439912983187e-01  8.199753212506948330e-01  8.935430779276885005e-01  9.053945621051298076e-01  9.053941656422921369e-01 
        17  0.000000000000000000e+00 -2.953445107981701767e+01  7.587126739065297443e-01  7.495789135482482379e-01  7.274014421766423766e-01  7.720060028366333427e-01  7.794491816384834237e-01  7.794488150505003432e-01 
        18  0.000000000000000000e+00 -2.944266368259445699e+01  7.295846787446862436e-01  6.539378342831696500e-01  5.955605100743923686e-01  6.118837184840231203e-01  6.163214145005895261e-01  6.163211035964195617e-01 
        19  0.000000000000000000e+00 -2.942452811519751776e+01  6.710735940566792124e-01  5.355044643795281445e-01  4.460638978280258016e-01  4.359287938179932098e-01  4.379282216507363046e-01  4.379279806071281200e-01 
        20  0.000000000000000000e+00 -2.946874073973003760e+01  5.950635458436863701e-01  4.082756463176338002e-01  2.940976334402876091e-01  2.604024575509811257e-01  2.606899146273917722e-01  2.606897557689080713e-01 
        21  0.000000000000000000e+00 -2.956650263835535952e+01  5.095157655562161381e-01  2.818778348871546768e-01  1.501171256172710855e-01  9.673749350463367591e-02  9.621359140783170005e-02  9.621352531758020632e-02 
        22  0.000000000000000000e+00 -2.970915605515551761e+01  4.208554830615867104e-01  1.639189244062890793e-01  2.211626795542542823e-02 -4.628913945612112002e-02 -4.655642999114206759e-02 -4.655639450106718868e-02 
        23  0.000000000000000000e+00 -2.988772413872698053e+01  3.344952081868086680e-01  6.046693799703461991e-02 -8.392368014233397844e-02 -1.622249231579644402e-01 -1.610663346048113453e-01 -1.610661909696773364e-01 
        24  0.000000000000000000e+00 -3.009275061420635211e+01  2.550938567590037565e-01 -2.373001710498101602e-02 -1.637878874864782119e-01 -2.467696186413377291e-01 -2.430557728946496354e-01 -2.430555178711983899e-01 
        25  0.000000000000000000e+00 -3.031419897175260303e+01  1.867960895103806251e-01 -8.535466362991428468e-02 -2.150811578430875670e-01 -2.978325239437253913e-01 -2.906663570720411371e-01 -2.906659922273320262e-01 
        26  0.000000000000000000e+00 -3.054180475875477896e+01  1.330779490829172573e-01 -1.221824977128562750e-01 -2.368253077422650676e-01 -3.150764218662516214e-01 -3.039836437797021063e-01 -3.039831768860494776e-01 
        27  0.000000000000000000e+00 -3.076650021290424775e+01  9.559056600755866384e-02 -1.339349240693081811e-01 -2.302730888234236772e-01 -3.006479717389538564e-01 -2.857138818146722770e-01 -2.857133276884269435e-01 
        28  0.000000000000000000e+00 -3.098208335457752582e+01  7.264142607550638786e-02 -1.238262484141614550e-01 -2.002949894326775393e-01 -2.604802606570046919e-01 -2.424105428806342388e-01 -2.424099234729055752e-01 
        29  0.000000000000000000e+00 -3.118492358004118614e+01  6.017742002700288140e-02 -9.785475511330332665e-02 -1.545355575663052150e-01 -2.033721828190664382e-01 -1.834830156419684499e-01 -1.834823594610952568e-01 
        30  0.000000000000000000e+00 -3.137305992143137701e+01  5.288708399643837765e-02 -6.345568658548472740e-02 -1.019371039326415485e-01 -1.394182886849648639e-01 -1.197962941901096201e-01 -1.197956387561589509e-01 
        31  0.000000000000000000e+00 -3.154660498547968928e+01  4.409523930144132464e-02 -2.942029165046733397e-02 -5.254593658355588559e-02 -7.984562006458872929e-02 -6.286783527320949361e-02 -6.286721886090163025e-02 
        32  0.000000000000000000e+00 -3.170685571021408578e+01  2.695222904731053859e-02 -4.518063010664263857e-03 -1.598060557466851606e-02 -3.506344587549392600e-02 -2.319980050265257887e-02 -2.319926176096487325e-02 
        33  0.000000000000000000e+00 -3.185284753149949211e+01 -1.885219120367764845e-03  6.352854754140935256e-03  2.418816576437166077e-03 -1.083842576849747275e-02 -6.380955106578767300e-03 -6.380529697480596951e-03 
        34  0.000000000000000000e+00 -3.197888332794332200e+01 -3.963750371531205019e-02  4.872926605912653031e-03  4.326163953010109253e-03 -5.597648239017871674e-03 -1.036923388824106951e-02 -1.036895131528581260e-02 
        35  0.000000000000000000e+00 -3.207526908867316706e+01 -7.809267643233397393e-02 -1.393947936549011501e-03 -2.285489798850903753e-03 -1.118562610236040200e-02 -2.632354422917160264e-02 -2.632342541596699448e-02 
        36  0.000000000000000000e+00 -3.213151579581199258e+01 -1.068554643677543936e-01 -2.320053158882728894e-03 -6.520747902413859265e-03 -1.629026778755360283e-02 -4.211829022005986189e-02 -4.211834594343599747e-02 
        37  0.000000000000000000e+00 -3.214076552089682082e+01 -1.178923431962175528e-01  1.014729379653545038e-02  7.086205500854703132e-04 -1.123436454122384021e-02 -4.721149838951532729e-02 -4.721172851873234322e-02 
        38  0.000000000000000000e+00 -3.210330390855779115e+01 -1.092190400543131545e-01  3.819745728605994373e-02  2.276499990057345713e-02  8.020422097843038500e-03 -3.672718903317218064e-02 -3.672758261177477834e-02 
        39  0.000000000000000000e+00 -3.202724258000944246e+01 -8.580427265633261413e-02  7.714077422747322998e-02  5.611736512446441338e-02  3.860584759263474552e-02 -1.281218429426189687e-02 -1.281272057531168684e-02 
