Use the previous files? [y/n]
Invalid file paths.
Couldn't open a log file.
Read the target shape (415 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201102VFMFirstTrialfromDS_2.4mm_filtered.txt
Read the unit sputter yield (169 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201123SputterYield_filtered.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :     415
  # Unit     :     169
  # 1/2 Unit :      84
  # All      :     753
The number of threads
  # Total    :       4
  # Thread   :       3
  # Thread   :       2
  # Thread   :       1
  # Thread   :       0
Computation time for initialization:    0.0023

Have memorized arrays 1 times
Have memorized arrays 2 times
loop:    406000, alpha:   10.5000, rms:    1.2320
loop:    408000, alpha:   10.5000, rms:    1.2291
loop:    410000, alpha:   10.5000, rms:    1.2263
loop:    412000, alpha:   10.5000, rms:    1.2235
loop:    414000, alpha:   10.5000, rms:    1.2207
loop:    416000, alpha:   10.5000, rms:    1.2179
loop:    418000, alpha:   10.5000, rms:    1.2152
loop:    420000, alpha:   10.5000, rms:    1.2125
loop:    422000, alpha:   10.5000, rms:    1.2098
loop:    424000, alpha:   10.5000, rms:    1.2071
loop:    426000, alpha:   10.5000, rms:    1.2045
loop:    428000, alpha:   10.5000, rms:    1.2019
loop:    430000, alpha:   10.5000, rms:    1.1993
loop:    432000, alpha:   10.5000, rms:    1.1967
loop:    434000, alpha:   10.5000, rms:    1.1941
loop:    436000, alpha:   10.5000, rms:    1.1916
loop:    438000, alpha:   10.5000, rms:    1.1890
loop:    440000, alpha:   10.5000, rms:    1.1865
loop:    442000, alpha:   10.5000, rms:    1.1841
loop:    444000, alpha:   10.5000, rms:    1.1816
loop:    446000, alpha:   10.5000, rms:    1.1791
loop:    448000, alpha:   10.5000, rms:    1.1767
loop:    450000, alpha:   10.5000, rms:    1.1743
loop:    452000, alpha:   10.5000, rms:    1.1719
loop:    454000, alpha:   10.5000, rms:    1.1696
loop:    456000, alpha:   10.5000, rms:    1.1672
loop:    458000, alpha:   10.5000, rms:    1.1649
loop:    460000, alpha:   10.5000, rms:    1.1626
loop:    462000, alpha:   10.5000, rms:    1.1603
loop:    464000, alpha:   10.5000, rms:    1.1580
loop:    466000, alpha:   10.5000, rms:    1.1557
loop:    468000, alpha:   10.5000, rms:    1.1535
loop:    470000, alpha:   10.5000, rms:    1.1512
loop:    472000, alpha:   10.5000, rms:    1.1490
loop:    474000, alpha:   10.5000, rms:    1.1468
loop:    476000, alpha:   10.5000, rms:    1.1447
loop:    478000, alpha:   10.5000, rms:    1.1425
loop:    480000, alpha:   10.5000, rms:    1.1403
loop:    482000, alpha:   10.5000, rms:    1.1382
loop:    484000, alpha:   10.5000, rms:    1.1361
loop:    486000, alpha:   10.5000, rms:    1.1340
loop:    488000, alpha:   10.5000, rms:    1.1319
loop:    490000, alpha:   10.5000, rms:    1.1298
loop:    492000, alpha:   10.5000, rms:    1.1278
loop:    494000, alpha:   10.5000, rms:    1.1257
loop:    496000, alpha:   10.5000, rms:    1.1237
loop:    498000, alpha:   10.5000, rms:    1.1217
Have memorized arrays 7 times
loop:    500000, alpha:   10.5000, rms:    1.1197
Reached the maximum number of loops

Done.
loop:    500001, alpha:   10.5000, 
rms:    1.1197, PV:   19.4070
Total fabrication time:  282.4860 minutes
filepath:
 ./files/outputOMP/20201124_235617/all.txt
filepath:
 ./files/outputOMP/20201124_235617/extraction.txt
Serial Computation time:   86.0921 sec.
OpenMP Computation time:   72.4723 sec.
