     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        35  2.266286659043040969e-02  2.266286659043040969e-02  2.277407143059349479e-02  5.811014375934386855e-02  8.378569756851524108e-02  1.075278667734564791e-01  1.301740195757654373e-01  1.525642327338320448e-01  1.525642327338320448e-01 
        36  2.334527799763008726e-02  2.334527799763008726e-02  2.346639072245649063e-02  6.504084859345812819e-02  9.526316584329613812e-02  1.232422977530303332e-01  1.499526923680855606e-01  1.763318889908127851e-01  1.763318889908127851e-01 
        37  2.406269524390776404e-02  2.406269524390776404e-02  2.419412295773652744e-02  7.239685029947461048e-02  1.075075627340067175e-01  1.400654421895994595e-01  1.711788911741069785e-01  2.018821804745334902e-01  2.018821804745334902e-01 
        38  2.481960660568056226e-02  2.481960660568056226e-02  2.496175572543516546e-02  7.998191354747073711e-02  1.201617633671623053e-01  1.574892584095506087e-01  1.931988565514079215e-01  2.284185222343445287e-01  2.284185222343445287e-01 
        39  2.562772655032308222e-02  2.562772655032308222e-02  2.578100685866848915e-02  8.754992226794389154e-02  1.327645256030148546e-01  1.748479761069485772e-01  2.151481655321539066e-01  2.548810081241353886e-01  2.548810081241353886e-01 
        40  2.650448180635740086e-02  2.650448180635740086e-02  2.666931012106713364e-02  9.482068130283168028e-02  1.447824519807568155e-01  1.913657429667749710e-01  2.360147348474830875e-01  2.800246004504055031e-01  2.800246004504055031e-01 
        41  2.746906340548763842e-02  2.746906340548763842e-02  2.764586747141278833e-02  1.014990168434074524e-01  1.556516919720186687e-01  2.062205567357404401e-01  2.547246082545943091e-01  3.025267149098731512e-01  3.025267149098731512e-01 
        42  2.854172968506012154e-02  2.854172968506012154e-02  2.873095292075802942e-02  1.075533485177962434e-01  1.653299046757274737e-01  2.193437575571274833e-01  2.711784344477529696e-01  3.222567735112551457e-01  3.222567735112551457e-01 
        43  2.974657157435051796e-02  2.974657157435051796e-02  2.994867908465606576e-02  1.130460638577800020e-01  1.739028883714261453e-01  2.308397806352782133e-01  2.854972859862292545e-01  3.393514217345883210e-01  3.393514217345883210e-01 
        44  3.111380115470784719e-02  3.111380115470784719e-02  3.132928744238854674e-02  1.180955165438371257e-01  1.815558844475380351e-01  2.409546310741887409e-01  2.979851202572980640e-01  3.541707438393406071e-01  3.541707438393406071e-01 
        45  3.267890865534240491e-02  3.267890865534240491e-02  3.290830771898987928e-02  1.228606815649594397e-01  1.885459480393345544e-01  2.500369498721453643e-01  3.090790138544300958e-01  3.672378063978734564e-01  3.672378063978734564e-01 
        46  3.447963163282223575e-02  3.447963163282223575e-02  3.472353023637006486e-02  1.275147380484313309e-01  1.951570585628109034e-01  2.584760926649834478e-01  3.192708691782197850e-01  3.791445371566063982e-01  3.791445371566063982e-01 
